_EF_PROGRAM_FACILITY_EZ.PGM_SYS_ACRNM,V_EF_PROGRAM_FACILITY_EZ.PGM_SYS_ID,V_EF_PROGRAM_FACILITY_EZ.REGISTRY_ID,V_EF_PROGRAM_FACILITY_EZ.STANDZED_PRIM_NAME,V_EF_PROGRAM_FACILITY_EZ.PRIMARY_NAME,V_EF_PROGRAM_FACILITY_EZ.CITY_NAME,V_EF_PROGRAM_FACILITY_EZ.COUNTY_NAME,V_EF_PROGRAM_FACILITY_EZ.STATE_CODE,V_EF_PROGRAM_FACILITY_EZ.POSTAL_CODE
TRIS,77627CHMTR4200T,110000503688,CHEMTREAT ; TX PLT,CHEMTREAT INCORPORATED TEXAS PLANT,NEDERLAND,JEFFERSON,TX,77627
TRIS,78724PRMMP9721H,110000599914,FLEXIBLE PROD ; PREMIUM POLYMERS GROUP,FLEXIBLE PRODUCTS CO. PREMIUM POLYMERS GROUP,AUSTIN,TRAVIS,TX,78724
TRIS,79065CBTCR3MLSW,110000599987,CABOT ; PAMPA PLT,CABOT CORP PAMPA PLANT,PAMPA,GRAY,TX,79065
TRIS,79120SDPRTUSHIG,110002045368,US DOE PANTEX PLT,U. S. DOE - PANTEX PLANT,AMARILLO,POTTER,TX,79120
TRIS,76201MRRSN319EP,110000857528,MORRISON MILLING,THE MORRISON MILLING COMPANY,DENTON,DENTON,TX,76201
TRIS,77086BBVTC12221,110000860319,VETCO GRAY NHR FACLTY,VETCO GRAY NHR FACILITY,HOUSTON,HARRIS,TX,77086
TRIS,75110BHLNMHWY31,110000860612,BEHLEN MFG,BEHLEN MANUFACTURING CO,CORSICANA,NAVARRO,TX,75110
TRIS,75207PCKSP1103S,110002131381,PECKS PROD,PECK'S PRODUCTS CO.,DALLAS,DALLAS,TX,75207
TRIS,75207STRLN2555I,110002131390,STERLING ENGINEERED PROD,STERLING ENGINEERED PRODUCTS INC,DALLAS,DALLAS,TX,75207
TRIS,75208BLNKS2343N,110002131407,BLANKS COLOR IMAGING,BLANKS COLOR IMAGING,DALLAS,DALLAS,TX,75208
TRIS,75215CCDNT1100L,110002131489,OCCIDENTAL CHEM DALLAS SILICATE PLT,OCCIDENTAL CHEMICAL DALLAS SILICATE PLANT,DALLAS,DALLAS,TX,75215
TRIS,75220WSTVC10700,110002131559,WESTVACO US ENVELOPE DIV,WESTVACO US ENVELOPE DIVISION,DALLAS,DALLAS,TX,75220
TRIS,78840SNNTN100JO,110000465602,SAN ANTONIO SHOE VAL VERDE CNTY,SAN ANTONIO SHOE VAL VERDE COUNTY,DEL RIO,VAL VERDE,TX,78840
TRIS,78935SMTHN100FM,110000465611,HANOVER SMITH,HANOVER SMITH INCORPORATED,ALLEYTON,COLORADO,TX,78935
TRIS,79086WTCCRHCR1B,110000465728,CONTINENTAL CARBON ; SUNRAY PLT,CONTINENTAL CARBON COMPANY SUNRAY PLANT,SUNRAY,MOORE,TX,79086
TRIS,77351WLKRWHWY14,110000606915,WALKER WOOD PRESERVING,WALKER WOOD PRESERVING INCORPORATED,LIVINGSTON,POLK,TX,77351
TRIS,78380TXSCLPETRO,110000607013,US ECOLOGY TEXASLP,US ECOLOGY TEXASLP,ROBSTOWN,NUECES,TX,78380
TRIS,78363SNVYK554MC,110002047115,KINGSVILLE NAVAL AIR STA,KINGSVILLE NAVAL AIR STATION,KINGSVILLE,KLEBERG,TX,78363
TRIS,76111HCKRY3629E,110000861817,HICKORY SPRINGS MFG,HICKORY SPRINGS MANUFACTURING CO,FORT WORTH,TARRANT,TX,76111
TRIS,75603HNTSMHWY14,110000861835,FLINT HILLS RESOURCES LONGVIEW FACLTY,FLINT HILLS RESOURCES LONGVIEW FACILITY,LONGVIEW,GREGG,TX,75603
TRIS,76645TWNSQPOBOX,110000872832,TOWNE SQUARE 2000,TOWNE SQUARE 2000 INCORPORATED,HILLSBORO,HILL,TX,766450419
TRIS,75228CSTCL12118,110002131639,HOOVER SYS,HOOVER SYSTEMS INC,DALLAS,DALLAS,TX,75228
TRIS,75243DRSNF13532,110002131835,DRS SENSORS AND TARGETING SYS,DRS SENSORS & TARGETING SYSTEMS,DALLAS,DALLAS,TX,75243
TRIS,79556DXPTRNO8PL,110000465942,DPC IND,DPC INDUSTRIES INC.,SWEETWATER,NOLAN,TX,79556
TRIS,79601PLCRR3108P,110000465951,PAUL CARROLL WELDING SUPPLY,PAUL CARROLL WELDING SUPPLY INCORPORATED,ABILENE,TAYLOR,TX,79601
TRIS,79603BTXBV650CO,110000465979,ABTEX BEV,ABTEX BEVERAGE,ABILENE,TAYLOR,TX,79603
TRIS,79603CRWNC1900N,110000465988,CROWN CORK AND SEAL,CROWN CORK AND SEAL,ABILENE,TAYLOR,TX,79603
TRIS,75482SSCTD1101M,110000504339,DAIRY FARMERS OF AMER,DAIRY FARMERS OF AMERICA,SULPHUR SPRINGS,HOPKINS,TX,75482
TRIS,75846LMSTNFM39A,110000608245,LIMESTONE ELEC GNRTNG STA,LIMESTONE ELECTRIC  GENERATING STATION,JEWETT,LEON,TX,75846
