V_TRI_FORM_R_EZ.CHEM_NAME,V_TRI_FORM_R_EZ.FACILITY_NAME,V_TRI_FORM_R_EZ.LAND_TOTAL_RELEASE,V_TRI_FORM_R_EZ.OFF_SITE_TOTAL_TRANSFERS,V_TRI_FORM_R_EZ.OTH_DISP_TOT_REL,V_TRI_FORM_R_EZ.POTW_TOT_TRANSFER,V_TRI_FORM_R_EZ.TOTAL_OFF_SITE_RELEASE,V_TRI_FORM_R_EZ.TOTAL_ON_OFF_SITE_RELEASE,V_TRI_FORM_R_EZ.TOTAL_ON_SITE_RELEASE,V_TRI_FORM_R_EZ.TRI_FACILITY_ID,V_TRI_FORM_R_EZ.WATER_TOTAL_RELEASE
1 2 4-TRIMETHYLBENZENE,CHEVRON PRODUCTS CO SALT LAKE REFINERY,0,5,0,0,0,750,750,84116CHVRN2351N,250
MOLYBDENUM TRIOXIDE,CHEVRON PRODUCTS CO SALT LAKE REFINERY,0,11000,0,0,0,250,250,84116CHVRN2351N,0
FORMALDEHYDE,TTM TECHNOLOGIES INC.,0,0,0,0,0,3,3,84321LNDHL710NO,0
CERTAIN GLYCOL ETHERS,TTM TECHNOLOGIES INC.,0,51812,0,48959,2853,10337,7484,84321LNDHL710NO,0
MERCURY COMPOUNDS,NUCOR CORP NUCOR STEEL DIV,0,135.6,0,0,136,247.7,111.7,84330NCRST7285W,0
MANGANESE COMPOUNDS,NUCOR CORP NUCOR STEEL DIV,111,697428,0,0,697427,699313,1886,84330NCRST7285W,0
TRICHLOROETHYLENE,GSC FOUNDRIES,0,1350,0,0,0,7600,7600,84401GSCFN2738C,0
ZINC COMPOUNDS,WILBUR-ELLIS CO,0,0,0,0,0,0,0,84401KNXMC815W2,0
NITRIC ACID,ALBION MANUFACTURING TECHNOLOGIES,0,13771,0,9181,0,0,0,84401LBNMF2774S,0
LEAD,EAGLE PRECAST WEST VALLEY FACILITY,0,1440,0,0,0,.076,.076,84118BSCPR6087W,0
PERACETIC ACID,GOSSNER FOODS INC.,0,0,0,0,0,0,0,84321GSSNR1051N,0
NITRATE COMPOUNDS,GOSSNER FOODS INC.,165839,0,0,0,0,165839,165839,84321GSSNR1051N,0
VANADIUM COMPOUNDS,KENNECOTT UTAH COPPER SMELTER & REFINERY,30000,45450,0,0,45450,75942,30492,84006KNNCT8362W,250
THALLIUM COMPOUNDS,KENNECOTT UTAH COPPER SMELTER & REFINERY,195485,488,0,0,488,196421,195933,84006KNNCT8362W,250
MANGANESE COMPOUNDS,KENNECOTT UTAH COPPER SMELTER & REFINERY,30000,68,0,0,68,30551.7,30483.7,84006KNNCT8362W,250
CADMIUM COMPOUNDS,KENNECOTT UTAH COPPER SMELTER & REFINERY,28200,1200,0,0,1200,29911,28711,84006KNNCT8362W,250
ARSENIC COMPOUNDS,KENNECOTT UTAH COPPER SMELTER & REFINERY,2409600,28006.6,0,0,28007,2440927,2412920,84006KNNCT8362W,710
NITRATE COMPOUNDS,FUTURA INDUSTRIES,0,141170,0,141170,0,0,0,84016FTRHMBLDGH,0
TOLUENE,JARDINE PETROLEUM-NORTH SALT LAKE,0,0,,0,0,0,0,84054JRDNP1117N,
ETHYLENE GLYCOL,JARDINE PETROLEUM-NORTH SALT LAKE,0,0,,0,0,0,0,84054JRDNP1117N,
LEAD,US MAGNESIUM LLC,7.86,.617,0,0,1,22.44,21.44,84074MXMGNROWLE,0
ETHYLBENZENE,BRENNTAG PACIFIC INC.,0,0,,0,0,0,0,84078QDRCH1575S,
DIISOCYANATES,O.C. TANNER MANUFACTURING CO.,0,0,,0,0,0,0,84115CTNNR1930S,
XYLENE (MIXED ISOMERS),JARDINE PETROLEUM-LOGAN,0,0,,0,0,0,0,84321JRDNP1070W,
N-HEXANE,JARDINE PETROLEUM-LOGAN,0,0,,0,0,0,0,84321JRDNP1070W,
1 2 4-TRIMETHYLBENZENE,JARDINE PETROLEUM-LOGAN,0,0,,0,0,0,0,84321JRDNP1070W,
ETHYLBENZENE,JARDINE PETROLEUM-LOGAN,0,0,,0,0,0,0,84321JRDNP1070W,
DICHLOROMETHANE,FRESENIUS MEDICAL CARE,0,2765,0,0,0,2243,2243,84404FRSNS475W1,0
HYDROCHLORIC ACID (1995 AND AFTER "ACID AEROSOLS" ONLY),PACIFICORP CARBON PLANT,0,0,0,0,0,285000,285000,84526PCFCRINTER,0
SULFURIC ACID (1994 AND AFTER "ACID AEROSOLS" ONLY),LISBON VALLEY MINING CO LLC,0,0,0,0,0,60,60,84530LSBNV92SCU,0
LEAD COMPOUNDS,CHEMICAL LIME GRANTSVILLE PLANT & QUARRY,1,0,1,0,0,1.54,1.54,84029CHMCLOLDHW,0
NAPHTHALENE,SILVER EAGLE REFINING WOODS CROSS,0,0,,0,0,0,0,84087CRYSN2355S,
N-HEXANE,SILVER EAGLE REFINING WOODS CROSS,0,0,0,0,0,8353.34,8353.34,84087CRYSN2355S,0
N-HEXANE,HOLLY REFINING & MARKETING CO WOODS CROSS REFINERY,0,0,0,0,0,10300,10300,84087PHLLP393SO,0
CYCLOHEXANE,HOLLY REFINING & MARKETING CO WOODS CROSS REFINERY,0,0,0,0,0,1810,1810,84087PHLLP393SO,0
N-HEXANE,AUTOLIV ASP INC OEA INITIATOR FACILITY,0,153000,0,0,0,7000,7000,84337NC   1360N,0
NITRIC ACID,BARNES AEROSPACE OGDEN DIV,0,18331,0,0,0,400,400,84402FLMCB1483W,0
NICKEL,BARNES AEROSPACE OGDEN DIV,0,12094,0,250,250,250,0,84402FLMCB1483W,0
ETHYLBENZENE,BRENNTAG PACIFIC INC,0,0,,0,0,0,0,84402HCDYC450EX,
MERCURY COMPOUNDS,PACIFICORP HUNTINGTON PLANT,182.6,0,0,0,0,229.3,229.3,84528PCFCR10MIL,0
MANGANESE COMPOUNDS,PACIFICORP HUNTINGTON PLANT,108000,0,0,0,0,108615,108615,84528PCFCR10MIL,0
HYDROGEN FLUORIDE,BRUSH RESOURCES INC MILL,25400,0,0,0,0,25445,25445,84624BRSHW10MIL,0
LEAD COMPOUNDS,AMERICAN PACIFIC CORP UTAH OPERATIONS,0,55405,0,0,55405,55405,0,84720MRCNZ10622,0
NITRATE COMPOUNDS,KENNECOTT UTAH COPPER MINE CONCENTRATORS & POWER PLANT,10000,0,0,0,0,10250,10250,84006KNNCT12300,250
DIOXIN AND DIOXIN-LIKE COMPOUNDS,KENNECOTT UTAH COPPER MINE CONCENTRATORS & POWER PLANT,0,0,0,0,0,.402,.402,84006KNNCT12300,0
THALLIUM COMPOUNDS,KENNECOTT UTAH COPPER MINE CONCENTRATORS & POWER PLANT,1151,0,1100,0,0,1401,1401,84006KNNCT12300,250
SELENIUM COMPOUNDS,KENNECOTT UTAH COPPER MINE CONCENTRATORS & POWER PLANT,4262,0,3500,0,0,4762,4762,84006KNNCT12300,250
MANGANESE COMPOUNDS,KENNECOTT UTAH COPPER MINE CONCENTRATORS & POWER PLANT,1230000,0,470000,0,0,1230265.83,1230265.83,84006KNNCT12300,260
COPPER COMPOUNDS,KENNECOTT UTAH COPPER MINE CONCENTRATORS & POWER PLANT,97612900,0,610000,0,0,97615110,97615110,84006KNNCT12300,1210
CHROMIUM,LIFETIME PRODUCTS INC,0,99627.06,0,0,0,0,0,84016LFTMPBUILD,0
VANADIUM COMPOUNDS,BONANZA POWER PLANT,48809,20,0,0,20,48858.2,48838.2,84078BNNZP12500,0
