V_TRI_FORM_R_EZ.CHEM_NAME,V_TRI_FORM_R_EZ.FACILITY_NAME,V_TRI_FORM_R_EZ.LAND_TOTAL_RELEASE,V_TRI_FORM_R_EZ.OFF_SITE_TOTAL_TRANSFERS,V_TRI_FORM_R_EZ.OTH_DISP_TOT_REL,V_TRI_FORM_R_EZ.POTW_TOT_TRANSFER,V_TRI_FORM_R_EZ.TOTAL_OFF_SITE_RELEASE,V_TRI_FORM_R_EZ.TOTAL_ON_OFF_SITE_RELEASE,V_TRI_FORM_R_EZ.TOTAL_ON_SITE_RELEASE,V_TRI_FORM_R_EZ.TRI_FACILITY_ID,V_TRI_FORM_R_EZ.WATER_TOTAL_RELEASE
STYRENE,C & C CAST POLYMERS INC,0,0,0,0,0,4387,4387,84042CCCST1555W,0
1 2 4-TRIMETHYLBENZENE,BIG WEST OIL LLC,0,0,0,0,0,1065,1065,84054BGWST333WE,0
PROPYLENE,BIG WEST OIL LLC,0,0,0,0,0,1964,1964,84054BGWST333WE,0
ZINC COMPOUNDS,JARDINE PETROLEUM-NORTH SALT LAKE,0,0,,0,0,0,0,84054JRDNP1117N,
MERCURY,US MAGNESIUM LLC,0,0,0,0,0,65.63,65.63,84074MXMGNROWLE,0
HYDROCHLORIC ACID (1995 AND AFTER "ACID AEROSOLS" ONLY),US MAGNESIUM LLC,0,0,0,0,0,1068326,1068326,84074MXMGNROWLE,0
DIOXIN AND DIOXIN-LIKE COMPOUNDS,US MAGNESIUM LLC,4332.7,864.91,0,0,119,4454.79,4335.79,84074MXMGNROWLE,0
LEAD COMPOUNDS,U.S. ARMY TOOELE ARMY DEPOT MUNITION TREATMENT,0,0,0,0,0,0,0,84074TLRMYSDSTE,0
ZINC COMPOUNDS,CHELATED MINERALS CORP,0,3128,0,0,3128,3287,159,84104CHLTD331W9,0
TRICHLOROETHYLENE,STEEL COATINGS INC,0,0,0,0,0,15028,15028,84104STLCT410SO,0
LEAD COMPOUNDS,IC GROUP - IC SECURITY PRINTERS INC.,6,3840,6,0,0,6,6,84123CSCRT4080S,0
NAPHTHALENE,JARDINE PETROLEUM-LOGAN,0,0,,0,0,0,0,84321JRDNP1070W,
POLYCYCLIC AROMATIC COMPOUNDS,SUNNYSIDE COGENERATION ASSOCIA TES,0,0,0,0,0,0,0,84539SNNYSONEPO,0
MERCURY,SUNNYSIDE COGENERATION ASSOCIA TES,93,2,0,0,2,97,95,84539SNNYSONEPO,0
CHLORODIFLUOROMETHANE,UTILITY TRAILER MANUFACTURING,0,0,0,0,0,65865,65865,84016TLTYT1111S,0
TOLUENE,FASHION CABINET MANUFACTURING INC.,0,0,0,0,0,10609,10609,84084FSHNC5440W,0
BENZENE,SILVER EAGLE REFINING WOODS CROSS,0,79.329,0,79.2,0,2585.26,2585.26,84087CRYSN2355S,0
TOLUENE,HOLLY REFINING & MARKETING CO WOODS CROSS REFINERY,0,878.5,0,860,1,14901,14900,84087PHLLP393SO,0
SILVER COMPOUNDS,JOHNSON MATTHEY INC,0,33.63,0,6.03,0,172,172,84120JHNSN4601W,0
NITRATE COMPOUNDS,JOHNSON MATTHEY INC,0,106284,0,106284,0,0,0,84120JHNSN4601W,0
LEAD COMPOUNDS,JOHNSON MATTHEY INC,0,4903.14,0,.14,4641,4641.578,.578,84120JHNSN4601W,0
BARIUM,INTERPACE HOLDINGS LLC,0,0,,0,0,0,0,84315NTRPC736WH,
MANGANESE COMPOUNDS,CARGILL  INC,0,0,,0,0,0,0,84401CRGLL2850F,
NITRIC ACID,AMERICAN PACIFIC CORP UTAH OPERATIONS,2932,0,0,0,0,3833,3833,84720MRCNZ10622,0
BARIUM COMPOUNDS,AMERICAN PACIFIC CORP UTAH OPERATIONS,0,0,,0,0,0,0,84720MRCNZ10622,
MIXTURE,UTAH STAMPING CO,0,0,,0,0,0,0,84016THSTMF5SEC,
DIISOCYANATES,BD MEDICAL,0,0,0,0,0,26,26,84070DSRTM9450S,0
CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),BONANZA POWER PLANT,30924,13,0,0,13,31169,31156,84078BNNZP12500,0
MANGANESE COMPOUNDS,BONANZA POWER PLANT,31064,13,0,0,13,33481,33468,84078BNNZP12500,0
BARIUM COMPOUNDS,PACIFICORP HUNTER PLANT,392173,0,0,0,0,392570,392570,84513PCFCR3MILE,0
MANGANESE COMPOUNDS,PACIFICORP HUNTER PLANT,148084,0,0,0,0,148644,148644,84513PCFCR3MILE,0
MANGANESE,GRAYMONT WESTERN U.S. INC. CRICKET MOUNTAIN,21189,0,0,0,0,21939,21939,84624GRYMN32MIL,0
LEAD COMPOUNDS,KENNECOTT BARNEYS CANYON MINING CO,0,0,0,0,0,.08,.08,84006KNNCT8200S,0
ARSENIC COMPOUNDS,KENNECOTT BARNEYS CANYON MINING CO,0,0,,0,0,0,0,84006KNNCT8200S,
LEAD,UNIVERSAL INDUSTRIAL SALES INC.,0,14.2,0,0,0,.0007,.0007,84042NVRSL165W4,0
MERCURY,POINT SOUTH READY-MIX CONCRETE,.7091,0,0,0,0,.7091,.7091,84043PNTST1262N,0
NITROGLYCERIN,ATK LAUNCH SYSTEMS INC BACCHUS,0,14341.54,0,44,0,19,19,84044HRCLS4950S,0
NITRIC ACID,ATK LAUNCH SYSTEMS INC BACCHUS,0,86783,0,0,0,0,0,84044HRCLS4950S,0
LEAD,BAUER READY MIX CONCRETE,21.86,0,0,0,0,21.8632,21.8632,84074BRRDY2894S,0
MANGANESE COMPOUNDS,OGDEN LIQUID PRODUCTS,0,2.1,0,1,1,1,0,84401LBNLB2332B,0
ZINC COMPOUNDS,OGDEN LIQUID PRODUCTS,0,42.31,0,1,41,41,0,84401LBNLB2332B,0
XYLENE (MIXED ISOMERS),CASTLE COUNTRY OIL,0,0,,0,0,0,0,84501CSTLC352WM,
MANGANESE COMPOUNDS,INTERMOUNTAIN POWER GENERATING STATION,102000,0,0,0,0,102255,102255,84624NTRMN850BR,0
ANTIMONY COMPOUNDS,INTERMOUNTAIN POWER GENERATING STATION,26200,0,0,0,0,26455,26455,84624NTRMN850BR,0
STYRENE,CONOCOPHILLIPS NORTH SALT LAKE PRODUCT TERMIN AL,0,0,0,0,0,0,0,84054CNCNR245E1,0
BENZO(G H I)PERYLENE,PEAK ASPHALT LLC - COWBOY ASPHALT TERMINAL,0,0,0,0,0,.0000282,.0000282,84087CRWNS1710W,0
CYCLOHEXANE,TESORO REFINING & MARKETING CO,0,255,0,250,5,9355,9350,84103MCLCM474WE,0
PHENANTHRENE,TESORO REFINING & MARKETING CO,0,255,0,250,5,260,255,84103MCLCM474WE,0
N-HEXANE,TESORO REFINING & MARKETING CO,0,755,0,750,5,25605,25600,84103MCLCM474WE,0
THIOUREA,BRENNTAG PACIFIC INC.,0,0,,0,0,0,0,84104GRTWS2334W,
NITRIC ACID,UNIVAR USA INC. - SALT LAKE CI TY,0,0,0,0,0,51,51,84104VNWTR650W8,0
NITRIC ACID,PRECISION TECHNOLOGY INC,0,0,0,0,0,0,0,84115PRCSN2970S,0
MERCURY,STAKER & PARSON COS BECK NORTH READY MIX & ASPHALT,.441,0,0,0,0,.441,.441,84116STKRP2080N,0
LEAD,STAKER & PARSON COS BECK NORTH READY MIX & ASPHALT,68.27,0,0,0,0,117.673,117.673,84116STKRP2080N,0
NITRATE COMPOUNDS,THATCHER CO,0,4048,0,4048,0,0,0,84127THTCH1905F,0
METHANOL,THATCHER CO,0,250,0,250,0,10,10,84127THTCH1905F,0
CHLORINE,THATCHER CO,0,0,0,0,0,1500,1500,84127THTCH1905F,0
HYDROGEN FLUORIDE,WESTERN ZIRCONIUM,0,0,0,0,0,42,42,84404WSTRN10000,0
STRYCHNINE AND SALTS,CLEAN HARBORS ARAGONITE LLC,0,0,0,0,0,2,2,84029SFTYK11600,0
HYDROQUINONE,CLEAN HARBORS ARAGONITE LLC,0,1,0,0,1,3,2,84029SFTYK11600,0
HEPTACHLOR,CLEAN HARBORS ARAGONITE LLC,0,0,0,0,0,0,0,84029SFTYK11600,0
FORMALDEHYDE,CLEAN HARBORS ARAGONITE LLC,0,70,0,0,22,45,23,84029SFTYK11600,0
CYCLOHEXANE,CLEAN HARBORS ARAGONITE LLC,0,1,0,0,1,3,2,84029SFTYK11600,0
CRESOL (MIXED ISOMERS),CLEAN HARBORS ARAGONITE LLC,0,1,0,0,1,5,4,84029SFTYK11600,0
COPPER COMPOUNDS,CLEAN HARBORS ARAGONITE LLC,0,139945,0,0,139945,139959,14,84029SFTYK11600,0
CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),CLEAN HARBORS ARAGONITE LLC,0,258520,0,0,258520,258546,26,84029SFTYK11600,0
ISOBUTYRALDEHYDE,CLEAN HARBORS ARAGONITE LLC,0,0,0,0,0,3,3,84029SFTYK11600,0
1 1 1-TRICHLOROETHANE,CLEAN HARBORS ARAGONITE LLC,0,4,0,0,4,22,18,84029SFTYK11600,0
ASBESTOS (FRIABLE),GENERAL PARTS CO - RAYLOC,0,73340,0,0,73340,73340,0,84651GNNPR700NO,0
LEAD,CEDAR CITY ASPHALT & CONCRETE PLANTS,73.062,0,0,0,0,90.772,90.772,84720CDRCT145NB,0
