Dataset:              Fish Species Abundance Data
File Name:            CB93_4_2.txt
Date Created:         12/17/96
# Variables:          4
# Header Records:     14
# Data Records:       462
Missing Value Symbol: .

Variables:    SITE         Station name
              MONTH        Month (JUN,AUG,SEP) of data collection
              SPECIES      Common name of species collected
              ABUN         No. of individuals collected of the species

SITE    MONTH   SPECIES                         ABUN
STN_4   JUL     Striped bass                       3
STN_4   SEP     Striped bass                       1
STN_4   SEP     Striped blenny                     1
STN_4   AUG     Striped killifish                  3
STN_4   AUG     Weakfish                           1
STN_5   AUG     Atlantic silverside               44
STN_5   SEP     Atlantic silverside               48
STN_5   JUL     Bay anchovy                        1
STN_5   SEP     Bay anchovy                        1
STN_5   JUL     Mullet sp.                         2
STN_5   AUG     Mummichog                          2
STN_5   JUL     Mummichog                         13
STN_5   SEP     Mummichog                         67
STN_5   AUG     Spot                               1
STN_5   AUG     Striped bass                       1
STN_5   JUL     Striped bass                       5
STN_5   JUL     Striped killifish                  6
STN_5   SEP     Striped killifish                 13
STN_5   AUG     Summer flounder                    1
STN_6   AUG     Atlantic silverside                5
STN_6   JUL     Atlantic silverside                3
STN_6   SEP     Atlantic silverside              110
STN_6   AUG     Bay anchovy                       10
STN_6   JUL     Bay anchovy                       14
STN_6   SEP     Bay anchovy                        1
STN_6   AUG     Crevalle jack                      1
STN_6   JUL     Crevalle jack                      8
STN_6   AUG     Hogchoker                          1
STN_6   SEP     Inland silverside                  2
STN_6   AUG     Inshore lizardfish                 1
STN_6   AUG     Mullet sp.                        17
STN_6   JUL     Mullet sp.                         1
STN_6   AUG     Mummichog                        166
STN_6   JUL     Mummichog                         97
STN_6   SEP     Mummichog                         12
STN_6   AUG     Oyster toadfish                    1
STN_6   SEP     Silver perch                       1
STN_6   AUG     Spot                               6
STN_6   JUL     Spot                              17
STN_6   SEP     Spot                               2
STN_6   SEP     Striped anchovy                    2
STN_6   JUL     Striped bass                       1
STN_6   SEP     Striped bass                       1
STN_6   SEP     Striped blenny                     1
STN_6   AUG     Striped killifish                 13
STN_6   JUL     Striped killifish                 14
STN_6   SEP     Striped killifish                 11
STN_7   AUG     Atlantic silverside              158
STN_7   JUL     Atlantic silverside               11
STN_7   SEP     Atlantic silverside              102
STN_7   AUG     Bay anchovy                      157
STN_7   JUL     Bay anchovy                       23
STN_7   SEP     Bay anchovy                       22
STN_7   SEP     Black-checked tonguefish          12
