# StationID,Lat(deg.NAD27),Lon(deg.NAD27),Elev(m.NGVD29),Obs_grav(mGal),Free_air_anom(mGal),Inner_terr_corr(mGal),Total_terr_corr(mGal),Complete_Bouguer_anom(mGal),Isostatic_anom(mGal) -- see USGS OFR2006-1396 for more info
441221xl,36.6703,-114.5203,538.9,979658.64,-51.25,0.09,0.06,-112.17,-0.95
441222ym,36.5993,-114.4900,420.4,979659.78,-80.52,0.18,0.40,-127.71,-19.18
441224ao,36.7250,-114.6295,525.0,979657.93,-60.98,0.02,0.13,-120.26,-5.53
441225bp,36.7108,-114.5837,488.0,979665.65,-63.45,0.05,0.28,-118.41,-4.92
441226cq,36.7117,-114.4697,630.4,979634.76,-50.48,0.01,0.01,-121.79,-8.54
441227dr,36.7458,-114.4023,647.5,979628.61,-54.32,0.25,0.33,-127.23,-11.69
441228es,36.7567,-114.3542,635.8,979623.35,-64.12,0.05,0.18,-135.86,-19.08
441230ft,36.7450,-114.2617,623.9,979624.96,-65.17,1.54,1.82,-133.94,-15.61
441231gu,36.7733,-114.2583,662.1,979620.10,-60.70,0.12,0.34,-135.26,-15.72
441234hv,36.9273,-114.2050,752.9,979618.26,-47.89,0.17,0.35,-132.69,-4.57
441236iw,36.9408,-114.2313,778.8,979625.72,-33.61,0.03,0.34,-121.35,7.23
441237jx,36.9498,-114.0615,704.4,979600.47,-82.60,0.08,0.31,-161.96,-29.45
441238ky,36.9033,-114.0498,700.1,979587.39,-92.97,0.07,0.31,-171.84,-40.97
441239lz,36.8430,-114.0733,536.8,979615.00,-110.50,0.09,0.75,-170.49,-42.44
441241ma,36.8010,-114.1120,501.1,979626.08,-106.80,0.13,0.89,-162.62,-37.31
441242nb,36.7967,-114.1833,505.1,979638.43,-92.83,0.25,0.92,-149.07,-26.43
441243oc,36.8437,-114.1820,581.9,979630.61,-81.04,0.15,0.52,-146.36,-21.87
441244pd,36.7633,-114.2043,533.7,979636.57,-82.98,0.16,0.65,-142.73,-21.94
441246qe,36.8425,-114.3717,905.0,979607.90,-3.96,0.09,0.85,-105.41,15.95
441247rf,36.9025,-114.3350,1139.0,979562.65,17.76,1.63,2.95,-107.95,17.28
441248sg,36.9467,-114.3367,1025.8,979585.28,1.64,0.05,1.22,-113.05,15.00
