Philadelphia-Camden-Wilmington, PA-NJ-DE-MD 	Japan 	617370441 	858749178 	421860102
Philadelphia-Camden-Wilmington, PA-NJ-DE-MD 	Mexico 	1354939946 	1689173968 	1085321847
Philadelphia-Camden-Wilmington, PA-NJ-DE-MD 	Residual 	4842976642 	5925048179 	3293600994
Philadelphia-Camden-Wilmington, PA-NJ-DE-MD 	United Kingdom 	1412659909 	3059856163 	1704414028
Phoenix-Mesa-Scottsdale, AZ 	Canada 	1023376377 	1193121557 	659837295
Phoenix-Mesa-Scottsdale, AZ 	China 	-2 	1109492718 	581032140
Phoenix-Mesa-Scottsdale, AZ 	Federal Republic of Germany 	616615336 	-2 	-2
Phoenix-Mesa-Scottsdale, AZ 	Greece 	-2 	-2 	-1
Phoenix-Mesa-Scottsdale, AZ 	Malaysia 	727539436 	783478090 	-2
Phoenix-Mesa-Scottsdale, AZ 	Mexico 	769372261 	1029650372 	634542286
Phoenix-Mesa-Scottsdale, AZ 	Residual 	4766028152 	6023994133 	-1
Phoenix-Mesa-Scottsdale, AZ 	Singapore 	570031863 	815044996 	558396095
Pittsburgh, PA 	Belgium 	348971714 	552012203 	302580906
Pittsburgh, PA 	Canada 	1794266994 	2124932990 	1080872005
Pittsburgh, PA 	China 	456001019 	523142893 	345682795
Pittsburgh, PA 	Federal Republic of Germany 	301619662 	391100674 	265385445
Pittsburgh, PA 	Mexico 	623504644 	814273671 	327237589
Pittsburgh, PA 	Residual 	3375032381 	3871311991 	2662524658
Portland-Vancouver-Beaverton, OR-WA 	Canada 	1896234001 	2203229805 	1114393599
Portland-Vancouver-Beaverton, OR-WA 	China 	-2 	1280169154 	729956702
Portland-Vancouver-Beaverton, OR-WA 	Japan 	1186854498 	1414317451 	906674266
Portland-Vancouver-Beaverton, OR-WA 	Korea, South 	868311788 	-2 	-2
Portland-Vancouver-Beaverton, OR-WA 	Malaysia 	-2 	1283984418 	556065098
Portland-Vancouver-Beaverton, OR-WA 	Mexico 	848550513 	-2 	-2
Portland-Vancouver-Beaverton, OR-WA 	Residual 	5427596531 	7192654177 	3752407733
Portland-Vancouver-Beaverton, OR-WA 	Taiwan 	974533759 	1206278535 	555936172
Richmond, VA 	Canada 	406990834 	422881456 	241626038
Richmond, VA 	China 	-2 	214764063 	-2
Richmond, VA 	Federal Republic of Germany 	659969777 	1054246364 	206772969
Richmond, VA 	Japan 	749818859 	750541515 	321268337
Richmond, VA 	Mexico 	151766299 	254379323 	175932851
Richmond, VA 	Netherlands 	213383101 	-2 	-2
Richmond, VA 	Portugal 	-2 	-2 	-1
Richmond, VA 	Residual 	1550627986 	1833807031 	-1
Riverside-San Bernardino-Ontario, CA 	Canada 	808610978 	901538958 	492761863
Riverside-San Bernardino-Ontario, CA 	China 	298226408 	278974035 	170237479
Riverside-San Bernardino-Ontario, CA 	Japan 	327287071 	277748281 	153709922
Riverside-San Bernardino-Ontario, CA 	Mexico 	500055485 	480762459 	244842987
Riverside-San Bernardino-Ontario, CA 	Netherlands 	166711895 	242418126 	-2
Riverside-San Bernardino-Ontario, CA 	Residual 	1672699221 	2010573450 	1159666637
