                                                           NATIONAL LIST OF VASCULAR PLANT SPECIES THAT OCCUR IN WETLANDS:  1996 SYNONYMY

   SYNONYM                                                                                     ACCEPTED SCIENTIFIC NAME                                                                   SOURCE
   Agropyron pauciflorum ssp. majus (Vasey) Melderis                                           Elymus trachycaulus ssp. trachycaulus (Link) Gould ex Shinners                             KAR94    
   Agropyron pauciflorum ssp. novae-angliae (Scribn.) Melderis                                 Elymus trachycaulus ssp. trachycaulus (Link) Gould ex Shinners                             KAR94    
   Agropyron pauciflorum ssp. teslinense (Porsild & Senn) Melderis                             Elymus trachycaulus ssp. trachycaulus (Link) Gould ex Shinners                             KAR94    
   Agropyron pauciflorum var. novae-angliae (Scribn.) Taylor & MacBryde                        Elymus trachycaulus ssp. trachycaulus (Link) Gould ex Shinners                             KAR94    
*  Agropyron pungens (Pers.) Roemer & J.A. Schultes                                            Elytrigia pungens (Pers.) Tutin                                                            KAR94    
*  Agropyron repens (L.) Beauv.                                                                Elytrigia repens var. repens (L.) Desv. ex B.D. Jackson                                    KAR94    
   Agropyron repens var. subulatum (Schreb.) Roemer & J.A. Schultes                            Elytrigia repens var. repens (L.) Desv. ex B.D. Jackson                                    KAR94    
   Agropyron riparum Scribn. & J.G. Sm.                                                        Elymus lanceolatus ssp. lanceolatus (Scribn. & J.G. Sm.) Gould                             KAR94    
   Agropyron sericeum auct. non A.S. Hitchc.                                                   Elymus macrourus (Turcz.) Tzvelev                                                          KAR94    
*  Agropyron smithii Rydb.                                                                     Pascopyrum smithii (Rydb.) A. Löve                                                         KAR94    
   Agropyron smithii var. molle (Scribn. & J.G. Sm.) M.E. Jones                                Pascopyrum smithii (Rydb.) A. Löve                                                         KAR94    
   Agropyron smithii var. palmeri (Scribn. & J.G. Sm.) Heller                                  Pascopyrum smithii (Rydb.) A. Löve                                                         KAR94    
*  Agropyron spicatum Pursh                                                                    Pseudoroegneria spicata ssp. spicata (Pursh) A. Love                                       KAR94    
   Agropyron spicatum var. pubescens Elmer                                                     Pseudoroegneria spicata ssp. spicata (Pursh) A. Love                                       KAR94    
   Agropyron subsecundum var. andinum (Scribn. & J.G. Sm.) A.S. Hitchc.                        Elymus trachycaulus ssp. trachycaulus (Link) Gould ex Shinners                             KAR94    
   Agropyron tenerum Vasey                                                                     Elymus trachycaulus ssp. trachycaulus (Link) Gould ex Shinners                             KAR94    
   Agropyron teslinense Porsild & Senn                                                         Elymus trachycaulus ssp. trachycaulus (Link) Gould ex Shinners                             KAR94    
*  Agropyron trachycaulum (Link) Malte ex H.F. Lewis                                           Elymus trachycaulus ssp. trachycaulus (Link) Gould ex Shinners                             KAR94    
   Agropyron trachycaulum var. majus (Vasey) Fern.                                             Elymus trachycaulus ssp. trachycaulus (Link) Gould ex Shinners                             KAR94    
   Agropyron trachycaulum var. novae-angliae (Scribn.) Fern.                                   Elymus trachycaulus ssp. trachycaulus (Link) Gould ex Shinners                             KAR94    
   Agropyron vaseyi Scribn. & J.G. Sm.                                                         Pseudoroegneria spicata ssp. spicata (Pursh) A. Love                                       KAR94    
*  Agropyron violaceum (Hornem.) Lange                                                         Elymus alaskanus ssp. alaskanus (Scribn. & Merr.) A. Love                                  KAR94    
