output/r000485_001_out.datSun Sep 17 13:48:44 2000

cops number to output is    134528094
#Event:  1
Sun Sep 17 13:50:54 2000

dcopsId 4 ccd3 1179.03 188.354 -10.1057
dcopsId 4 ccd4 1159.73 161.965 -15.3273
#0003--
dcopsId 3 ccd1 1470.6 67.8271 -1.32492
dcopsId 3 ccd2 1404.88 68.4527 0.295794
dcopsId 3 ccd3 1484.18 60.437 1.07295
dcopsId 3 ccd4 -380.964 472.619 -449.033
#0002--
dcopsId 2 ccd1 1205.47 90.6464 0.634963
dcopsId 2 ccd2 469.775 91.6595 -1.17453
dcopsId 2 ccd3 1145.86 92.6411 -1.47335
dcopsId 2 ccd4 467.722 86.8929 0.610617
#0001--
dcopsId 1 ccd1 247.306 -125.004 2.70516
dcopsId 1 ccd2 1585.37 112.059 -2.70441
dcopsId 1 ccd3 204.2 98.0668 1.97507
dcopsId 1 ccd4 1537.32 115.936 -0.0130566
#Event:  10
Sun Sep 17 14:07:49 2000

969217669 10 1 0
#0008--
