Holstein
Changes in May 2006 productive life and Net Merit using formulas to be implemented August 2006
PL diff is NewPL - (1.4 x OldPL) [see: http://aipl.arsusda.gov/reference/changes/eval0608.html]
UNOFFICIAL - NOT TO BE USED FOR ADVERTISING!  

                   ________PL_______ _REL__   ___NM$___
Bull ID             New   Old  Diff  New Old  Old  Diff NAAB Code  Name
HOUSA000060129451  -0.5   0.3  -0.9  51  52   400   -81 014HO03752 SEAGULL-BAY MILLENIUM-TW
HOUSA000060356806   0.9   1.1  -0.6  62  65   400   -53 007HO07100 OAKLEIGH ADDISON HASTE-ET
HOUSA000128016846   4.3   3.6  -0.7  68  71   400    -5 014HO03571 HY-PINE DUTCH SCORE-ET
HOUSA000129017916  -2.3  -1.6  -0.1  54  56   400   -88 120HO00547 WA-DEL JUSTINE-ET
HOUSA000122985874   0.4   0.2   0.1  65  68   399   -83 001HO05834 CO-OP DEMAND VISION-ET
HOUSA000126384228   3.9   2.2   0.8  70  73   399    48 007HO06471 ANNE-THREE MANFRED ARCH-ET
HOUSA000017365628   4.2   2.9   0.1  82  87   398   -17 011HO05183 TIMLYNN ADAM-ET
HOUSA000125997863   2.8   1.9   0.1  68  71   398   -21 001HO05588 RICH-J SOSA-ET
HOUSA000131270943   0.1   0.1  -0.0  57  60   398   -70 029HO10755 HORSTYLE ADOLPH-ET
HOUSA000207123681   3.8   3.4  -1.0  77  81   398    28 200HO04541 REGANCREST-HHF LUCK-ET
HOUSA000128598483   0.7   0.7  -0.3  74  77   397   -38 029HO10351 LONDONDALE MIDWAY-ET
HOUSA000128901836   2.4   1.5   0.3  71  75   397    -2 011HO06543 SIKKEMA-STAR RUMOR-ET
HOUSA000060180348   2.1   1.7  -0.3  59  61   396   -49 011HO07632 SHADYCREST-H MARSTON-ET
HOUSA000126952078   1.2   0.5   0.5  69  72   396   -25 014HO03466 MERRY HELGA AMEL HECTOR-ET
HOUSA000128881235   2.5   2.4  -0.9  72  75   396   -48 029HO10306 APPLOUIS CARRIZO-ET
HOUSA000121094698   3.7   3.3  -0.9  75  78   395   -17 001HO05518 D-K-DANDY HERCULES-ET
HOUSA000128509061   2.2   2.0  -0.6  62  65   395    -6 007HO07680 NOR-SOM STEAMROLLER-ET
HOUSA000129476258  -0.4  -0.4   0.2  67  71   395   -74 001HO06727 GLEN-TOCTIN BREWER-ET
HOUSA000129800008   3.3   2.3   0.1  88  91   395     8 007HO06782 OCEAN-VIEW ZENITH-TW-ET
HOUSA000060390342   1.4   0.7   0.4  56  60   394   -19 007HO07215 PROSITE WEBSTER KRAMER-ET
HOUSA000128941375   0.5   0.5  -0.2  67  70   394   -19 001HO05768 CO-OP GLENWOOD TERRY-ET
HOUSA000129227313   0.3   0.6  -0.5  65  68   394   -86 007HO06799 HIDDEN-VIEW AUGUSTINE-ET
HOUSA000130206255   0.9  -0.1   1.0  66  70   394    -7 007HO07030 B-LONG CNV TJ-ET
HOUSA000130228420   3.3   2.9  -0.8  63  66   394     1 014HO03853 LAKE-EFFECT CONVINCER BUCK
HOUSA000130960375   1.5   1.3  -0.3  67  70   394   -54 001HO06988 HIDDEN-VIEW PRESCOTT-ET
HOUSA000124003312   0.7   0.3   0.3  72  74   393   -45 001HO05583 EMERALD-ACR-SA T-DAWSON-ET
HOUSA000124570153   3.5   2.7  -0.3  68  71   393    10 001HO05628 CLARKHOME M DETROIT CRI-ET
HOUSA000124730902   3.8   2.2   0.7  67  70   393    28 001HO02380 WHAT-IF MFD 1339 COOL-ET
HOUSA000125349240   5.2   3.4   0.4  73  76   393    59 138HO01566 FUTURALAND ZADE-ET
HOUSA000126842326   4.9   3.4   0.1  66  69   393    43 001HO05731 KINGDOMHAVEN MANFRED FED-ET
HOUSA000128325036   1.8   1.8  -0.7  67  69   393   -49 014HO03551 RICECREST DOMINIC-ET
HOUSA000129941695   1.6   1.1   0.1  74  78   393   -21 011HO07123 PEN-COL DREW-ET
HOUSA000130400181   2.6   1.5   0.5  55  59   393    -4 014HO03892 APPLOUIS JOCKO JULES-ETS
HOUSA000130627032  -0.1   0.6  -0.9  60  63   393   -91 014HO03889 AMMON FARMS DYNAMITE-ET
HOUSA000128879834   4.0   2.9  -0.1  66  69   391    45 001HO06783 PROSITE MTOTO MATSON-ET
HOUSA000129348027   1.6   1.4  -0.4  74  76   391   -31 029HO10290 RICECREST MAGILL-ET
HOUSA000002282997   0.7   0.1   0.6  91  93   390   -53 001HO05210 TIDY-BROOK J STEVEN TCG-ET
HOUSA000127733070   3.2   2.6  -0.4  66  69   390   -26 200HO01333 SHAGBROOK MAX-ET
