NASA Ames Airborne Tracking 14-Channel Sunphotometer, AATS-14
SAFARI-2000  8/29/2000
Date processed: 28-Jan-2002 by Beat Schmid, Version 1.6
NO2 [molec/cm2]: 2e+015
O3 [DU]: 291
Relative Std Dev Filter Aerosol[%]: 3.0
Relative Std Dev Filter H2O [%]: 6.0
Max m_aero: Inf
Max tau_aero: 5.0
Max tau_aero error: Inf
Min Alpha Angstrom: 0.00
H2O coeff.  a: 0.005994 b: 0.6356
aerosol wavelengths [10^-6 m] 0.3535 0.3800 0.4490 0.4994 0.5246 0.6057 0.6751 0.7784 0.8645 1.0191 1.2413 1.5574
UT[h] Lat[deg] Long[deg] GPS_Alt[km] p_Alt[km] p[hPa] H2O[cm] H2O_Err[cm] AOD_flag AOD0354 AOD0380 AOD0449 AOD0499 AOD0525 AOD0606 AOD0675 AOD0778 AOD0865 AOD1019 AOD1241 AOD1557  Err0354 Err0380 Err0449 Err0499 Err0525 Err0606 Err0675 Err0778 Err0865 Err1019 Err1241 Err1557  a2_fit a1_fit a0_fit
08.77556 -23.06018  28.95045   3.901   3.906  643.03  0.0738  0.1020             1  0.0700  0.0682  0.0499  0.0404  0.0420  0.0307  0.0214  0.0169  0.0122  0.0109  0.0066  0.0030  0.0097  0.0198  0.0227  0.0275  0.0476  0.0306  0.0042  0.0024  0.0032  0.0024  0.0033  0.0098 -0.4111 -2.3266 -4.5945
08.77667 -23.05803  28.94938   3.897   3.895  643.91  0.0700  0.1019             1  0.0650  0.0644  0.0459  0.0386  0.0369  0.0301  0.0207  0.0159  0.0116  0.0101  0.0063  0.0043  0.0096  0.0198  0.0227  0.0275  0.0476  0.0306  0.0042  0.0023  0.0032  0.0024  0.0033  0.0098 -0.0869 -1.9589 -4.5911
08.77778 -23.05263  28.94672   3.896   3.899  643.64  0.0733  0.1020             1  0.0692  0.0680  0.0493  0.0404  0.0408  0.0312  0.0217  0.0169  0.0128  0.0110  0.0069  0.0038  0.0096  0.0198  0.0227  0.0275  0.0476  0.0306  0.0042  0.0023  0.0032  0.0024  0.0033  0.0098 -0.2464 -2.1147 -4.5437
08.77889 -23.04885  28.94487   3.896   3.922  641.82  0.0745  0.1020             1  0.0721  0.0697  0.0516  0.0413  0.0443  0.0307  0.0216  0.0173  0.0127  0.0111  0.0066  0.0021  0.0097  0.0198  0.0228  0.0276  0.0477  0.0306  0.0043  0.0025  0.0033  0.0025  0.0034  0.0098 -0.6951 -2.6428 -4.6255
08.78000 -23.04297  28.94201   3.908   3.918  642.09  0.0755  0.1020             1  0.0727  0.0703  0.0514  0.0416  0.0431  0.0319  0.0221  0.0174  0.0130  0.0112  0.0069  0.0034  0.0096  0.0198  0.0227  0.0276  0.0476  0.0306  0.0042  0.0024  0.0032  0.0024  0.0033  0.0098 -0.3445 -2.2486 -4.5454
08.78111 -23.03925  28.94019   3.902   3.904  643.24  0.0837  0.1022             1  0.0775  0.0759  0.0543  0.0463  0.0420  0.0358  0.0250  0.0189  0.0142  0.0118  0.0077  0.0060  0.0100  0.0199  0.0231  0.0277  0.0478  0.0307  0.0045  0.0027  0.0035  0.0028  0.0036  0.0099  0.0519 -1.7985 -4.3896
08.78194 -23.03550  28.93838   3.897   3.899  643.64  0.0889  0.1023             1  0.0823  0.0801  0.0583  0.0483  0.0467  0.0371  0.0262  0.0201  0.0155  0.0128  0.0084  0.0054  0.0097  0.0198  0.0228  0.0276  0.0477  0.0306  0.0043  0.0024  0.0033  0.0025  0.0033  0.0098 -0.0890 -1.9374 -4.3427
08.78306 -23.03550  28.93838   3.897   3.925  641.55  0.0915  0.1023             1  0.0871  0.0838  0.0619  0.0504  0.0507  0.0378  0.0269  0.0209  0.0162  0.0133  0.0085  0.0045  0.0097  0.0198  0.0227  0.0276  0.0477  0.0306  0.0042  0.0024  0.0032  0.0024  0.0033  0.0098 -0.2719 -2.1560 -4.3411
08.78444 -23.02537  28.93349   3.927   3.930  641.15  0.0889  0.1023             1  0.0841  0.0813  0.0596  0.0488  0.0484  0.0371  0.0263  0.0203  0.0157  0.0129  0.0083  0.0049  0.0096  0.0198  0.0227  0.0276  0.0476  0.0306  0.0042  0.0023  0.0032  0.0024  0.0033  0.0098 -0.1825 -2.0515 -4.3520
08.78556 -23.02326  28.93248   3.929   3.935  640.75  0.0875  0.1022             1  0.0832  0.0802  0.0593  0.0482  0.0490  0.0362  0.0256  0.0200  0.0154  0.0126  0.0080  0.0039  0.0097  0.0198  0.0228  0.0276  0.0477  0.0306  0.0042  0.0024  0.0032  0.0024  0.0033  0.0098 -0.3359 -2.2309 -4.4003
