    1
42.286030 -87.831085  42.288677 -87.831421  42.290882 -87.831642
42.292603 -87.832443  42.293686 -87.833229  42.294353 -87.833504
42.295151 -87.833115  42.296242 -87.832703  42.298702 -87.833305
42.301769 -87.833725  42.302998 -87.833687  42.303684 -87.833603
42.304562 -87.833313  42.305656 -87.832977  42.306911 -87.832420
42.308468 -87.831337  42.308830 -87.831772  42.309746 -87.831894
42.310913 -87.831161  42.311726 -87.830200  42.311687 -87.830162
42.312458 -87.829926  42.313595 -87.830147  42.315067 -87.830994
42.317223 -87.831444  42.319553 -87.831223  42.321896 -87.831161
42.324654 -87.831406  42.327133 -87.831444  42.328945 -87.831284
42.331192 -87.830612  42.332607 -87.829834  42.333858 -87.828941
42.333885 -87.828903  42.333328 -87.829765  42.334255 -87.828964
42.335144 -87.828133  42.336838 -87.827408  42.339169 -87.827309
42.341145 -87.827057  42.343494 -87.826584  42.345882 -87.826370
42.348648 -87.825996  42.351063 -87.825813  42.353310 -87.825745
42.354900 -87.825546  42.356239 -87.825287  42.356628 -87.825096
42.356667 -87.824242  42.356796 -87.823578  42.358883 -87.823631
42.360115 -87.823555  42.361485 -87.823288  42.362720 -87.823257
42.363667 -87.823776  42.364376 -87.823914  42.364037 -87.822990
42.365589 -87.822357  42.366596 -87.821960  42.366123 -87.821671
42.364784 -87.821861  42.363472 -87.821930  42.361511 -87.821320
42.361473 -87.819511  42.361706 -87.818443  42.361641 -87.817734
42.361935 -87.817245  42.363194 -87.817024  42.364811 -87.816681
42.366974 -87.816284  42.370090 -87.815414  42.373070 -87.814629
42.374897 -87.813828  42.377182 -87.812546  42.379364 -87.811295
42.381130 -87.810326  42.383644 -87.809387  42.384705 -87.808876
42.386639 -87.808197  42.388386 -87.807671  42.389595 -87.807442
42.391277 -87.806473  42.392536 -87.805801  42.393902 -87.805725
42.395241 -87.805130  42.397766 -87.804955  42.399593 -87.804604
42.401352 -87.804138  42.404972 -87.803955  42.406841 -87.803902
42.409279 -87.803642  42.412022 -87.803680  42.415043 -87.803665
42.417980 -87.803757  42.420059 -87.803482  42.422676 -87.803558
42.424900 -87.803627  42.427181 -87.803757  42.430176 -87.803993
42.433056 -87.803619  42.435192 -87.803223  42.438690 -87.802559
42.441479 -87.801773  42.444813 -87.800789  42.447575 -87.799927
42.449486 -87.799431  42.452255 -87.798790  42.453594 -87.798378
42.457150 -87.797531  42.461147 -87.796974  42.463638 -87.796745
42.466740 -87.796509  42.468330 -87.796463  42.471493 -87.796562
42.474735 -87.796577  42.479080 -87.797112  42.482689 -87.797897
42.486805 -87.799255  42.488014 -87.799744  42.492508 -87.800903
42.496502 -87.801788  42.499382 -87.802971  42.502445 -87.804070
42.505341 -87.805016  42.508434 -87.806000  42.510906 -87.807274
42.513412 -87.808121  42.516392 -87.808846  42.519417 -87.809357
42.522663 -87.809891  42.526638 -87.810699  42.529167 -87.810997
42.532654 -87.810936  42.536369 -87.811386  42.539864 -87.811798
42.543625 -87.812096  42.545578 -87.812035  42.547237 -87.811211
42.549873 -87.811325  42.553230 -87.811737  42.556770 -87.811523
42.559589 -87.810997  42.562492 -87.810501  42.563534 -87.810661
42.565868 -87.810547  42.568569 -87.810921  42.572041 -87.811821
42.574215 -87.812172  42.576031 -87.812370  42.578205 -87.812904
42.579414 -87.812569  42.579876 -87.812149  42.580379 -87.811211
42.581497 -87.810722  42.584076 -87.810875  42.585846 -87.811127
42.586941 -87.811234  42.587521 -87.811333  42.587551 -87.811226
42.588055 -87.809052  42.588795 -87.808655  42.589127 -87.809013
42.589207 -87.810539  42.589043 -87.811996  42.589161 -87.812729
42.592590 -87.814041  42.596668 -87.815109  42.599812 -87.815651
42.601597 -87.815895  42.602757 -87.816269  42.603283 -87.816444
42.603256 -87.816444  42.603256 -87.816559  42.603134 -87.818008
42.603607 -87.818176  42.607796 -87.819031  42.610603 -87.819389
42.614079 -87.820061  42.616768 -87.819954  42.618710 -87.819710
42.619465 -87.819199  42.620762 -87.819237  42.621262 -87.819489
42.622734 -87.818817  42.626205 -87.817818  42.630466 -87.816620
