   yr mo da hr mn sc                S_40                T_28
 2004  2 21  9 57 30           32.770924            1.903683
 2004  2 21 10 57 30           32.778660            1.934792
 2004  2 21 11 57 30           32.772095            1.972017
 2004  2 21 12 57 30           32.754757            1.969575
 2004  2 21 13 57 30           32.775948            1.887217
 2004  2 21 14 57 30           32.775124            1.809108
 2004  2 21 15 57 30           32.775509            1.771292
 2004  2 21 16 57 30           32.776348            1.771767
 2004  2 21 17 57 30           32.776966            1.877608
 2004  2 21 18 57 30           32.771133            1.900058
 2004  2 21 19 57 30           32.750195            1.928367
 2004  2 21 20 57 30           32.727833            1.875583
 2004  2 21 21 57 30           32.760811            1.925267
 2004  2 21 22 57 30           32.768970            1.927408
 2004  2 21 23 57 30           32.764275            1.924908
 2004  2 22  0 57 30           32.770718            1.926258
 2004  2 22  1 57 30           32.773151            1.919542
 2004  2 22  2 57 30           32.774891            1.909025
 2004  2 22  3 57 30           32.760326            1.849275
 2004  2 22  4 57 30           32.768764            1.839233
 2004  2 22  5 57 30           32.762947            1.846325
 2004  2 22  6 57 30           32.750317            1.849108
 2004  2 22  7 57 30           32.754105            1.859325
 2004  2 22  8 57 30           32.759850            1.899008
 2004  2 22  9 57 30           32.771439            1.912242
 2004  2 22 10 57 30           32.771137            1.911250
 2004  2 22 11 57 30           32.764927            1.902642
 2004  2 22 12 57 30           32.758190            1.901567
 2004  2 22 13 57 30           32.763889            1.903000
 2004  2 22 14 57 30           32.752804            1.886392
 2004  2 22 15 57 30           32.746181            1.877850
 2004  2 22 16 57 30           32.736320            1.867183
 2004  2 22 17 57 30           32.728661            1.855683
 2004  2 22 18 57 30           32.730915            1.865675
 2004  2 22 19 57 30           32.746826            1.881492
 2004  2 22 20 57 30           32.755009            1.856750
 2004  2 22 21 57 30           32.765083            1.836258
 2004  2 22 22 57 30           32.759502            1.832792
 2004  2 22 23 57 30           32.764141            1.848050
 2004  2 23  0 57 30           32.745426            1.870675
 2004  2 23  1 57 30           32.742252            1.889317
 2004  2 23  2 57 30           32.750385            1.884350
 2004  2 23  3 57 30           32.744267            1.848533
 2004  2 23  4 57 30           32.731667            1.829300
 2004  2 23  5 57 30           32.732082            1.815550
 2004  2 23  6 57 30           32.726189            1.795267
 2004  2 23  7 57 30           32.720295            1.803525
 2004  2 23  8 57 30           32.716354            1.840425
 2004  2 23  9 57 30           32.727139            1.860458
 2004  2 23 10 57 30           32.727795            1.818508
 2004  2 23 11 57 30           32.743900            1.841733
 2004  2 23 12 57 30           32.725952            1.833625
 2004  2 23 13 57 30           32.707619            1.823642
 2004  2 23 14 57 30           32.716675            1.771417
 2004  2 23 15 57 30           32.731159            1.741975
 2004  2 23 16 57 30           32.726944            1.745392
 2004  2 23 17 57 30           32.724068            1.751367
 2004  2 23 18 57 30           32.725952            1.752650
 2004  2 23 19 57 30           32.725529            1.748033
 2004  2 23 20 57 30           32.712208            1.767492
 2004  2 23 21 57 30           32.703480            1.782633
 2004  2 23 22 57 30           32.718307            1.742050
 2004  2 23 23 57 30           32.736397            1.783300
 2004  2 24  0 57 30           32.758873            1.812808
 2004  2 24  1 57 30           32.727356            1.775450
 2004  2 24  2 57 30           32.723122            1.790433
 2004  2 24  3 57 30           32.755318            1.816758
 2004  2 24  4 57 30           32.762440            1.835825
 2004  2 24  5 57 30           32.763153            1.843667
 2004  2 24  6 57 30           32.762825            1.835983
 2004  2 24  7 57 30           32.738609            1.800825
 2004  2 24  8 57 30           32.726440            1.798450
 2004  2 24  9 57 30           32.734386            1.762483
 2004  2 24 10 57 30           32.738529            1.742575
 2004  2 24 11 57 30           32.710655            1.677333
 2004  2 24 12 57 30           32.768734            1.828175
 2004  2 24 13 57 30           32.746872            1.785283
 2004  2 24 14 57 30           32.725552            1.769817
 2004  2 24 15 57 30           32.777729            1.906392
 2004  2 24 16 57 30           32.768539            1.927925
 2004  2 24 17 57 30           32.785557            1.930808
 2004  2 24 18 57 30           32.788918            1.936617
 2004  2 24 19 57 30           32.797001            1.945225
 2004  2 24 20 57 30           32.790642            1.925583
 2004  2 24 21 57 30           32.748512            1.872717
 2004  2 24 22 57 30           32.752186            1.840050
 2004  2 24 23 57 30           32.749756            1.807383
 2004  2 25  0 57 30           32.759296            1.840567
 2004  2 25  1 57 30           32.761559            1.821000
 2004  2 25  2 57 30           32.740150            1.802542
 2004  2 25  3 57 30           32.781990            1.913575
 2004  2 25  4 57 30           32.764282            1.898992
 2004  2 25  5 57 30           32.799141            1.958492
 2004  2 25  6 57 30           32.801277            1.952917
 2004  2 25  7 57 30           32.740387            1.871800
 2004  2 25  8 57 30           32.740387            1.863692
 2004  2 25  9 57 30           32.748806            1.843733
 2004  2 25 10 57 30           32.761490            1.830442
 2004  2 25 11 57 30           32.737450            1.771283
 2004  2 25 12 57 30           32.736629            1.754767
 2004  2 25 13 57 30           32.719051            1.740700
 2004  2 25 14 57 30           32.733387            1.750842
 2004  2 25 15 57 30           32.761475            1.815842
 2004  2 25 16 57 30           32.751846            1.817967
 2004  2 25 17 57 30           32.738079            1.850342
 2004  2 25 18 57 30           32.754917            1.879875
 2004  2 25 19 57 30           32.772564            1.911908
 2004  2 25 20 57 30           32.787930            1.932675
 2004  2 25 21 57 30           32.774193            1.905425
 2004  2 25 22 57 30           32.762871            1.851092
 2004  2 25 23 57 30           32.748856            1.826292
 2004  2 26  0 57 30           32.743126            1.839067
 2004  2 26  1 57 30           32.746147            1.853658
 2004  2 26  2 57 30           32.776001            1.860092
 2004  2 26  3 57 30           32.763157            1.831400
 2004  2 26  4 57 30           32.766163            1.928308
 2004  2 26  5 57 30           32.776459            1.952683
 2004  2 26  6 57 30           32.791267            1.990250
 2004  2 26  7 57 30           32.812191            2.029850
 2004  2 26  8 57 30           32.814201            2.021317
 2004  2 26  9 57 30           32.789238            1.951325
 2004  2 26 10 57 30           32.792984            1.938558
 2004  2 26 11 57 30           32.757549            1.879583
 2004  2 26 12 57 30           32.774811            1.868492
 2004  2 26 13 57 30           32.781105            1.872775
 2004  2 26 14 57 30           32.768826            1.854633
 2004  2 26 15 57 30           32.788445            1.944208
 2004  2 26 16 57 30           32.811272            2.040942
 2004  2 26 17 57 30           32.824791            2.050217
 2004  2 26 18 57 30           32.832203            2.039342
 2004  2 26 19 57 30           32.826523            2.045675
 2004  2 26 20 57 30           32.829010            2.052525
 2004  2 26 21 57 30           32.832844            2.058175
 2004  2 26 22 57 30           32.827766            2.054575
 2004  2 26 23 57 30           32.822277            2.035850
 2004  2 27  0 57 30           32.823933            2.033508
 2004  2 27  1 57 30           32.839378            2.018508
 2004  2 27  2 57 30           32.848255            2.045442
 2004  2 27  3 57 30           32.831436            2.022125
 2004  2 27  4 57 30           32.816174            1.989742
 2004  2 27  5 57 30           32.805508            2.018750
 2004  2 27  6 57 30           32.801132            2.007225
 2004  2 27  7 57 30           32.805561            2.059000
 2004  2 27  8 57 30           32.803989            2.089967
 2004  2 27  9 57 30           32.799999            2.074683
 2004  2 27 10 57 30           32.777138            1.986317
 2004  2 27 11 57 30           32.789402            1.871808
 2004  2 27 12 57 30           32.766087            1.910258
 2004  2 27 13 57 30           32.810059            1.915825
 2004  2 27 14 57 30           32.809879            1.907692
 2004  2 27 15 57 30           32.792759            1.873158
 2004  2 27 16 57 30           32.798145            1.895667
 2004  2 27 17 57 30           32.801773            1.925508
 2004  2 27 18 57 30           32.824020            1.989192
 2004  2 27 19 57 30           32.829048            2.016350
 2004  2 27 20 57 30           32.840034            2.036042
 2004  2 27 21 57 30           32.833462            2.029308
 2004  2 27 22 57 30           32.817635            1.965567
 2004  2 27 23 57 30           32.798752            1.875275
 2004  2 28  0 57 30           32.789188            1.836200
 2004  2 28  1 57 30           32.786835            1.839217
 2004  2 28  2 57 30           32.776974            1.863200
 2004  2 28  3 57 30           32.776192            1.861292
 2004  2 28  4 57 30           32.793682            1.858950
 2004  2 28  5 57 30           32.795753            1.899467
 2004  2 28  6 57 30           32.808548            1.950492
 2004  2 28  7 57 30           32.826069            1.936908
 2004  2 28  8 57 30           32.804226            1.912283
 2004  2 28  9 57 30           32.790516            1.880542
 2004  2 28 10 57 30           32.778725            1.881992
 2004  2 28 11 57 30           32.755241            1.948542
 2004  2 28 12 57 30           32.783176            1.888042
 2004  2 28 13 57 30           32.788391            1.883117
 2004  2 28 14 57 30           32.810467            1.890092
 2004  2 28 15 57 30           32.801331            1.854042
 2004  2 28 16 57 30           32.764244            1.839742
 2004  2 28 17 57 30           32.763844            1.880117
 2004  2 28 18 57 30           32.783352            1.878592
 2004  2 28 19 57 30           32.821487            1.962492
 2004  2 28 20 57 30           32.827126            1.995767
 2004  2 28 21 57 30           32.826511            1.979458
 2004  2 28 22 57 30           32.826519            1.972533
 2004  2 28 23 57 30           32.805950            1.890392
 2004  2 29  0 57 30           32.789341            1.843625
 2004  2 29  1 57 30           32.792850            1.849950
 2004  2 29  2 57 30           32.807304            1.921667
 2004  2 29  3 57 30           32.814919            1.970842
 2004  2 29  4 57 30           32.775223            1.963458
 2004  2 29  5 57 30           32.784332            2.085567
 2004  2 29  6 57 30           32.813160            2.137833
 2004  2 29  7 57 30           32.830040            2.092542
 2004  2 29  8 57 30           32.816067            2.089350
 2004  2 29  9 57 30           32.838631            2.089350
 2004  2 29 10 57 30           32.835968            2.088092
 2004  2 29 11 57 30           32.842331            2.105725
 2004  2 29 12 57 30           32.834515            2.150100
 2004  2 29 13 57 30           32.832561            2.171308
 2004  2 29 14 57 30           32.805038            2.108183
 2004  2 29 15 57 30           32.809200            2.070692
 2004  2 29 16 57 30           32.827328            2.075508
 2004  2 29 17 57 30           32.842068            2.043325
