! Converted to time format with year at start.
!
! 03/20/86 CAROLYN DRS$DATA:[CAROLYN.JON]MELV70BS.200;
! DUA0:[DATA.][CAROLYN.JON]FMTA.EXE;
! (dy,hr,min,sec,tenths,mst_obs)
! (i3.3,3i2.2,i1.1,t12,f7.1)
!  
!*REDUCED MAGNETICS  BERING SEA  MELVILLE-70-BS               LINES M1 - M4  
! DATA: ID,LINE,JD,IH,AM,OBS,REG,RES,LAT,LONG,CSE,SPD  
! FORMAT(A2,2X,I1,I3,I2,I2,T15,I5,T25,F6.0,T32,F6.0,T39,F8.4,T49,F9.4,T60,F5.1,T66,F4.1)  
!      
19702082202000 51279.0
19702082207000 51262.0
19702082212000 51243.0
19702082222000 51199.0
19702082227000 51178.0
19702082232000 51156.0
19702082237000 51134.0
19702082241000 51114.0
19702082246000 51102.0
19702082251000 51091.0
19702082256000 51068.0
19702082301000 51042.0
19702082306000 51036.0
19702082311000 51058.0
19702082316000 51098.0
19702082321000 51147.0
19702082326000 51197.0
19702082331000 51240.0
19702082336000 51273.0
19702082341000 51289.0
19702082346000 51297.0
19702082351000 51304.0
19702082356000 51305.0
19702090003000 51288.0
19702090008000 51263.0
19702090012000 51235.0
19702090017000 51203.0
19702090022000 51175.0
19702090027000 51156.0
19702090032000 51147.0
19702090037000 51147.0
19702090042000 51150.0
19702090047000 51149.0
19702090052000 51142.0
19702090057000 51125.0
19702090100000 51116.0
19702090105000 51100.0
19702090110000 51108.0
19702090115000 51110.0
19702090120000 51110.0
19702090125000 51115.0
19702090220000 51235.0
19702090225000 51263.0
19702090230000 51279.0
19702090235000 51282.0
19702090240000 51276.0
19702090245000 51265.0
19702090250000 51245.0
19702090255000 51230.0
19702090300000 51219.0
19702090305000 51219.0
19702090310000 51240.0
19702090315000 51261.0
19702090320000 51272.0
19702090325000 51250.0
19702090330000 51241.0
19702090335000 51239.0
19702090340000 51239.0
19702090345000 51248.0
19702090350000 51261.0
19702090355000 51279.0
19702090400000 51296.0
19702090403000 51302.0
19702090405000 51308.0
19702090410000 51313.0
19702090415000 51313.0
19702090420000 51309.0
19702090425000 51307.0
19702090430000 51304.0
19702090435000 51297.0
19702090440000 51277.0
19702090445000 51247.0
19702090450000 51242.0
