Report Date/Time:   02-14-08 04:22:11


                             DAPS
                         DAY  -   45

                     PDTS THAT ARE DEACTIVE


 OWNER   ADDRESS  FIRST ACTIVE  LAST ACTIVE    LAST TIME
BLM001  327DF354       2008157      2008176       134804
BLM001  327E17A8       2008185      2008185       174354
BLM001  327E2232       2008251      2009021       193424
BLM001  327E6138       2004159      2004159            0
BLM001  328011D4       2008017      2008017       230024
BLM001  3280F226       2007305      2007305            0
BLM001  328126B4       2007305      2007305            0
BLM001  328414EE       2007305      2007305            0
BLM001  328457E4       2007305      2007305            0
BLM001  3284627E       2007305      2007305            0
BLM001  328C75AE       2008238      2008288       155704
BLM001  328D2728       2008195      2008203       164943
BLM001  328F72A0       2009020      2009020       192538
BLM001  328FA4C8       2008325      2008326       185044
                     PDTS THAT ARE DEACTIVE


 OWNER   ADDRESS  FIRST ACTIVE  LAST ACTIVE    LAST TIME
--------------------------------------------------------------------------------
BLM001  328FD258       2008218      2008225       162328
BLM001  329030A6       2007211      2007285       135207
BLM001  32904636       2008112      2008263       195214
BLM001  329060DA       2008217      2008217       101406
BLM001  3290A5C4       2008346      2008346       233423
BLM001  3290C022       2009041      2009042       194547
BLM001  3290D354       2008247      2008282       174653
BLM001  3290E6CE       2008274      2008274       214703
BLM001  329107C6       2008325      2008359       154805
BLM001  3292D6A0       2008141      2008283       195555
BLM001  329324DE       2009043      2009043       235643
BLM001  329337A8       2008064      2008064        55413
BLM001  32934138       2008329      2008329       202143
BLM001  3293524E       2008326      2008326       175313
BLM001  32939750       2007060      2007060       151533
BLM001  3293B1BC       2007346      2008250        15814
BLM001  3293F2B6       2008325      2008345       155854
BLM001  3294359C       2007060      2007313       100329
BLM001  32A0034C       2008231      2008231            0
BLM001  32A025A0       2008231      2008231            0
BLM001  32A05330       2008231      2008231            0
BLM001  32A066AA       2008231      2008231            0
BLM001  32A075DC       2008231      2008231            0
BLM001  32A08558       2009014      2009043        41613
BLM001  34500494       2008093      2008093       140025
BLM001  3450A46C       2006018      2006080       135527
BLM001  34635596       2007073      2007128       140415
BLM001  3463600C       2008089      2008089       183329
BLM001  3463737A       2006018      2007130       140701
BLM001  AAA1F21C       2004141      2004141            0
BLM001  AAB0C2E2       2004216      2004216            0
BLM001  AAB2D460       2008241      2008241       192724
BLM001  AAB662D4       2008190      2008191       132754
BLM001  D0D013D4       2008122      2008273       192446
BLMFIR  324DE652       2008199      2008199       204124
BLMFIR  324E6748       2003006      2003211       130827
BLMFIR  324EF22A       2008327      2008332        32023
BOLVIA  BC60064E       2007240      2007238        23207
BOLVIA  BC601538       2007019      2007026        73217
BOLVIA  BC6020A2       2007222      2007307        23224
BOLVIA  BC605632       2007211      2007212       213254
BOLVIA  BC6070DE       2007189      2007227         3314
BOLVIA  BC60932C       2008350      2009015       203337
BOLVIA  BC60A6B6       2006219      2006220        63349
BOLVIA  BC60C350       2007243      2008013       153406
BOLVIA  BC6117C2       2006096      2006158        73451
BOLVIA  BC6182A0       2006074      2008325       163602
BOLVIA  BC61B73A       2006170      2008224        33638
BOLVIA  BC61C1AA       2006018      2008324       233644
BOLVIA  BC61E746       2006018      2007032        93709
BOLVIA  BC6203BA       2006018      2007076        23721
BOLVIA  BC6210CC       2007146      2007146       163805
BOLVIA  BC62665C       2006018      2008272       193829
BOLVIA  BC62752A       2006055      2007032        93838
BOLVIA  BC6285AE       2008069      2008072        63847
                     PDTS THAT ARE DEACTIVE


 OWNER   ADDRESS  FIRST ACTIVE  LAST ACTIVE    LAST TIME
--------------------------------------------------------------------------------
BOLVIA  BC6296D8       2008093      2008093        83422
BOLVIA  BC62A342       2008351      2009028       193908
BOLVIA  BC62E048       2008300      2008300       213944
BOLVIA  BC6334DA       2007287      2007343       204039
BOLVIA  BC63424A       2008350      2009040       204047
BOLVIA  BC63513C       2007288      2007296       124059
BOLVIA  BC639422       2008246      2008272       184132
BOLVIA  BC63B2CE       2008076      2008282       134159
BOLVIA  BC63C45E       2007030      2007030       154201
BOLVIA  BC63D728       2008351      2008353        14218
BOLVIA  BC63E2B2       2006318      2007033       104226
BOLVIA  BC63F1C4       2009042      2009042       125024
BOLVIA  BC6436EE       2007156      2008154         5210
