  DATE;LATVIAI;LATVIAR;
  25MAY2007; 1.933488; 1.933488;
  24MAY2007; 1.930129; 1.930129;
  23MAY2007; 1.937234; 1.937234;
  22MAY2007; 1.933862; 1.933862;
  21MAY2007; 1.932741; 1.932741;
  20MAY2007; 1.938360; 1.938360;
  19MAY2007; 1.938360; 1.938360;
  18MAY2007; 1.938360; 1.938360;
  17MAY2007; 1.937609; 1.937609;
  16MAY2007; 1.949698; 1.949698;
  15MAY2007; 1.952744; 1.952744;
  14MAY2007; 1.944769; 1.944769;
  13MAY2007; 1.942125; 1.942125;
  12MAY2007; 1.942125; 1.942125;
  11MAY2007; 1.942125; 1.942125;
  10MAY2007; 1.940617; 1.940617;
  09MAY2007; 1.944769; 1.944769;
  08MAY2007; 1.941748; 1.941748;
  07MAY2007; 1.955417; 1.955417;
  06MAY2007; 1.951220; 1.951220;
  05MAY2007; 1.951220; 1.951220;
  04MAY2007; 1.951220; 1.951220;
  03MAY2007; 1.947420; 1.947420;
  02MAY2007; 1.948938; 1.948938;
  01MAY2007; 1.948558; 1.948558;
  30APR2007; 1.955799; 1.955799;
  29APR2007; 1.956947; 1.956947;
  28APR2007; 1.956947; 1.956947;
  27APR2007; 1.956947; 1.956947;
  26APR2007; 1.950078; 1.950078;
  25APR2007; 1.952362; 1.952362;
  24APR2007; 1.946661; 1.946661;
  23APR2007; 1.933488; 1.933488;
  22APR2007; 1.934236; 1.934236;
  21APR2007; 1.934236; 1.934236;
  20APR2007; 1.934236; 1.934236;
  19APR2007; 1.936483; 1.936483;
  18APR2007; 1.930129; 1.930129;
  17APR2007; 1.927154; 1.927154;
  16APR2007; 1.927525; 1.927525;
  15APR2007; 1.914242; 1.914242;
  14APR2007; 1.914242; 1.914242;
  13APR2007; 1.914242; 1.914242;
  12APR2007; 1.911680; 1.911680;
  11APR2007; 1.904762; 1.904762;
  10APR2007; 1.904762; 1.904762;
  09APR2007; 1.937375; 1.937375;
  08APR2007; 1.898254; 1.898254;
  07APR2007; 1.898254; 1.898254;
  06APR2007; 1.898254; 1.898254;
  05APR2007; 1.898254; 1.898254;
  04APR2007; 1.934591; 1.934591;
  03APR2007; 1.933562; 1.933562;
  02APR2007; 1.932328; 1.932328;
  01APR2007; 1.875469; 1.875469;
  31MAR2007; 1.875469; 1.875469;
  30MAR2007; 1.875469; 1.875469;
  29MAR2007; 1.878640; 1.878640;
  28MAR2007; 1.883594; 1.883594;
  27MAR2007; 1.881114; 1.881114;
  26MAR2007; 1.878640; 1.878640;
  25MAR2007; 1.874766; 1.874766;
  24MAR2007; 1.874766; 1.874766;
  23MAR2007; 1.874766; 1.874766;
  22MAR2007; 1.882885; 1.882885;
  21MAR2007; 1.875117; 1.875117;
  20MAR2007; 1.873361; 1.873361;
  19MAR2007; 1.874414; 1.874414;
  18MAR2007; 1.875821; 1.875821;
  17MAR2007; 1.875821; 1.875821;
  16MAR2007; 1.875821; 1.875821;
  15MAR2007; 1.867065; 1.867065;
  14MAR2007; 1.865324; 1.865324;
  13MAR2007; 1.864628; 1.864628;
  12MAR2007; 1.863238; 1.863238;
  11MAR2007; 1.852881; 1.852881;
  10MAR2007; 1.852881; 1.852881;
  09MAR2007; 1.852881; 1.852881;
