SUMLEV,STATE,COUNTY,STNAME,CTYNAME,SEX,ORIGIN,RACE,CENSUS2000POP,ESTIMATESBASE2000,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004
050,34,005,New Jersey,Burlington County,0,1,05,113,113,83,84,93,103,107
050,34,005,New Jersey,Burlington County,0,1,06,5768,5768,5980,6222,6606,6978,7314
050,34,005,New Jersey,Burlington County,0,2,01,13690,13690,14028,14892,15847,16771,17394
050,34,005,New Jersey,Burlington County,0,2,02,2831,2831,2898,2951,2991,3057,3104
050,34,005,New Jersey,Burlington County,0,2,03,210,210,204,214,228,243,250
050,34,005,New Jersey,Burlington County,0,2,04,159,159,151,165,176,180,190
050,34,005,New Jersey,Burlington County,0,2,05,49,49,59,59,67,70,73
050,34,005,New Jersey,Burlington County,0,2,06,693,693,364,391,416,457,496
050,34,007,New Jersey,Camden County,0,1,01,346122,346122,345266,342483,340816,338282,336423
050,34,007,New Jersey,Camden County,0,1,02,88616,88616,88805,90214,91532,93001,94113
050,34,007,New Jersey,Camden County,0,1,03,905,905,888,920,950,938,971
050,34,007,New Jersey,Camden County,0,1,04,19148,19148,19197,19674,20365,21015,21907
050,34,007,New Jersey,Camden County,0,1,05,128,128,161,170,178,184,195
050,34,007,New Jersey,Camden County,0,1,06,4847,4847,5057,5257,5470,5613,5862
050,34,007,New Jersey,Camden County,0,2,01,37852,37852,38412,39651,41305,43027,44782
050,34,007,New Jersey,Camden County,0,2,02,8950,8950,8899,9012,9150,9350,9554
050,34,007,New Jersey,Camden County,0,2,03,559,559,518,538,561,583,601
050,34,007,New Jersey,Camden County,0,2,04,423,423,426,439,452,460,465
050,34,007,New Jersey,Camden County,0,2,05,248,248,234,246,249,261,262
050,34,007,New Jersey,Camden County,0,2,06,1134,1134,959,977,1027,1085,1147
050,34,009,New Jersey,Cape May County,0,1,01,92271,92271,92426,92000,91734,91786,90796
050,34,009,New Jersey,Cape May County,0,1,02,5008,5008,5049,5005,4913,4828,4642
050,34,009,New Jersey,Cape May County,0,1,03,162,162,132,141,126,128,127
050,34,009,New Jersey,Cape May County,0,1,04,673,673,674,692,701,700,713
050,34,009,New Jersey,Cape May County,0,1,05,33,33,0,1,1,1,1
050,34,009,New Jersey,Cape May County,0,1,06,801,801,632,663,652,668,674
050,34,009,New Jersey,Cape May County,0,2,01,2846,2846,2874,3028,3127,3191,3283
050,34,009,New Jersey,Cape May County,0,2,02,418,418,408,416,408,394,382
050,34,009,New Jersey,Cape May County,0,2,03,32,32,30,31,33,34,37
050,34,009,New Jersey,Cape May County,0,2,04,14,14,10,16,16,13,14
050,34,009,New Jersey,Cape May County,0,2,05,15,15,29,35,32,29,34
050,34,009,New Jersey,Cape May County,0,2,06,53,53,49,47,50,55,55
050,34,011,New Jersey,Cumberland County,0,1,01,85991,85991,85904,85225,84944,84733,84773
050,34,011,New Jersey,Cumberland County,0,1,02,28386,28386,28491,28765,28990,29369,29641
050,34,011,New Jersey,Cumberland County,0,1,03,1111,1111,969,969,965,966,961
050,34,011,New Jersey,Cumberland County,0,1,04,1357,1357,1314,1341,1408,1485,1526
050,34,011,New Jersey,Cumberland County,0,1,05,45,45,33,32,39,40,48
050,34,011,New Jersey,Cumberland County,0,1,06,1725,1725,1514,1553,1601,1654,1698
050,34,011,New Jersey,Cumberland County,0,2,01,23788,23788,23924,24644,25588,26657,27810
050,34,011,New Jersey,Cumberland County,0,2,02,2892,2892,2877,2920,2966,3007,3044
050,34,011,New Jersey,Cumberland County,0,2,03,465,465,509,523,539,563,586
050,34,011,New Jersey,Cumberland County,0,2,04,141,141,126,127,132,139,148
050,34,011,New Jersey,Cumberland County,0,2,05,93,93,310,335,346,356,378
050,34,011,New Jersey,Cumberland County,0,2,06,444,444,443,492,522,531,570
050,34,013,New Jersey,Essex County,0,1,01,304909,304143,302976,300653,297647,294947,291855
050,34,013,New Jersey,Essex County,0,1,02,327524,327228,327669,327039,327217,326874,325661
050,34,013,New Jersey,Essex County,0,1,03,1240,1239,1271,1286,1345,1330,1329
050,34,013,New Jersey,Essex County,0,1,04,30035,29977,29921,30925,31738,32249,32964
050,34,013,New Jersey,Essex County,0,1,05,379,379,407,421,432,429,445
050,34,013,New Jersey,Essex County,0,1,06,7199,7170,7294,7465,7659,7847,7985
050,34,013,New Jersey,Essex County,0,2,01,103749,103612,104233,107790,110832,113836,116305
050,34,013,New Jersey,Essex County,0,2,02,14850,14815,14684,14889,15045,15224,15343
050,34,013,New Jersey,Essex County,0,2,03,1130,1128,1062,1096,1131,1166,1186
050,34,013,New Jersey,Essex County,0,2,04,577,577,660,675,698,721,719
050,34,013,New Jersey,Essex County,0,2,05,477,477,537,551,561,582,593
050,34,013,New Jersey,Essex County,0,2,06,1564,1560,1937,2037,2130,2234,2299
050,34,015,New Jersey,Gloucester County,0,1,01,218710,218710,219248,220930,223840,227056,229828
050,34,015,New Jersey,Gloucester County,0,1,02,22707,22707,23049,23495,24218,25015,25786
050,34,015,New Jersey,Gloucester County,0,1,03,432,432,384,378,403,408,405
050,34,015,New Jersey,Gloucester County,0,1,04,3837,3837,3898,4057,4360,4666,5028
050,34,015,New Jersey,Gloucester County,0,1,05,65,65,12,12,21,23,29
050,34,015,New Jersey,Gloucester County,0,1,06,2339,2339,2140,2230,2380,2516,2653
050,34,015,New Jersey,Gloucester County,0,2,01,5429,5429,5510,5814,6174,6415,6819
050,34,015,New Jersey,Gloucester County,0,2,02,865,865,852,871,900,912,929
050,34,015,New Jersey,Gloucester County,0,2,03,83,83,72,84,88,94,102
050,34,015,New Jersey,Gloucester County,0,2,04,64,64,55,61,58,68,64
050,34,015,New Jersey,Gloucester County,0,2,05,24,24,37,39,40,36,46
050,34,015,New Jersey,Gloucester County,0,2,06,118,118,92,92,101,113,117
050,34,017,New Jersey,Hudson County,0,1,01,224723,224723,223025,221992,216646,212908,209857
050,34,017,New Jersey,Hudson County,0,1,02,76312,76312,75456,75680,75342,74804,74765
050,34,017,New Jersey,Hudson County,0,1,03,1029,1029,1089,1071,1014,1024,1022
050,34,017,New Jersey,Hudson County,0,1,04,59253,59253,59391,61116,62018,62864,63857
050,34,017,New Jersey,Hudson County,0,1,05,272,272,350,354,355,353,358
050,34,017,New Jersey,Hudson County,0,1,06,5263,5263,5877,6091,6200,6368,6537
050,34,017,New Jersey,Hudson County,0,2,01,216783,216783,217337,219638,220935,222099,222825
050,34,017,New Jersey,Hudson County,0,2,02,17455,17455,17711,17662,17544,17386,17170
050,34,017,New Jersey,Hudson County,0,2,03,2390,2390,2623,2667,2693,2724,2748
050,34,017,New Jersey,Hudson County,0,2,04,1215,1215,1145,1166,1162,1158,1149
050,34,017,New Jersey,Hudson County,0,2,05,455,455,392,406,403,415,418
