       2      10       6      99       0      15       0     -999.000
      Alt            U            V       U_quality    V_quality
      175.000    -0.860275      5.44381   0.00554314   0.00519463
      185.000    -0.810373      5.36713   0.00661228   0.00611357
      195.000    -0.788097      5.27208   0.00797290   0.00714297
      205.000    -0.730778      5.20601   0.00908675   0.00785856
      215.000    -0.689570      5.14919    0.0100645   0.00832152
      225.000    -0.645225      5.06167    0.0109627   0.00865820
      235.000    -0.572111      4.98605    0.0112011   0.00831790
      245.000    -0.524128      4.91933    0.0117125   0.00831089
      255.000    -0.477324      4.84578    0.0125135   0.00856446
      265.000    -0.439553      4.81313    0.0104735   0.00679754
      275.000    -0.419507      4.75845   0.00924671   0.00576950
      285.000    -0.413228      4.68261   0.00908629   0.00580725
      295.000    -0.406599      4.64203   0.00907988   0.00569288
      305.000    -0.386323      4.59839   0.00923004   0.00583037
      315.000    -0.383249      4.54336   0.00898529   0.00580403
      325.000    -0.375669      4.49434   0.00901877   0.00573982
      335.000    -0.364612      4.44707   0.00912611   0.00582071
      345.000    -0.356877      4.38845   0.00893884   0.00586464
      355.000    -0.346037      4.35716   0.00888769   0.00574775
      365.000    -0.315018      4.31788   0.00906402   0.00587140
      375.000    -0.289989      4.25047   0.00932022   0.00620653
      385.000    -0.280060      4.20982   0.00916468   0.00597609
      395.000    -0.285446      4.15206   0.00937394   0.00611846
      405.000    -0.287328      4.08694   0.00964731   0.00648510
      415.000    -0.291412      4.05796   0.00970749   0.00637126
      425.000    -0.306412      4.02585   0.00975832   0.00645448
      435.000    -0.323554      3.97354    0.0100101   0.00675534
      445.000    -0.332298      3.92390    0.0102526   0.00681625
      455.000    -0.346889      3.88302    0.0101461   0.00674454
      465.000    -0.356297      3.83193    0.0106273   0.00721849
      475.000    -0.362428      3.78917    0.0111169   0.00739688
      485.000    -0.369303      3.73743    0.0115090   0.00767243
      495.000    -0.362160      3.68308    0.0118833   0.00811678
      505.000    -0.385190      3.67109    0.0117717   0.00785687
      515.000    -0.414191      3.63660    0.0119415   0.00804765
      525.000    -0.449449      3.57108    0.0121955   0.00844553
      535.000    -0.497558      3.55044    0.0123828   0.00840485
      545.000    -0.531046      3.52043    0.0125918   0.00854228
      555.000    -0.556950      3.48019    0.0128703   0.00889449
      565.000    -0.611679      3.47847    0.0123270   0.00841043
      575.000    -0.660546      3.44030    0.0124218   0.00848050
      585.000    -0.679780      3.37882    0.0126593   0.00894828
      595.000    -0.710001      3.35432    0.0125114   0.00868469
      605.000    -0.768684      3.29990    0.0131283   0.00919778
      615.000    -0.836310      3.24297    0.0132049   0.00952377
      625.000    -0.908450      3.23764    0.0132510   0.00942300
      635.000    -0.991063      3.20806    0.0133062   0.00948463
      645.000     -1.06517      3.15538    0.0136645    0.0100883
      655.000     -1.15223      3.14335    0.0138546    0.0100496
      665.000     -1.26196      3.10319    0.0139921    0.0102626
      675.000     -1.34657      2.99256    0.0148467    0.0113848
      685.000     -1.43136      2.89826    0.0160616    0.0120468
      695.000     -1.45788      2.70883    0.0185799    0.0141575
      705.000     -1.44161      2.43244    0.0210177    0.0163010
      715.000     -1.39689      2.21961    0.0222395    0.0169476
      725.000     -1.32269      1.92084    0.0231676    0.0176526
      735.000     -1.26145      1.56169    0.0227253    0.0178343
      745.000     -1.13683      1.32345    0.0213099    0.0165891
      755.000    -0.901818      1.07143    0.0205711    0.0160125
      765.000    -0.678127     0.856523    0.0201450    0.0161722
      775.000    -0.481485     0.776943    0.0198333    0.0154403
      785.000    -0.288648     0.704624    0.0196527    0.0153295
      795.000    -0.128044     0.629677    0.0200979    0.0159728
      805.000    0.0232132     0.586345    0.0205405    0.0159183
      815.000     0.134384     0.501773    0.0210156    0.0164024
      825.000     0.174667     0.427661    0.0213614    0.0169956
      835.000     0.213731     0.407232    0.0219411    0.0170857
      845.000     0.311184     0.418603    0.0219623    0.0170294
      855.000     0.372904     0.368505    0.0223896    0.0180884
      865.000     0.417076     0.372931    0.0240181    0.0187139
      875.000     0.447057     0.363432    0.0241324    0.0188226
      885.000     0.499322     0.294626    0.0260165    0.0202985
      895.000     0.527117     0.320153    0.0277767    0.0211321
      905.000     0.552651     0.312215    0.0303598    0.0228812
      915.000     0.479673     0.226226    0.0315776    0.0243954
      925.000     0.311997     0.208724    0.0334708    0.0253392
