Header:
Instrument	ASRC_U111
Source	Sun
Location	TMTF
Environment	Outdoors
Year	2004
Day	128
Date	2004MAY07
Operation	Discrete
Measurement_purpose	Irradiance
Number_of_scans	1
Number_of_columns	4
Number_of_rows	701
Start_time	13.50000	[UTC]
Stop_time	13.78278	[UTC]
Start_wavelength	290.00	[nm]
Stop_wavelength	360.00	[nm]
Increment_wavelength	0.10	[nm]
Dark_signal	0.55457	[p_s^-1]
ForeOptic_temperature	25.30	[ns]
Front_temperature	25.30	[ns]
Back_temperature	31.32	[ns]
Inside_temperature	30.91	[ns]
Shelter_temperature	29.27	[ns]
PSUnit_temperature	33.44	[ns]
AirCond_temperature	14.12	[ns]
Outside_temperature	32.90	[ns]
Comments	none
Formatted_file	2004128f03.u11
Responsivity_file	03352Rsm.u11
Analysis_program	Calc_Irrad.c
Labels:
Wavelength	Irradiance	dE(R)/E	dE(S)/E
[nm]	[mW_m^-2_nm^-1]
Data:
336.126	66.96213	0.0005	0.0000
336.226	118.64950	0.0004	0.0000
336.326	139.45749	0.0003	0.0000
336.426	143.52673	0.0003	0.0000
336.526	158.92924	0.0003	0.0000
336.626	129.89946	0.0003	0.0000
336.726	111.64484	0.0004	0.0000
336.826	110.88255	0.0004	0.0000
336.926	85.64651	0.0004	0.0000
337.026	104.52892	0.0004	0.0000
337.126	101.95693	0.0004	0.0000
337.226	81.98675	0.0004	0.0000
337.326	122.94441	0.0004	0.0000
337.426	117.83498	0.0004	0.0000
337.526	157.94783	0.0003	0.0000
337.626	155.58075	0.0003	0.0000
337.726	160.80284	0.0003	0.0000
337.826	142.20193	0.0003	0.0000
337.926	115.76655	0.0004	0.0000
338.026	77.67931	0.0004	0.0000
338.126	125.15453	0.0004	0.0000
338.226	146.09489	0.0003	0.0000
338.326	134.39595	0.0003	0.0000
338.426	143.08585	0.0003	0.0000
338.525	143.80739	0.0003	0.0000
338.625	179.00418	0.0003	0.0000
338.725	127.02583	0.0004	0.0000
338.825	115.85212	0.0004	0.0000
338.925	162.03970	0.0003	0.0000
339.025	170.58546	0.0003	0.0000
339.125	129.78841	0.0003	0.0000
339.225	116.02871	0.0004	0.0000
339.325	100.00362	0.0004	0.0000
339.425	128.34097	0.0003	0.0000
339.525	149.98438	0.0003	0.0000
339.625	148.79967	0.0003	0.0000
339.725	160.73683	0.0003	0.0000
339.825	163.33278	0.0003	0.0000
339.925	166.71782	0.0003	0.0000
340.025	200.51959	0.0003	0.0000
340.125	164.85168	0.0003	0.0000
340.225	148.15170	0.0003	0.0000
340.325	154.84126	0.0003	0.0000
340.425	147.67192	0.0003	0.0000
340.525	143.65985	0.0003	0.0000
340.625	163.00464	0.0003	0.0000
340.725	114.72583	0.0004	0.0000
340.825	154.52824	0.0003	0.0000
340.925	128.17535	0.0004	0.0000
341.025	156.62932	0.0003	0.0000
341.125	174.00905	0.0003	0.0000
341.225	143.50220	0.0003	0.0000
341.325	118.19233	0.0004	0.0000
341.425	105.18803	0.0004	0.0000
341.525	111.41150	0.0004	0.0000
341.625	159.75099	0.0003	0.0000
341.725	140.62061	0.0003	0.0000
341.825	146.99423	0.0003	0.0000
341.925	181.69580	0.0003	0.0000
342.025	181.61922	0.0003	0.0000
342.125	162.87686	0.0003	0.0000
342.225	137.91393	0.0003	0.0000
342.325	125.68116	0.0004	0.0000
342.425	145.82413	0.0003	0.0000
342.525	180.06096	0.0003	0.0000
342.625	149.92772	0.0003	0.0000
342.725	137.67641	0.0003	0.0000
342.825	143.19557	0.0003	0.0000
342.925	188.30154	0.0003	0.0000
343.025	190.59547	0.0003	0.0000
343.125	171.69870	0.0003	0.0000
343.225	152.89844	0.0003	0.0000
343.325	110.63257	0.0004	0.0000
343.425	162.59575	0.0003	0.0000
343.525	174.89932	0.0003	0.0000
343.625	157.19579	0.0003	0.0000
343.725	128.89636	0.0004	0.0000
343.825	143.30576	0.0003	0.0000
343.925	149.02977	0.0003	0.0000
344.025	83.36369	0.0004	0.0000
344.125	67.60186	0.0005	0.0000
344.225	97.35516	0.0004	0.0000
344.325	96.96922	0.0004	0.0000
344.425	100.85637	0.0004	0.0000
344.525	141.25783	0.0003	0.0000
344.624	104.97594	0.0004	0.0000
344.724	142.57718	0.0003	0.0000
344.824	152.50584	0.0003	0.0000
344.924	150.39505	0.0003	0.0000
345.024	182.55373	0.0003	0.0000
345.124	183.87491	0.0003	0.0000
345.224	134.56596	0.0003	0.0000
345.324	117.93322	0.0004	0.0000
345.424	183.91417	0.0003	0.0000
345.524	173.63510	0.0003	0.0000
345.624	155.22516	0.0003	0.0000
345.724	164.30692	0.0003	0.0000
345.824	119.72708	0.0004	0.0000
345.924	143.69292	0.0003	0.0000
346.024	124.16617	0.0004	0.0000
346.124	100.77249	0.0004	0.0000
346.224	148.28053	0.0003	0.0000
346.324	164.83435	0.0003	0.0000
346.424	179.01189	0.0003	0.0000
346.524	157.45532	0.0003	0.0000
346.624	112.01544	0.0004	0.0000
346.724	162.95419	0.0003	0.0000
346.824	181.86299	0.0003	0.0000
346.924	148.83286	0.0003	0.0000
347.024	195.60657	0.0003	0.0000
347.124	167.67543	0.0003	0.0000
347.224	134.54060	0.0003	0.0000
347.324	148.26460	0.0003	0.0000
347.424	135.46664	0.0003	0.0000
347.524	96.01711	0.0004	0.0000
347.624	109.56758	0.0004	0.0000
347.724	114.63243	0.0004	0.0000
