 14826 FLINT                  MI  -5  N42 58  W 83 44   233   988
 61-90
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
 10  2897 G4   943  3292 G4  2311  1364 G5   343  6094 15029  6.1  5.2  1.87  0.11  18.89   9.50  14.22  15.81  76   138    14  3.9
 11  1673 G4   568  1567 G4  1783  1079 G5   207  4286 13435  8.0  7.2  0.99  0.09   8.00  -0.50   3.78   5.05  72   434     0  5.1
 12  1199 G4   477  1298 G4  1902   800 G5   205  3391 12568  8.2  7.7  0.89  0.07   4.00  -3.56   0.22   1.49  76   558     0  4.9
 13  3844 G4  2216  3440 G4  3035  1822 G5   785  7692 16407  6.7  5.9  1.43  0.12  13.67   3.67   8.67  10.30  71  3765   308  4.6
 1972
  1  1609 G4   488  1827 G4  1995  1014 G5   235  3822 13043  7.3  6.8  0.58  0.07  -1.39  -9.94  -5.67  -4.76  69   738     0  5.9
  2  2475 G4   749  2542 G4  2562  1434 G5   452  5353 14520  6.9  6.4  0.57  0.07  -1.06  -9.56  -5.28  -3.89  67   681     0  4.9
  3  3204 G4  1352  2577 G4  3191  1848 G5   520  7480 16285  7.5  6.9  0.83  0.10   3.06  -4.33  -0.61  -0.06  68   584     0  5.2
  4  4708 G4  1689  3957 G4  3542  2246 G5   672  9556 17980  7.0  5.8  0.99  0.13  10.78   0.83   5.83   7.38  61   372     0  4.8
  5  5962 G4  2062  5378 G4  3872  2318 G5   674 11046 19356  5.2  4.5  1.64  0.15  21.39   8.72  15.06  17.26  62   107    10  4.1
  6  5744 G4  1839  4202 G4  3340  2818 G5   631 11654 20017  6.8  5.9  2.14  0.17  22.22  11.67  16.94  18.58  70    65    28  4.2
  7  5897 G4  1428  4909 G4  2680  2615 G5   538 11315 19592  6.3  5.1  2.81  0.13  26.44  15.78  21.11  22.66  71    19   111  3.6
  8  4924 G4  1663  4093 G4  3376  2288 G5   643 10060 18309  6.3  5.4  2.67  0.15  24.72  14.94  19.83  21.36  77    22    72  3.5
  9  3669 G4  1249  3022 G4  2641  1974 G5   484  8169 16692  6.9  6.3  2.12  0.11  20.67  11.67  16.17  17.98  77    77    17  4.1
 10  2540 G4  1016  2266 G4  2381  1456 G5   338  6026 14973  7.5  6.8  1.35  0.11  12.44   3.33   7.89   9.26  73   319     0  4.5
 11  1426 G4   379   704 G4  1369  1184 G5   225  4238 13390  9.0  8.7  0.91  0.09   4.89   0.56   2.72   3.50  78   464     0  4.2
 12  1217 G4   273   460 G4  1005  1087 G5   207  3384 12561  9.4  9.0  0.89  0.06   0.83  -4.39  -1.78  -1.34  76   621     0  4.6
 13  3618 G4  2155  2997 G4  3134  1857 G5   767  7680 16397  7.2  6.5  1.46  0.11  12.11   3.28   7.67   9.03  71  4069   238  4.5
 1973
