! Converted to time format with year at start.
!
! 01/17/86 KAYE DUA0:[DATA.S378SC.N]S378SC.620;
! DRB0:[DRS.REFMT]REFORMAT.EXE;5
! (dy,hr,min,sec,tenths,event,numpair(station,range))
! (i3.3,3i2.2,i1.1,t12,i3.3,<numpair>(1x,a2,1x,f8.1))
!  
19781451523000 000 01 168118.0 02  93640.0
19781451524450 000 01 168084.0 02  93674.0
19781451525320 000 01 168085.0 02  93693.0
19781451526220 000 02  93712.0 01 168072.0
19781451527450 000 02  93728.0 01 168066.0
19781451528380 000 02  93742.0 01 168067.0
19781451530280 000 01 168082.0 02  93799.0
19781451531590 000 01 168068.0 02  93831.0
19781451533470 000 01 168054.0 02  93844.0
19781451534580 000 01 168066.0 02  93886.0
19781451536530 000 01 168021.0 02  93896.0
19781451539330 000 01 168000.0 02  93918.0
19781451540420 000 01 167998.0 02  93899.0
19781451542070 000 01 167991.0 02  93925.0
19781451544120 000 02  93927.0 01 167971.0
19781451545160 000 01 167949.0 02  93943.0
19781451549310 000 02  93977.0 01 167921.0
19781451550410 000 01 167916.0 02  94000.0
19781451551320 000 01 167919.0 02  94003.0
19781451553110 000 01 167899.0 02  94035.0
19781451554230 000 01 167906.0 02  94052.0
19781451555350 000 01 167904.0 02  94062.0
19781451556330 000 02  94061.0 01 167920.0
19781451559120 000 01 167884.0 02  94070.0
19781451601310 000 01 167806.0 02  94073.0
19781451602190 000 02  94077.0 01 167779.0
19781451603260 000 02  94081.0 01 167739.0
19781451604510 000 01 167682.0 02  94079.0
19781451606300 000 02  94090.0 01 167641.0
19781451607500 000 01 167591.0 02  94090.0
19781451610370 000 01 167483.0 02  94093.0
19781451611400 000 02  94095.0 01 167469.0
19781451612290 000 01 167438.0 02  94111.0
19781451614300 000 01 167363.0 02  94104.0
19781451615550 000 01 167294.0 02  94094.0
19781451617300 000 01 167253.0 02  94108.0
19781451639210 000 01 166593.0 02  94016.0
19781451640260 000 01 166572.0 02  94015.0
19781451641510 000 01 166527.0 02  94007.0
19781451642370 000 01 166513.0 02  94009.0
19781451643530 000 01 166487.0 02  94002.0
19781451645240 000 01 166445.0 02  93979.0
19781451646260 000 01 166423.0 02  93958.0
