DIUREF	TITLE	AUTHOR	KEYWORDS	REFERENCE	PDATE
97.00	The international WOCE scene.	GOULD, W.J.	\MANAGEMENT\PROGRESS REPORT\UNPUBW\COUNTRYGB\COUNTRYIPO\	Sigma, the UK WOCE Newsletter, No.13, 2-3. (Unpublished manuscript)	1994.00
98.00	An investigation of Labrador Sea water in the eastern North Atlantic.	CUNNINGHAM, S.	\ATLNE\LABRADOR SEA\POTENTIAL VORTICITY\SALINITY\UNPUBW\COUNTRYGB\	Sigma, the UK WOCE Newsletter, No.13, 4-5. (Unpublished manuscript)	1994.00
99.00	Oxygen isotope study of the Princess Elizabeth Trough, Antarctica.	FREW, R.D., HEYWOOD, K.J. AND DENNIS, P.F.	\ANT\CRUISES\OXYGEN ISOTOPES\SALINITY\UNPUBW\WATER MASSES\COUNTRYGB\	Sigma, the UK WOCE Newsletter, No.13, 6-7. (Unpublished manuscript)	1994.00
100.00	Multiple tracers of the Antarctic deep outflow from its source to the Madagascar Basin.	DICKSON, R.R.	\ADOX\ANTIND\INDS\UNPUBW\COUNTRYGB\	Sigma, the UK WOCE Newsletter, No.13, 8-9,12. (Unpublished manuscript)	1994.00
101.00	UK WOCE data management.	RICKARDS, L. AND SHERRINGHAM, K.	\DATA COLLECTIONS\DATA PROCESSING\UNPUBW\COUNTRYGB\	Sigma, the UK WOCE Newsletter, No.13, p.10. (Unpublished manuscript)	1994.00
102.00	Modeling the wind and thermohaline circulation in the North Atlantic Ocean.	HOLLAND, W.R. AND BRYAN, F.O.	\AIMS\ATLN\MODELLING\REF\THERMOHALINE CIRCULATION\WIND STRESS\COUNTRYUS\	pp.135-156 in, Ocean processes in climate dynamics: global and Mediterranean examples, (ed.P.Malanotte-Rizzoli & A.R.Robinson). Dordrecht: Kluwer Academic.  437pp.	1994.00
103.00	The design of the ATOC (Acoustic Thermometry of Ocean Climate) network for the North Atlantic.	GOULD, W.J. AND ATLANTIC ATOC GROUP	\ATLN\ATOC\TECHNOLOGY\UNPUBW\COUNTRYGB\COUNTRYIPO\	pp.1037-1042 in, Proceedings of the 2nd European Conference on Underwater acoustics, Vol.II, (ed.L.Bjorno). Luxembourg: Office of the Official Publications of the European Communities.  pp.611-1099.	1994.00
104.00	Hydrological conditions of water mass subduction in the eastern North Atlantic Ocean (cruise 43 of the R/V Akademik Vernadsky).	ARTAMONOV, Y.V., KUBRYAKOV, A.I. AND KUFTARKOV, A.Y.	\ATLNE\CRUISES\FIELDW\WATER MASSES\COUNTRYIPO\COUNTRYRU\	Physical Oceanography, 5(4), 295-308, WOCE International Planning Office, WOCE Report 29/89, 274pp.	1994.00
106.00	HOT results show interannual variability of Pacific deep and bottom waters.	LUKAS, R.	\BOTTOM PRESSURE\CTD\HOTS\PACT\UNPUBW\COUNTRYUS\	WOCE Notes, 6(2), 1,3,14-15. (Unpublished manuscript)	1994.00
107.00	The future of global modeling within WOCE.	SENTINER, A.J.	\MODELLING\OCEAN CIRCULATION\UNPUBW\COUNTRYUS\	WOCE Notes, 6(2), 2-3. (Unpublished manuscript)	1994.00
108.00	Thermohaline structure of the CME.	KLINCK, J.M.	\CME\SALINITY\TEMPERATURE\THERMOHALINE CIRCULATION\UNPUBW\COUNTRYUS\	WOCE Notes, 6(2), 4-8. (Unpublished manuscript)	1994.00
109.00	TOPEX/POSEIDON near-real time altimetry in the north Indian Ocean.	KANTHA, L., LEBEN, R., BORN, G., BEITZELL, D., HARPER, S. AND KINDLE, J.	\ALTIMETRY\DYNAMIC HEIGHT\IND\SATELLITE\TOPEX-POSEIDON\UNPUBW\COUNTRYUS\	WOCE Notes, 6(2), 9-14. (Unpublished manuscript)	1994.00
110.00	News from the IPO.	GOULD, W.J.	\MANAGEMENT\PROGRESS REPORT\UNPUBW\COUNTRYGB\COUNTRYIPO\	International WOCE Newsletter, No.16, p.2. (Unpublished manuscript)	1994.00
111.00	Preliminary results from 'A Mediterranean Undercurrent Seeding Experiment' (AMUSE).	BOWER, A., ARMI, L. AND AMBAR, I.	\AMUSE\ATLNE\MEDITERRANEAN WATER\UNPUBW\COUNTRYIPO\COUNTRYPT\COUNTRYUS\	International WOCE Newsletter, No.16, 5-7. (Unpublished manuscript)	1994.00
112.00	The Romanche Fracture Zone: blocking and mixing of Arctic and Antarctic waters at the equator.	SPEER, K., MERCIER, H., MESSIAS, M.-J. AND MEMERY, L.	\ATLT\BOTTOM WATER\MID ATLANTIC RIDGE\ROMANCHE FRACTURE ZONE\UNPUBW\WATER MASSES\COUNTRYFR\COUNTRYIPO\	International WOCE Newsletter, No.16, 8-11. (Unpublished manuscript)	1994.00
113.00	The North Atlantic Tracer Release Experiment.	LEDWELL, J. AND WATSON, A.	\ATLN\NATRE\SULPHUR HEXAFLUORIDE\TRACERS\UNPUBW\COUNTRYGB\COUNTRYIPO\COUNTRYUS\	International WOCE Newsletter, No.16, 11-13. (Unpublished manuscript)	1994.00
114.00	FS Meteor completes A8.	MULLER, T.J.	\ATLN\CFC\CRUISES\CTD\TRACERS\UNPUBW\COUNTRYDE\COUNTRYIPO\	International WOCE Newsletter, No.16, 14-15. (Unpublished manuscript)	1994.00
115.00	All current meters recovered from the Hunter Channel array: FS Meteor finishes third DBE cruise.	ZENK, W.	\ATLT\CRUISES\CTD\HUNTER CHANNEL\UNPUBW\COUNTRYDE\COUNTRYIPO\	International WOCE Newsletter, No.16, 16-18. (Unpublished manuscript)	1994.00
116.00	Indian Ocean plans continue to evolve.	CHAPMAN, P.	\CRUISES\HYDROGRAPHIC SECTIONS\IND\UNPUBW\COUNTRYIPO\COUNTRYUS\	International WOCE Newsletter, No.16, 18-20. (Unpublished manuscript)	1994.00
117.00	WOCE field programme activities in 1994.	HOLLIDAY, N.P.	\CURRENT MEASUREMENT\PROGRESS REPORT\UNPUBW\COUNTRYIPO\	International WOCE Newsletter, No.16, 21-24. (Unpublished manuscript)	1994.00
118.00	The spreading of Antarctic Bottom Water into the Indian Ocean - first results of the UK ADOX Programme.	DICKSON, R.	\ADOX\ANTIND\CFC\CRUISES\TRACERS\UNPUBW\COUNTRYGB\COUNTRYIPO\	International WOCE Newsletter, No.16, 25-28. (Unpublished manuscript)	1994.00
119.00	Monitoring pressure differences across the ACC.	WHITWORTH, T. AND PILLSBURY, R.D.	\ACC\BOTTOM PRESSURE\UNPUBW\COUNTRYIPO\COUNTRYUS\	International WOCE Newsletter, No.16, 28-29. (Unpublished manuscript)	1994.00
120.00	BPR measurements of the ACC across the Drake Passage.	VASSIE, I., SPENCER, R., FODEN, P., SMITH, D. AND HARGREAVES, G.	\ACCLAIM\ANTATL\BOTTOM PRESSURE\DRAKE PASSAGE\UNPUBW\COUNTRYGB\COUNTRYIPO\	International WOCE Newsletter, No.16, 30-31. (Unpublished manuscript)	1994.00
121.00	Ocean heat transport - a precursor to the cold winter of 1992 in the south-west Pacific Ocean.	SPRINTALL, J., ROEMMICH, D. AND STANTON, B.	\PACSW\SST\UNPUBW\COUNTRYIPO\COUNTRYNZ\COUNTRYUS\	International WOCE Newsletter, No.16, 32-36. (Unpublished manuscript)	1994.00
122.00	Repeat hydrography programme for line PR6.	WHITNEY, F., FREELAND, H. AND PERKIN, R.	\HYDROGRAPHIC SECTIONS\PACNE\UNPUBW\COUNTRYCA\COUNTRYIPO\	International WOCE Newsletter, No.16, 37-39. (Unpublished manuscript)	1994.00
123.00	WOCE Data Information Unit (DIU) on-line Gopher and World Wide Web Information Systems.	ANONYMOUS	\DATA COLLECTIONS\UNPUBW\WWW\COUNTRYUS\	International WOCE Newsletter, No.16, 40-41. 1994. (Unpublished manuscript)	1994.00
124.00	Upper ocean thermal data availability.	ANONYMOUS	\DATA COLLECTIONS\TEMPERATURE\UNPUBW\XBT\COUNTRYIPO\	International WOCE Newsletter, No.16, p.42. 1994. (Unpublished manuscript)	1994.00
125.00	An announcement and an enquiry (both with respect to scientific publications).	SAUNDERS, P.M.	\BIBLIOGRAPHY\DATA COLLECTIONS\PUBLICITY MATERIAL\UNPUBW\COUNTRYGB\COUNTRYIPO\	International WOCE Newsletter, No.16, p.44. (Unpublished manuscript)	1994.00
127.00	Dynamics of thermal conditions in the North Atlantic in the winter of 1992-1993.	NECHVOLODOV, L.V.	\ATLN\REF\STRATIFICATION\TEMPERATURE\XBT\COUNTRYRU\COUNTRYSU\	Russian Meteorology and Hydrology, 1993(6), 48-53.	1994.00
128.00	A self-contained wind speed, direction and location system for buoys and ships in the World Ocean Circulation Experiment.	HOSOM, D.S., WELLER, R.A. AND ALLSUP, G.	\AIR SEA INTERACTION\HEAT EXCHANGE\IMET\TECHNOLOGY\UNPUBW\WINDS\COUNTRYUS\	Woods Hole Oceanographic Institution, Technical Report WHOI-94-10, 24pp. (IMET TR-94-01)	1994.00
129.00	A moored array along the southern boundary of the Brazil Basin for the Deep Basin Experiment - report on a joint experiment 1991-1992.	TARBELL, S., MEYER, R., HOGG, N. AND ZENK, W.	\ARGENTINE BASIN\ATLTW\BRAZIL CURRENT\DBE\FIELDW\HUNTER CHANNEL\OCEAN CIRCULATION\VEMA CHANNEL\COUNTRYDE\COUNTRYUS\	Woods Hole Oceanographic Institution, Technical Report WHOI-94-07, 107pp. (Berichte aus dem Institut fur Meereskunde an der Christian-Albrechts -Universitat, Kiel, 243)	1994.00
130.00	Assimilation of satellite altimeter data into an eddy-resolving primitive equation model of the North Atlantic Ocean.	OSCHLIES, A.	\ATLN\BOX MODELS\DATA ASSIMILATION\OCEAN MODEL\SATELLITE ALTIMETRY\UNPUBW\COUNTRYDE\	Berichte aus dem Institut fur Meereskunde an der Christian-Albrechts-Universitat, Kiel, No. 256, 129pp.	1994.00
