";"
";","File:","e:\outgoing\doe\grayshbr\70anmllw.dat"
";","Date:","Friday","May",15,1998,"10:49:44"
";","Surface","Name:","70anmllw"
";","Surface","Desc:",1970,"annual","condition","moved","-1.5 to NOS mllw"
";","Point","Type:","Random"
";","Format:","Easting","Northing","Elevation"
";","Pen","Order:","One","Then","Zeroes"
";"
221853,179620.6,-9.6012
221837.3,179635.5,-9.6012
221822.3,179651.1,-9.6012
221799.5,179675.7,-9.6012
221782.7,179694.3,-9.6012
221770.4,179708.5,-9.6012
221761.5,179719.5,-9.6012
221755,179727.9,-9.6012
221745.7,179740.9,-9.6012
221737,179754.5,-9.6012
221732.8,179761.7,-9.6012
221729.5,179768.2,-9.6012
221726.8,179773.9,-9.6012
221724.7,179779,-9.6012
221721.2,179787.9,-9.6012
221718.7,179794.7,-9.6012
221715.4,179805,-9.6012
221712.3,179815.5,-9.6012
221703.2,179846.9,-9.6012
221690.4,179894.3,-9.6012
221684.4,179918.1,-9.6012
221678.6,179941.9,-9.6012
221675.2,179958,-9.6012
221672.7,179972.2,-9.6012
221665.1,180022.1,-9.6012
221663,180034.6,-9.6012
221659.2,180053.1,-9.6012
221657,180062.3,-9.6012
221654.4,180071.5,-9.6012
221651.8,180079.6,-9.6012
221649.4,180086.6,-9.6012
221644.6,180098.7,-9.6012
221640.7,180107.6,-9.6012
221628.6,180134.3,-9.6012
221625.3,180141.8,-9.6012
221622.7,180147.3,-9.6012
221620.7,180151.5,-9.6012
221619.2,180154.5,-9.6012
221616.7,180159,-9.6012
221614,180163.5,-9.6012
221611.7,180166.8,-9.6012
221607.1,180172.9,-9.6012
221602.8,180178,-9.6012
221598.9,180182.3,-9.6012
221584.7,180196.9,-9.6012
221577.7,180204.3,-9.6012
221574.4,180208.1,-9.6012
221571.1,180212.1,-9.6012
221555.8,180231.8,-9.6012
221544.5,180246.8,-9.6012
221536.3,180258.2,-9.6012
221524.4,180275.6,-9.6012
221518.8,180284.5,-9.6012
221513.3,180293.5,-9.6012
221510.4,180298.8,-9.6012
221507.8,180303.9,-9.6012
221503.5,180313.6,-9.6012
221500.2,180322.3,-9.6012
221489.6,180353.3,-9.6012
221486.9,180361,-9.6012
221482.3,180372.4,-9.6012
221479.8,180377.9,-9.6012
221477,180383.4,-9.6012
221471.1,180394.3,-9.6012
221460.3,180413.2,-9.6012
221451.9,180427.1,-9.6012
221445.3,180437.4,-9.6012
221435,180452.6,-9.6012
221424.3,180467.6,-9.6012
221681.8,179121.1,-11.43
221679.8,179122.9,-11.43
221678.1,179124.5,-11.43
221674.9,179127.1,-11.43
221672.5,179128.9,-11.43
221670.6,179130.2,-11.43
221667.6,179132,-11.43
221664.5,179133.5,-11.43
221656.9,179136.9,-11.43
221650.1,179139.6,-11.43
221638.3,179144.2,-11.43
221620.4,179150.7,-11.43
221611.5,179154.1,-11.43
221602.6,179157.6,-11.43
221594.5,179160.9,-11.43
221588.5,179163.4,-11.43
221584.1,179165.4,-11.43
221580.7,179167,-11.43
221578.3,179168.2,-11.43
221574.6,179170.2,-11.43
221571,179172.5,-11.43
221569.1,179173.8,-11.43
221567.5,179175,-11.43
221566.1,179176.3,-11.43
221564.8,179177.6,-11.43
221563.7,179178.9,-11.43
221561.8,179181.3,-11.43
221560.2,179183.6,-11.43
221558.9,179185.7,-11.43
221212,180899.7,-9.6012
221207.9,180906.5,-9.6012
221200.2,180918.2,-9.6012
221194.1,180926.9,-9.6012
221184.5,180939.7,-9.6012
221174.6,180952.5,-9.6012
221166.7,180962.5,-9.6012
221159.5,180971.1,-9.6012
221153.2,180978.4,-9.6012
221147.5,180984.6,-9.6012
221142.3,180989.9,-9.6012
221137.7,180994.3,-9.6012
221129.3,181001.7,-9.6012
221122.7,181006.9,-9.6012
221117.5,181010.5,-9.6012
221109.5,181015.6,-9.6012
221101,181020.2,-9.6012
221093.3,181023.8,-9.6012
221086.5,181026.7,-9.6012
221080.5,181029,-9.6012
221069.9,181032.6,-9.6012
221061.9,181035,-9.6012
221049.8,181038.3,-9.6012
221037.6,181041.3,-9.6012
221013.8,181046.7,-9.6012
220977.9,181054,-9.6012
220960,181057.8,-9.6012
220942.1,181062,-9.6012
220930,181065.2,-9.6012
220908.9,181071.3,-9.6012
220893.2,181076.2,-9.6012
220881.5,181080.1,-9.6012
220864,181086.4,-9.6012
220846.8,181093.1,-9.6012
220842.9,181094.8,-9.6012
220839.4,181096.5,-9.6012
220833,181100.1,-9.6012
220827.5,181103.5,-9.6012
220808.7,181116.2,-9.6012
220804,181119.3,-9.6012
220796.8,181123.6,-9.6012
220793.1,181125.6,-9.6012
220789.3,181127.4,-9.6012
220785.5,181129,-9.6012
220778.3,181131.5,-9.6012
220771.9,181133.4,-9.6012
220748.9,181139.4,-9.6012
220743.3,181141.1,-9.6012
220739.1,181142.5,-9.6012
220733,181144.9,-9.6012
220730,181146.3,-9.6012
220727.1,181147.8,-9.6012
220705.4,181159.9,-9.6012
220673.1,181178.3,-9.6012
220641.1,181197.3,-9.6012
220569.4,181240.7,-9.6012
220497.8,181284.1,-9.6012
221797.3,177816.6,-11.43
221793.5,177816.3,-11.43
221789.8,177815.9,-11.43
221785.2,177815.7,-11.43
221781.5,177816.2,-11.43
221778.5,177817.2,-11.43
221776.3,177818.6,-11.43
221774.5,177820.4,-11.43
221773.3,177822.6,-11.43
221772.6,177825,-11.43
221772.2,177827.7,-11.43
221772.1,177830.6,-11.43
221772.3,177833.6,-11.43
221773.3,177840.1,-11.43
221201.2,180139.1,-11.43
221198.7,180143.1,-11.43
221196.3,180146.5,-11.43
221191.9,180152.4,-11.43
221184.8,180161,-11.43
221177.8,180169.4,-11.43
221169.5,180179.1,-11.43
221162,180187.2,-11.43
221135.3,180214.8,-11.43
221128.8,180221.8,-11.43
221119.5,180232.6,-11.43
221115.1,180238.2,-11.43
221110.8,180244,-11.43
221096.7,180264.3,-11.43
221075.8,180294.8,-11.43
221054.8,180325.3,-11.43
221007.9,180392.2,-11.43
220983.9,180425.3,-11.43
220959.3,180458.2,-11.43
220956.7,180461.3,-11.43
220954.2,180464.1,-11.43
