DIUREF	TITLE	AUTHOR	KEYWORD	REFERENCE	PDATE
135	Mesoscale variability in the Bransfield Strait region (Antarctica) during austral summer.	GARCIA, M.A., LOPEZ, O., SOSPEDRA, J., ESPINO, M., GRACIA, V., MORRISON, G., ROJAS, P., FIGA, J., PUIGDEFABREGAS, J. AND ARCILLA, A.	\ANTATL\CTD\GYRES\REF\WATER MASSES\COUNTRYCA\COUNTRYES\	Annales Geophysicae, 12(9), 856-867.	1994
136	The oceanic tides in the South Atlantic Ocean.	GENCO, M.L., LYARD, F. AND LE PROVOST, C.	\ATLS\REF\TIDAL MODELS\COUNTRYFR\	Annales Geophysicae, 12(9), 868-886.	1994
137	Tidal and residual currents in the Bransfield Strait, Antarctica.	LOPEZ, O., GARCIA, M.A. AND ARCILLA, A.S.	\ANTATL\REF\TIDAL CURRENTS\COUNTRYES\	Annales Geophysicae, 12(9), 887-902.	1994
138	South Atlantic sea surface temperature anomalies and air-sea interactions: stochastic models.	DOBROVOLSKI, S.G.	\AIR SEA INTERACTION\ATLS\REF\SST ANOMALIES\COUNTRYRU\	Annales Geophysicae, 12(9), 903-909.	1994
139	The Southern Ocean and climate: some problems of physical oceanography.	IVCHENKO, V.	\ACC\ANT\CONVEYOR BELT\EDDIES\POLYNYAS\UNPUBW\COUNTRYGB\	Second International Conference on Oceanography, Lisbon '94 - Towards sustainable use of oceans and coastal zones. (Preprint) Paris: Intergovernmental Oceanographic Commission. (IOC/OCEANS/WD/28(cc)),9pp.+figs. in	1994
140	International oceanographic data exchange and management.	WILSON, J.R.	\DATA COLLECTIONS\GOOS\IODE\UNPUB\COUNTRYCA\	Second International Conference on Oceanography, Lisbon '94 - Towards sustainable use of oceans and coastal zones. (Preprint) Paris: Intergovernmental Oceanographic Commission. (IOC/OCEANS/WD/45(IP)),11pp in	1994
141	Glacial waters in the equatorial Atlantic.	ANONYMOUS	\ATLT\CRUISES\CURRENTS\UNPUB\WATER MASSES\COUNTRYFR\	Lettre aux Medias, No.26, p.1. 1994	1994
142	NOAA carries out WHP transect and CO2 survey in eastern Pacific.	FEELY, R.A., BULLISTER, J.L. AND JOHNSON, G.C.	\CARBON DIOXIDE\CFC\JGOFS\PAC\UNPUBW\COUNTRYUS\	US JGOFS News, 6(1), 1,5. (Unpublished manuscript)	1994
143	Planning continues for a JGOFS North Atlantic field program. (Report on JGOFS North Atlantic Planning Group Meeting, 30 May 1994, Observatoire Oceanologique, Roscoff, France)	LAMPITT, R.S.	\ATLN\CONFERENCE\JGOFS\UNPUBW\COUNTRYGB\	US JGOFS News, 6(1), p.11. (Unpublished manuscript)	1994
144	Eddy fluxes of heat and salt from the southwest Indian Ocean into the southeast Atlantic Ocean: a case study.	VAN BALLEGOOYEN, R.C., GRUNDLINGH, M.L. AND LUTJEHARMS, J.R.E.	\AGULHAS\ALTIMETRY\ATLSE\GEOSAT\HEAT TRANSFER\INDSW\REF\SATELLITE\COUNTRYZA\	Journal of Geophysical Research, 99(C7), 14053-14070.	1994
145	Dynamically consistent hydrography and absolute velocity in the eastern North Atlantic Ocean.	WUNSCH, C.	\ATLNE\CURRENTS\DYNAMICS\HYDROGRAPHIC SECTIONS\REF\COUNTRYUS\	Journal of Geophysical Research, 99(C7), 14071-14090.	1994
146	Investigation of carbon dioxide in the central South Pacific Ocean (WOCE Sections P-16C and P-17C) during the TUNES/2 Expedition of the R/V Thomas Washington, July-August 1991. Final technical report for Grant DE-FGO2-90-ER60983.	TAKAHASHI, T., GODDARD, J.G., RUBIN, S., CHIPMAN, D.W. AND SUTHERLAND, S.C.	\ALKALINITY\CARBON DIOXIDE\FIELDW\NITRATE\OCEANOGRAPHIC DATA\OXYGEN\PACTE\PHOSPHATE\SALINITY\SILICATE\TEMPERATURE\COUNTRYUS\	Palisades, NY:  Lamont-Doherty Earth Observatory of Columbia University.  163pp.	1993
147	Preliminary report of the Hakuho Maru Cruise KH-91-5 and KH-93-2 (WOCE, WESTPAC), 13 August - 2 October 1991; 13 May - 18 June 1993.	TAIRA, K. AND KAWABE, M. (Eds)	\ADCP\CTD\DISSOLVED OXYGEN\FIELDW\PACNW\SURFACE CURRENTS\TEMPERATURE\XBT\COUNTRYJP\	Tokyo:  University of Tokyo, Ocean Research Institut.  119pp.	1994
149	Estimating the turbulent sensible and latent heat fluxes between the atmospheric boundary layer and the ocean surface: MPhil/PhD Upgrading Report, Southampton University, Department of Oceanography.	KENT, E.C.	\AIR SEA INTERACTION\ATMOSPHERIC FORCING\HEAT EXCHANGE\UNPUBW\COUNTRYGB\	James Rennell Centre for Ocean Circulation, Internal Document No. 15, various pagination. (Unpublished manuscript)	1994
150	Megachallenges in physical oceanography.	POLLARD, R.T.	\OCEAN CIRCULATION\UNPUBW\PREDICTION\COUNTRYGB\	pp.27-48 in, Megascience: the OECD Forum. Oceanography. Paris: Organisation for Economic Co-operation and Development.  167pp.	1994
151	Analytical report. (The role and objectives of megascience in oceanography, developing GOOS)	FLEMMING, N.C.	\ATOC\CLIVAR\DATA PROCESSING\GOOS\JGOFS\MONITORING SYSTEMS\OBSERVING SYSTEMS\TOGA\UNPUB\WCRP\COUNTRYGB\	pp.71-126 in, Megascience: the OECD Forum. Oceanography. Paris: Organisation for Economic Co-operation and Development.  167pp.	1994
152	Vertical structure of the baroclinic tides in the central North Pacific subtropical gyre.	CHISWELL, S.M.	\CTD\HAWAII WATERS\JGOFS\PACT\REF\STATION ALOHA\TIDES\COUNTRYNZ\	Journal of Physical Oceanography, 24(9), 2032-2039.	1994
153	North Atlantic ship-of-opportunity XBT Programme 1990 - data report.	SY, A. AND ULRICH, J.	\ATLN\CRUISES\TEMPERATURE\UNPUBW\XBT\COUNTRYDE\	Berichte des Bundesamtes fur Seeschiffahrt und Hydrographie, No. 1, 134pp.	1994
154	US WOCE plans Indian Ocean survey.	ANONYMOUS	\IND\MANAGEMENT\PLANNING\UNPUBW\COUNTRYUS\	Argos Newsletter, No.47, p.25. 1994	1994
155	Vers une vision globale de la circulation oceanique.	DE VERDIERE, A.C.	\ATLNE\OCEAN CIRCULATION\UNPUBW\WATER MASSES\COUNTRYFR\	Recherche Marines, No.8/9. 12-13.	1994
165	The design of an ATOC network for the North Atlantic.	GOULD, W.J. AND ATLANTIC ATOC GROUP	\ATLN\ATOC\UNPUBW\COUNTRYGB\	ATOC Occasional Notes, No.22, 1-4. (Unpublished manuscript)	1994
166	The Iceland-Faroe Front: a synergistic study of hydrography and altimetry.	TOKMAKIAN, R.	\AIMS\ALTIMETRY\ATLNN\CRUISES\FRONTS\ICELAND FAEROE FRONT\REF\SATELLITE\COUNTRYGB\	Journal of Physical Oceanography, 24(11), 2245-2262.	1994
167	Response of circulation and heat transport in the North Atlantic to changes in thermohaline forcing in northern latitudes: a model study.	DOSCHER, R., BOENING, C.W. AND HERRMANN, P.	\ATLNN\DENMARK STRAIT\MODELW\REF\THERMOHALINE CIRCULATION\COUNTRYDE\	Journal of Physical Oceanography, 24(11), 2306-2320.	1994
168	An estimate of the net heat transport through the Strait of Gibraltar.	MACDONALD, A.M., CANDELA, J. AND BRYDEN, H.L.	\ADVECTION\ATLNE\GIBRALTAR STRAIT\HEAT TRANSPORT\MED\UNPUBW\COUNTRYUS\	pp.13-32 in, Seasonal and interannual variability of the western Mediterranean Sea, (ed.P.E.La Violette). Washington, DC: American Geophysical Union.  273pp. (Coastal and Estuarine Studies, 46)	1994
169	On the variation of transport through the Florida Straits.	GREATBATCH, R.J., LU, Y. AND DEYOUNG, B.	\ATLTW\CME\FLORIDA STRAITS\OCEAN MODEL\TRANSPORT\UNPUBW\COUNTRYCA\	pp.70-72 in, The Atlantic Climate Change Program, (ed.A-M.Wilburn). Princeton, NJ: NOAA Geophysical Fluid Dynamics Laboratory.  179pp.	1994
170	The effects of a new isopyncal mixing parameterization on the North Atlantic circulation.	DANABASOGLU, G. AND BRYAN, F.O.	\ATLN\CME\OCEAN MODEL\UNPUBW\COUNTRYUS\	p.120 in, The Atlantic Climate Change Program, (ed.A-M.Wilburn). Princeton, NJ: NOAA Geophysical Fluid Dynamics Laboratory.  179pp.	1994
172	The SWINDEX Experiment: mooring design and implementation. SWINDEX Technical Report 1991-1993.	WADDINGTON, I., GOY, K., HARTMAN, M., WHITE, D. AND BONNER, R.	\CURRENT MEASUREMENT\INDSW\UNPUBW\COUNTRYGB\	Institute of Oceanographic Sciences Deacon Laboratory, Internal Document No. 337, unpaginated. (Unpublished manuscript)	1994
173	The ADOX Experiment: mooring design and implementation. ADOX Technical Report 1991-1993.	WADDINGTON, I.	\ANTIND\CRUISES\UNPUBW\COUNTRYGB\	Institute of Oceanographic Sciences Deacon Laboratory, Internal Document No. 335, various pagination. (Unpublished manuscript)	1994
174	Improving wind velocity measurements on ships. Industrial Training Year at the James Rennell Centre for Ocean Circulation, 12 Aug 1993 -9 Sept 1994.	MOAT, B.I.	\UNPUBW\WINDS\COUNTRYGB\	James Rennell Centre for Ocean Circulation, Internal Document No. 16, 37pp. & figs. (Unpublished manuscript)	1994
175	WOCE XBT sections in the Southern Ocean.	HOLLIDAY, N.P.	\ANT\UNPUBW\XBT\COUNTRYIPO\	Argos Newsletter, No.48, p.27.	1994
176	Decadal-scale change in the ocean.	GOULD, W.J.	\ARCEUR\ATLNN\CLIVAR\CTD\LABRADOR SEA\PREDICTION\TEMPORAL VARIATIONS\UNPUBW\COUNTRYIPO\	p.13 in, Ocean forecasting: grand challenges for European co-operation in forecasting the behaviour and characteristics of the oceans, (ed.D.Pugh). Strasbourg: European Science Foundation/Commission of the European Communities. 48pp.	1994
178	The Expedition Antarktis X/4 of RV Polarstern in 1992.	LEMKE, P. (Ed.)	\ANT\CHLOROPHYLL\CRUISES\CTD\FIELDW\SALINITY\TEMPERATURE\WEDDELL GYRE\COUNTRYDE\	Berichte zur Polarforschung, No. 140, 90pp.	1994
179	TOGA/WOCE XBT/XCTD Programme Planning Committee: report of the third meeting (TWXXPPC-3) and WOCE Upper Ocean Thermal Data Assembly Centres Coordination Group: report of the fifth meeting (UOT/DAC-5), RSMAS, University of Miami, Miami, FL, USA, 25-29	WOCE INTERNATIONAL PROJECT OFFICE	\COMMITTEES\SURFACE CURRENTS\TOGA\UNPUBW\XBT\COUNTRYIPO\	WOCE International Project Office, WOCE Report 121/94, 36pp.	1994
180	WOCE Hydrographic Programme data meeting, US National Science Foundation, Arlington, VA, USA, 24-25 May 1994.	WOCE INTERNATIONAL PROJECT OFFICE	\COMMITTEES\DATA COLLECTIONS\DATA MANAGEMENT\DATA PROCESSING\PROGRESS REPORT\QUALITY ASSURANCE\UNPUBW\WHP\COUNTRYIPO\	WOCE International Project Office, WOCE Report 122/94, 23pp.	1994
182	Estimating past changes in the eastern Mediterranean freshwater budget, using reconstructions of sea level and hydrography.	ROHLING, E.J. AND BRYDEN, H.L.	\GIBRALTAR STRAIT\MEDE\MEDITERRANEAN WATER\OUTFLOW\PYCNOCLINE\SICILY STRAIT\STRAIT DYNAMICS\UNPUB\COUNTRYUS\	Proceedings Koninklijke Nederlandse Akademie van Wetenschappen, 92(7), 201-217.	1994
183	ONR to fund 12 million dollar oceanic subduction research program.	ANONYMOUS	\ATLNE\AZORES\CONVECTION\MADEIRA WATERS\OCEAN CIRCULATION\RESEARCH PROGRAMMES\UNPUBW\COUNTRYUS\	WOCE Notes, 1(3), 1-2. 1989. (Unpublished manuscript)	1994
184	Lindstrom named director of US WOCE office.	ANONYMOUS	\CAREER\UNPUBW\COUNTRYUS\	WOCE Notes, 1(3), p.10. 1989. (Unpublished manuscript)	1994
185	Global ocean CO2 survey at halfway point.	WALLACE, D.W.	\CARBON DIOXIDE\HYDROGRAPHIC SECTIONS\JGOFS\PROGRESS REPORT\UNPUBW\COUNTRYUS\	US JGOFS News, 5(4), 1-2,10. (Unpublished manuscript)	1994
186	CDIAC develops management plan for US JGOFS CO2 data.	BODEN, T.A. AND KOZYR, A.	\CARBON DIOXIDE\CDIAC\DATA COLLECTIONS\JGOFS\UNPUB\COUNTRYUS\	US JGOFS News, 5(4), p.4. (Unpublished manuscript)	1994
187	HOT stuff: surprises emerging from five years' worth of data.	KARL, D.M.	\CARBON CYCLE\DATA ANALYSIS\HOTS\JGOFS\PACN\UNPUBW\COUNTRYUS\	US JGOFS News, 5(4), 9-10. (Unpublished manuscript)	1994
188	With ARABESQUE, UK extends JGOFS research into Arabian Sea.	BURKILL, P.H.	\ARABESQUE\BIOGEOCHEMISTRY\CARBON DIOXIDE\CHLOROPHYLL\CRUISES\INDNW\JGOFS\OCEAN COLOUR\UNPUB\COUNTRYGB\	US JGOFS News, 5(4), 12-13. (Unpublished manuscript)	1994
189	Operational design considerations for GOOS.	BRISCOE, M.G.	\GOOS\UNPUB\COUNTRYUS\	pp.96-101 in, Proceedings of GOOS International Symposium, March 23, 1993, Science and Technology Agency, Tokyo, Japan. Tokyo: Japan Science and Technology Agency.  168pp.	1993
190	The WOCE Hydrographic Program Office.	ANONYMOUS	\OCEAN CIRCULATION\UNPUBW\WHPO\COUNTRYUS\	Woods Hole Oceanographic Institution, Annual Report, 1993, 18-19.	1993
191	Determination of longwave heat flux at the air-sea interface using measurements from buoy platforms.	DICKEY, T.D., MANOV, D.V., WELLER, R.A. AND SIEGEL, D.A.	\AIR SEA INTERACTION\DATA BUOYS\RADIATION\REF\SST\COUNTRYUS\	Journal of Atmospheric and Oceanic Technology, 11(4), 1057-1078.	1994
192	Using an array of inverted echo sounders to measure dynamic height and geostrophic current in the North Pacific subtropical gyre.	CHISWELL, S.M.	\CTD\HAWAII WATERS\HOTS\PACN\REF\COUNTRYNZ\	Journal of Atmospheric and Oceanic Technology, 11(5), 1420-1424.	1994
193	Innovations in marine measurement technology.	BAUMANN, H., BREITENBACH, J. AND BOSSE, N.V.	\CTD\REF\TECHNOLOGY\TEMPERATURE\COUNTRYDE\	Meerestechnik, 16(2), 53-56.	1985
194	The World Ocean Circulation Experiment.	BRETHERTON, F.	\OCEAN CIRCULATION\OCEAN MODEL\PREDICTION\UNPUBW\COUNTRYIPO\COUNTRYUS\	WOCE Newsletter, No.1, (p.1).(Unpublished manuscript)	1985
195	Sampling to measure meridional heat and freshwater transports and interbasin exchanges during WOCE.	BRYDEN, H.L.	\FRESHWATER\HEAT TRANSPORT\MERIDIONAL CIRCULATION\UNPUBW\COUNTRYUS\	US WOCE Planning Report No.1, 105-108.	1985
196	Sampling errors in scatterometer and altimeter data.	CHELTON, D.B. AND FREILICH, M.H.	\ALTIMETRY\SCATTEROMETERS\UNPUBW\COUNTRYUS\	US WOCE Planning Report No.1, 69-84.	1985
197	The ocean and the WCRP.	CREASE, J.	\AIMS\DATA CENTRES\DATA COLLECTIONS\REF\WCRP\COUNTRYGB\	pp.45-51 in, The Role of data in scientific progress, (ed. P.S. Glaeser). North-Holland: Elsevier Scientific Publishers B.V.	1985
198	Float capabilities for WOCE.	DAVIS, R.E.	\FLOATS\OCEAN CIRCULATION\UNPUBW\COUNTRYUS\	US WOCE Planning Report No.1, 53-54.	1985
199	An NSCAT primer.	FREILICH, M.H.	\SATELLITE SENSING\SCATTEROMETERS\UNPUBW\WINDS\COUNTRYUS\	US WOCE Planning Report No.1, 85-97.	1985
200	WOCE Working Group on Numerical Modeling.	HAIDVOGEL, D.B.	\AIMS\COMMITTEES\OCEAN MODEL\REF\COUNTRYUS\	Bulletin of the American Meteorological Society, 66(6), p.668.	1985
201	Technology issues in WOCE.	HEINMILLER, R.	\CTD\DRIFTERS\SELECTED SHIPS\TECHNOLOGY\UNPUBW\COUNTRYIPO\COUNTRYUS\	WOCE Newsletter, No. 1, (7-9).(Unpublished manuscript)	1985
202	3H-3He sampling concerns for WOCE.	JENKINS, W.J.	\HELIUM\PLANNING\TRACERS\TRITIUM\UNPUBW\COUNTRYUS\	US WOCE Planning Report No. 1, 6-11.	1985
203	Report on the NATO Advanced Research Workshop on Water mass formation in the upper ocean, Venice, 29 Oct-2 Nov 1984.	KILLWORTH, P.D.	\CONFERENCE\UNPUB\WATER MASSES\COUNTRYGB\COUNTRYIPO\	WOCE Newsletter, No.1, (14-17).(Unpublished manuscript)	1985
204	Findings of research concerning marine parameters, sensors and circuits.	KROEBEL, W.	\CTD\CURRENT MEASUREMENT\INSTRUMENTS\MEASUREMENT\SENSORS\UNPUBW\COUNTRYDE\	Meerestechnik, 16(2), 49-52.	1985
205	WOCE Global Air-sea Interaction Fields.	LARGE, W.G. (Ed.)	\AIR SEA INTERACTION\HEAT EXCHANGE\METEOROLOGY\UNPUBW\COUNTRYUS\	US WOCE Technical Report, No. 1, 36pp.	1985
206	MODE water sampling.	MCCARTNEY, M.S.	\MODE WATER\PLANNING\UNPUBW\WATER MASSES\COUNTRYUS\	US WOCE Planning Report No. 1, 109-120.	1985
207	Surface drifters for WOCE.	MCWILLIAMS, J. AND HEINMILLER, R.	\DRIFTERS\LAGRANGIAN CURRENT MEASUREMENT\PLANNING\UNPUBW\COUNTRYUS\	US WOCE Planning Report No. 1, 49-52.	1985
208	Measuring the general circulation of the South Pacific Ocean. Scientific objectives and experimental plans: Report of the World Ocean Circulation Experiment South Pacific Sector Workshop, Scripps Institution of Oceanography, April 1-3, 1985.	ANONYMOUS	\PACS\PLANNING\UNPUBW\COUNTRYUS\	US WOCE Planning Report No. 2, (Section I), 42pp. 1985.	1985
209	The WOCE scientific plan.	NEEDLER, G.T.	\MANAGEMENT\PLANNING\UNPUBW\COUNTRYCA\COUNTRYIPO\	WOCE Newsletter, No.1, (6-7).(Unpublished manuscript)	1985
210	WOCE Working Group on numerical modeling.	NOWLIN, W.D.	\OCEAN MODEL\PLANNING\UNPUBW\COUNTRYUS\	EOS: Transactions, American Geophysical Union, 66(19), p.437.	1985
211	WOCE/TOGA data management.	NOWLIN, W.D.	\DATA CENTRES\DATA COLLECTIONS\PLANNING\UNPUBW\COUNTRYUS\	EOS: Transactions, American Geophysical Union, 66(19), p.436.	1985
213	WOCE planning report series.	NOWLIN, W.D.	\COMMITTEES\MANAGEMENT\PLANNING\UNPUBW\COUNTRYUS\	EOS: Transactions American Geophysical Union, 66(36), p.628.	1985
214	World Ocean Circulation Experiment: WOCE planning report series.	NOWLIN, W.D.	\COMMITTEES\MANAGEMENT\PLANNING\REF\COUNTRYUS\	Bulletin of the American Meteorological Society, 66(11), p.1434.	1985
215	AMS C14 for oceanography, a summary.	OSTLUND, H.G.	\CARBON ISOTOPES\PLANNING\PROGRESS REPORT\UNPUBW\COUNTRYUS\	US WOCE Planning Report No.1, 46-48.	1985
216	Report of the SCOR/IOC Committee on climatic changes and the ocean.	ANONYMOUS	\CCCO\CLIMATE CHANGES\COMMITTEES\OCEAN CIRCULATION\SCOR\UNPUB\COUNTRYINT\	SCOR Proceedings, 20, 76-80. 1985	1985
217	Report of the World Ocean Circulation Experiment N. Pacific Workshop, Timberline, Oregon, 9-10 April 1985.	ANONYMOUS	\CONFERENCE\PACN\PLANNING\UNPUBW\COUNTRYUS\	US WOCE Planning Report No.2, (Section II) 16pp. 1985.	1985
218	Long term ocean monitoring.	ROYER, T.C.	\MONITORING SYSTEMS\PLANNING\UNPUBW\COUNTRYUS\	US WOCE Planning Report No. 1, 98-102.	1985
219	Radium and radon isotopes as tracers of ocean circulation and mixing.	SARMIENTO, J.L.	\MIXING\OCEAN CIRCULATION\TRACERS\UNPUBW\COUNTRYUS\	US WOCE Planning Report No. 1, 32-45.	1985
220	Finescale studies using the WOCE CTD data set.	SCHMITT, R.W.	\CTD\FINESTRUCTURE\MIXING\UNPUBW\COUNTRYUS\	US WOCE Planning Report No. 1, 103-104.	1985
221	Utility of krypton-85 and argon-39 for investigating ocean circulation and mixing.	SMETHIE, W.M.	\ARGON\MIXING\OCEAN CIRCULATION\TRACERS\UNPUBW\COUNTRYUS\	US WOCE Planning Report No.1, 12-31.	1985
223	South Atlantic Ocean: a WOCE sector report.	ANONYMOUS	\ATLS\PLANNING\UNPUBW\COUNTRYUS\	US WOCE Planning Report No.2, (Section III), 31pp. 1985.	1985
224	Committee on Climatic Changes and the Ocean, 6th session, Washington 27 Nov - 4 Dec 1984: summary report.	STEWART, R. et al	\CCCO\CLIMATE CHANGES\OCEAN CIRCULATION\PROGRESS REPORT\TOGA\UNPUBW\COUNTRYINT\	Paris: Unesco/ICSU, 87pp. (IOC-SCOR/CCCO-VI/3)	1985
226	Dissolved atmospheric chlorofluoromethane sampling in WOCE.	WEISS, R.F.	\CFC\PLANNING\UNPUBW\COUNTRYUS\	US WOCE Planning Report No. 1, 1-5.	1985
227	World Ocean Circulation Experiment, Ocean Sector Meetings:  South Pacific, North Pacific, South Atlantic, and Indian Oceans:  contributions to the planning of WOCE.	ANONYMOUS	\ATLS\IND\MANAGEMENT\PAC\PLANNING\UNPUBW\COUNTRYUS\	US WOCE Planning Report, No. 2, (114pp). 1985	1985
228	World Ocean Circulation Experiment, documents on ocean sampling strategy and technology; backgrounds for Ocean Sector Meetings: contributions to the planning of WOCE.	ANONYMOUS	\MANAGEMENT\PLANNING\UNPUBW\COUNTRYUS\	US WOCE Planning Report, No. 1, 120pp. 1985	1985
229	WOCE in the Indian Ocean sector: report of a meeting held at the Rosenstiel School of Marine and Atmospheric Science, University of Miami 29-30 April 1985.	ANONYMOUS	\IND\MANAGEMENT\PLANNING\UNPUBW\COUNTRYUS\	US WOCE Planning Report No.2, (Section IV), 26pp. 1985.	1985
231	The international origins of WOCE.	WOODS, J.D.	\OBSERVING SYSTEMS\OCEAN MODEL\PLANNING\UNPUBW\COUNTRYGB\COUNTRYIPO\	WOCE Newsletter, No.1, (2-5).(Unpublished manuscript)	1985
232	The World Ocean Circulation Experiment.	WOODS, J.D.	\AIMS\CLIMATE CHANGES\CLIMATE MODEL\HEAT EXCHANGE\OCEAN MODEL\REF\COUNTRYGB\	Nature, 314(6011), 501-511.	1985
233	The World Ocean Circulation Experiment (WOCE).	WOODS, J.D.	\AIMS\CLIMATE CHANGES\CLIMATE MODEL\HEAT EXCHANGE\OCEAN MODEL\REF\COUNTRYGB\	Geographical Journal, 151(2), 302-303.	1985
234	World Climate Research Programme.	ANONYMOUS	\TOGA\UNPUBW\WCRP\COUNTRYINT\	World Meteorological Organization, Bulletin, 34(3), 239-241. 1985	1985
235	Experiments on the sensitivity of ocean circulation estimates to potential WOCE observations.	WUNSCH, C.	\ATLN\HEAT TRANSPORT\OCEAN CIRCULATION\UNPUBW\COUNTRYIPO\COUNTRYUS\	WOCE Newsletter, No.1, (10-13).(Unpublished manuscript)	1985
236	Summary of expected altimeter system capability during WOCE (for use in US WOCE Ocean Sector Planning Meetings).	WUNSCH, C.	\ALTIMETRY\MANAGEMENT\PLANNING\SATELLITE\UNPUBW\COUNTRYUS\	US WOCE Planning Report No.1, 55-68.	1985
237	Impact of satellite measurements on oceanographic component of the WCRP.	WUNSCH, C.	\OCEAN CIRCULATION\PREDICTION\SATELLITE SENSING\UNPUBW\COUNTRYUS\	pp.3-6 in, The use of satellite data in climate models, (by L.Bengtsson et al) Proceedings of a conference on ..., Alpbach, Austria, 10-12 June 1985. Noordwijk, The Netherlands: ESA Scientific and Technical Publications Branch, 191pp. (ESA SP-244)	1985
238	Americans and Japanese meet, plan international study.	ANONYMOUS	\MANAGEMENT\PLANNING\UNPUBW\COUNTRYUS\	Sea Technology, 27(6), p.51,  1986.	1986
239	An ocean community model.	ANDERSON, D. AND HOLLAND, B.	\MODELLING\OCEAN MODEL\UNPUBW\COUNTRYGB\COUNTRYIPO\COUNTRYUS\	WOCE Newsletter, No.2, 7-8.(Unpublished manuscript)	1986
240	Scientific plan for the World Ocean Circulation Experiment.	BRETHERTON, F.P. AND WOODS, J.D. et al	\MANAGEMENT\OCEAN CIRCULATION\PLANNING\UNPUBW\COUNTRYGB\COUNTRYIPO\	World Meteorological Organization, WCRP Publications Series No. 6, WOCE International Planning Office, WOCE Report 6/86, 103pp. (WMO/TD-No.122)	1986
241	A primer on the U.S. contribution to the World Ocean Circulation Experiment.	BRISCOE, M.G.	\MANAGEMENT\PLANNING\UNPUBW\COUNTRYUS\	US WOCE Planning Report No.4, 35pp.	1986
