        CERES Azimuth Position File

 Terra Satellite Orbit Inclination:  98.140
    GERB longitude:   -3.4  (if different - recompile!!)
    * DOY 2004001 = 01 January 2004

------------------------------------------------------------
--DOY*------ hhmmss ---orbit -- XT_Azimuth     (lat  lon)
------------------------------------------------------------
2006004     080247     32168      189.22      -14.23  34.34
2006004     080320     32168      191.66      -16.22  33.90
2006004     080353     32168      194.07      -18.21  33.45
2006004     080426     32168      196.43      -20.20  32.99
2006004     080459     32168      198.73      -22.18  32.52
2006004     080532     32168      200.98      -24.17  32.04
2006004     080605     32168      203.15      -26.15  31.56
2006004     080638     32168      205.25      -28.13  31.06
2006004     080718     32168      207.67      -30.51  30.44
2006004     080757     32168      209.96      -32.88  29.81
2006004     080837     32168      212.15      -35.25  29.14
2006004     080923     32168      214.54      -38.01  28.32
2006004     081009     32168      216.76      -40.76  27.46
2006004     081102     32168      219.10      -43.90  26.41
2006004     081155     32168      221.25      -47.03  25.27
2006004     081155     32168      180.00      -47.03  25.27

2006004     092500     32169      114.55       45.99  24.46
2006004     092658     32169      116.68       38.91  22.06
2006004     092824     32169      118.84       33.77  20.56
2006004     092930     32169      120.96       29.80  19.49
2006004     093030     32169      123.32       26.23  18.58
2006004     093116     32169      125.53       23.45  17.90
2006004     093155     32169      127.75       21.06  17.33
2006004     093228     32169      129.88       19.07  16.87
2006004     093301     32169      132.29       17.08  16.41
2006004     093328     32169      134.46       15.49  16.05
2006004     093354     32169      136.87       13.89  15.70
2006004     093421     32169      139.55       12.30  15.35
2006004     093440     32169      141.75       11.11  15.08
2006004     093500     32169      144.14        9.91  14.82
2006004     093520     32169      146.72        8.71  14.56
2006004     093540     32169      149.51        7.52  14.31
2006004     093600     32169      152.50        6.32  14.05
2006004     093613     32169      154.63        5.52  13.88
2006004     093626     32169      156.85        4.73  13.71
2006004     093639     32169      159.16        3.93  13.54
2006004     093652     32169      161.57        3.13  13.37
2006004     093706     32169      164.08        2.33  13.20
2006004     093719     32169      166.66        1.54  13.03
2006004     093732     32169      169.33        0.74  12.86
2006004     093745     32169      172.07       -0.06  12.69
2006004     093758     32169      174.86       -0.86  12.52
2006004     093812     32169      177.71       -1.66  12.35
2006004     093825     32169      180.58       -2.45  12.18
2006004     093838     32169      183.47       -3.25  12.01
2006004     093851     32169      186.37       -4.05  11.84
2006004     093904     32169      189.25       -4.84  11.66
2006004     093918     32169      192.11       -5.64  11.49
2006004     093931     32169      194.92       -6.44  11.32
2006004     093944     32169      197.68       -7.24  11.15
2006004     093957     32169      200.37       -8.03  10.98
2006004     094010     32169      202.99       -8.83  10.81
2006004     094024     32169      205.53       -9.63  10.63
2006004     094037     32169      207.97      -10.42  10.46
2006004     094050     32169      210.32      -11.22  10.29
2006004     094103     32169      212.58      -12.02  10.11
2006004     094116     32169      214.74      -12.81   9.94
2006004     094136     32169      217.80      -14.01   9.67
2006004     094156     32169      220.64      -15.20   9.41
2006004     094216     32169      223.28      -16.39   9.14
2006004     094236     32169      225.72      -17.59   8.87
2006004     094255     32169      227.97      -18.78   8.60
2006004     094322     32169      230.73      -20.37   8.23
2006004     094348     32169      233.20      -21.96   7.85
2006004     094415     32169      235.44      -23.55   7.47
2006004     094448     32169      237.92      -25.53   6.99
2006004     094521     32169      240.13      -27.51   6.49
2006004     094600     32169      242.44      -29.89   5.89
2006004     094646     32169      244.76      -32.65   5.14
