"uscode","sic","empflag","emp","qp1","ap","est","f1_4","e1_4","q1_4","a1_4","n1_4","f5_9","e5_9","q5_9","a5_9","n5_9","f10_19","e10_19","q10_19","a10_19","n10_19","f20_49","e20_49","q20_49","a20_49","n20_49","f50_99","e50_99","q50_99","a50_99","n50_99","f100_249","e100_249","q100_249","a100_249","n100_249","f250_499","e250_499","q250_499","a250_499","n250_499","f500_999","e500_999","q500_999","a500_999","n500_999","f1000","e1000","q1000","a1000","n1000"
"98","3996",,6953,53996,220900,19,"D",0,0,0,1,"D",0,0,0,2,"D",0,0,0,1,"D",0,0,0,1,,0,0,0,0,"D",0,0,0,2,"D",0,0,0,10,"D",0,0,0,1,"D",0,0,0,1
"98","3999",,67101,324562,1358571,3217,"D",0,0,0,1343,,3977,16785,72582,596,,7363,32191,137771,546,,13586,64380,272589,439,,12129,60173,247400,171,,14063,62979,267882,91,,7248,35446,144445,23,,4822,28077,112347,7,"D",0,0,0,1
"98","399\",,1253100,15034501,58024714,10335,,4277,55125,262900,1883,,9584,114049,460947,1402,,20446,248599,961139,1471,,63529,768025,2919160,2003,,92183,1056765,3996111,1315,,192188,2194765,8387246,1238,,174574,2108630,8037236,511,,210934,2525022,9678212,304,,485385,5963521,23321763,208
"98","40--",,5591848,41261377,165824596,235196,,207308,970034,5023174,115378,,281003,1410254,5908794,42305,,431298,2342969,9741871,31624,,810772,4994748,20572208,26430,,716246,4891652,19740226,10386,,924736,6811398,27136967,6190,,586377,4696131,18502062,1720,,470610,4095361,15982665,695,,1163498,11048830,43216629,468
"98","4100",,329040,1145433,4665965,15126,,10875,27698,152389,6923,,14964,38992,154333,2240,,29551,76348,307366,2159,,69592,205832,830491,2255,,62426,210534,864579,902,,73310,268625,1062421,507,,34953,128782,524612,105,,19354,93296,369353,29,,14015,95326,400421,6
"98","4110",,135160,541309,2284848,5883,"D",0,0,0,2444,,6341,17547,73932,943,,12844,33768,142926,937,,29629,91021,381436,971,,23973,88878,380142,350,,25325,106756,430956,180,,14493,60370,259695,43,,7151,41412,171360,11,"D",0,0,0,4
"98","4111",,40993,224990,929113,678,"D",0,0,0,222,,539,1794,8591,82,,1374,4113,18001,100,,3752,13364,54995,118,,5785,21136,86864,86,,5040,26865,97799,36,,7279,33077,139890,22,,5253,33235,135190,8,"D",0,0,0,4
"98","4119",,94035,316044,1354581,5187,,3412,10088,56365,2210,,5797,15744,65308,860,,11446,29593,124623,835,,25795,77516,325875,850,,18188,67742,293278,264,,20285,79891,333157,144,,7214,27293,119805,21,,1898,8177,36170,3,,0,0,0,0
"98","4120",,32010,86577,347179,3011,,2854,6122,28602,1895,"D",0,0,0,419,,4108,9456,36662,307,,8078,22133,86410,267,,5798,18005,72066,86,,4124,12479,49793,27,,2876,8099,33236,9,,0,0,0,0,"D",0,0,0,1
"98","4130",,22490,122702,453935,519,,257,1654,5456,140,,477,2526,7682,70,,961,4911,16117,70,,3304,17236,60889,108,,4934,26838,104134,68,,7487,40793,153502,52,,2644,13426,50094,8,,2426,15318,56061,3,,0,0,0,0
"98","4140",,18967,73800,319656,717,,406,1118,8242,250,,772,1994,9386,114,,1680,4922,22382,126,,4316,13447,61584,136,,3075,10654,47803,46,,5236,21486,88130,38,,1310,4848,19145,4,,2172,15331,62984,3,,0,0,0,0
"98","4141",,7336,29976,128532,244,"D",0,0,0,91,"D",0,0,0,33,"D",0,0,0,37,,1574,4946,23853,49,"D",0,0,0,14,,2313,10311,44078,16,"D",0,0,0,3,"D",0,0,0,1,,0,0,0,0
