Report Date/Time:   02-10-08 03:14:28


                             DAPS
                         DAY  -   41

                        PDTS THAT ARE ACTIVE


 OWNER   ADDRESS  FIRST ACTIVE  LAST ACTIVE    LAST TIME
BLM001  324AC28A       2007337      2009040       231952
BLM001  324AD1FC       2009035      2009040       235717
BLM001  324AE466       2007337      2009040       234453
BLM001  324AF710       2007337      2009040       231307
BLM001  324B1618       2007337      2009040       231337
BLM001  324B5512       2007337      2009040       233822
BLM001  324B73FE       2008356      2009040       233852
BLM001  324B837A       2007337      2009040       232152
BLM001  324B900C       2007337      2009040       231422
BLM001  324BA596       2007337      2009040       231407
BLM001  324BB6E0       2007337      2009040       232254
                        PDTS THAT ARE ACTIVE


 OWNER   ADDRESS  FIRST ACTIVE  LAST ACTIVE    LAST TIME
--------------------------------------------------------------------------------
BLM001  324BC070       2008059      2009040       235807
BLM001  324BD306       2008363      2009040       234055
BLM001  324BE69C       2007337      2009040       232352
BLM001  324BF5EA       2007337      2009040       232222
BLM001  324C21B6       2007338      2009040       230552
BLM001  324C5726       2008134      2009040       231003
BLM001  324C62BC       2008017      2009040       231904
BLM001  324C71CA       2008136      2009040       232043
BLM001  324CA7A2       2008280      2009040       234554
BLM001  324CB4D4       2007337      2009040       233923
BLM001  324CC244       2007337      2009040       234023
BLM001  324CD132       2007337      2009040       233853
