                                                                     TABLE 1
                                          AGGREGATE RESERVES OF DEPOSITORY INSTITUTIONS AND THE MONETARY BASE
                                          ADJUSTED FOR CHANGES IN RESERVE REQUIREMENTS, MILLIONS OF DOLLARS                   February  5, 2009
               ----------------------SEASONALLY ADJUSTED----------------------  --------------------NOT SEASONALLY ADJUSTED--------------------
                                            NON-                                                             NON-
                               NON-       BORROWED                                              NON-       BORROWED
                  TOTAL      BORROWED     RESERVES     REQUIRED     MONETARY       TOTAL      BORROWED     RESERVES     REQUIRED     MONETARY
     DATE       RESERVES     RESERVES    PLUS EXT CR   RESERVES       BASE       RESERVES     RESERVES    PLUS EXT CR   RESERVES       BASE
 -----------   -----------  -----------  -----------  -----------  -----------  -----------  -----------  -----------  -----------  -----------
      Apr.        22337        20769        21014        22064       151606        22355        20787        21032        22082       151189  
      May         22402        21285        21461        22043       152868        22205        21087        21263        21846       152595  
      June        22368        21164        21268        22060       153861        21941        20736        20840        21633       153772  
      July        22182        21490        21541        21868       154385        22105        21414        21464        21791       155455  
      Aug.        22348        21833        21926        22036       155470        21985        21469        21563        21672       155508  
      Sep.        22686        21752        21871        22302       156629        22433        21500        21619        22050       156095  
      Oct.        22889        22412        22553        22485       157716        22859        22382        22523        22455       157397  
      Nov.        23354        22733        22921        22952       158667        23415        22795        22983        23014       159572  
      Dec.        23600        22966        23152        23100       160127        24147        23513        23698        23646       163031  
 1983-Jan.        23226        22697        22854        22678       161136        24595        24066        24223        24047       162027  
      Feb.        23901        23319        23597        23466       163170        23737        23154        23433        23301       161275  
      Mar.        24414        23621        23939        23981       165052        23947        23155        23472        23514       163208  
      Apr.        24900        23890        24295        24424       166549        24923        23914        24319        24447       166078  
      May         24860        23907        24420        24411       167842        24682        23729        24242        24233       167523  
      June        25277        23641        24599        24797       169393        24823        23187        24145        24343       169347  
      July        25356        23903        24480        24848       170129        25255        23802        24380        24747       171275  
      Aug.        25376        23830        24320        24929       171208        24986        23440        23931        24540       171222  
      Sep.        25435        23994        24509        24937       172411        25149        23708        24223        24652       171860  
      Oct.        25454        24610        24866        24949       173584        25403        24559        24816        24898       173226  
      Nov.        25396        24491        24497        24867       174605        25451        24546        24552        24922       175600  
      Dec.        25367        24593        24595        24806       175467        25914        25140        25142        25353       178636  
 1984-Jan.        25451        24736        24740        24838       176896        26926        26211        26215        26313       177904  
      Feb.        25829        25262        25266        24923       177838        25391        24823        24828        24485       175487  
      Mar.        25763        24811        24838        25095       178872        25443        24491        24518        24775       177044  
      Apr.        25691        24457        24501        25218       179898        26143        24909        24953        25670       179621  
      May         25882        22894        22931        25313       180722        25481        22493        22530        24912       180296  
      June        26094        22793        24666        25334       181995        26188        22887        24760        25429       182587  
      July        25980        20056        25064        25351       182991        26060        20136        25144        25431       184487  
      Aug.        26039        18023        25066        25359       183754        25867        17850        24893        25187       184539  
      Sep.        26089        18847        25306        25440       184661        26028        18786        25245        25378       184540  
      Oct.        26259        20242        25299        25641       185219        26044        20027        25085        25426       184704  
      Nov.        26518        21901        25738        25820       186104        26514        21897        25734        25816       186552  
      Dec.        26913        23727        26331        26078       187252        27648        24462        27066        26813       190053  
 1985-Jan.        27077        25682        26732        26334       188080        27826        26431        27481        27084       188530  
      Feb.        27596        26307        27110        26746       189636        27042        25753        26557        26192       187141  
      Mar.        27590        25997        27056        26916       190320        27182        25588        26647        26507       188420  
      Apr.        27870        26548        27416        27134       191353        28271        26949        27817        27535       190895  
      May         28155        26821        27355        27402       192689        27713        26379        26913        26960       192075  
      June        28848        27644        28309        27926       194762        28885        27680        28345        27962       195405  
      July        29141        28034        28541        28301       195946        29213        28107        28613        28373       197589  
      Aug.        29652        28580        29149        28818       198013        29496        28423        28993        28662       198645  
      Sep.        30030        28741        29397        29333       199306        29956        28667        29323        29259       199115  
      Oct.        30490        29303        29932        29746       200739        30220        29032        29661        29475       200001  
      Nov.        30916        29175        29706        29998       202120        30928        29188        29718        30010       202510  
      Dec.        31569        30250        30749        30505       203555        32394        31075        31574        31330       206586  
 1986-Jan.        31563        30793        31290        30481       204221        32501        31730        32228        31419       204842  
      Feb.        31658        30775        31267        30645       205314        31012        30129        30621        29998       202761  
      Mar.        32090        31330        31848        31207       206929        31583        30822        31340        30700       204836  
      Apr.        32517        31625        32259        31745       208125        32976        32083        32718        32204       207827  
      May         33265        32389        32974        32387       210154        32784        31908        32492        31906       209395  
      June        33947        33144        33674        33028       211794        33946        33143        33674        33027       212485  
