  Tick      DoY      hits
  397348  158.84760   1
  397423  158.85900   1
  397562  158.88010   1
  397782  158.91340   1
  397796  158.91560   1
  398212  158.97860   1
  399505  159.17470   1
  399854  159.22760   1
  401652  159.50030   1
  401659  159.50130   1
  401688  159.50570   1
  402520  159.63190   1
  402792  159.67320   1
  402952  159.69740   1
  403811  159.82770   1
  404026  159.86030   1
  404244  159.89330   1
  404585  159.94500   1
  405236  160.04380   1
  405536  160.08920   1
  406473  160.23130   1
  408021  160.46610   1
  408119  160.48090   1
  408427  160.52760   1
  409843  160.74240   1
  410017  160.76880   1
  410705  160.87310   2
  410780  160.88440   1
  411099  160.93280   1
  411450  160.98600   1
  412052  161.07730   1
  412146  161.09160   1
  412428  161.13440   2
  413235  161.25670   1
  413867  161.35260   1
  414111  161.38960   1
  416314  161.72360   1
  418028  161.98350   1
  419212  162.16310   1
  419959  162.27640   1
  419967  162.27760   1
  420354  162.33620   1
  421297  162.47920   1
  421298  162.47940  16
  421299  162.47950  22
  421300  162.47970   7
  421301  162.47980   2
  421302  162.48000   1
  421303  162.48010   5
  421304  162.48030   5
  421305  162.48050   5
  421306  162.48060   7
  421307  162.48080   9
  421308  162.48090   6
  421309  162.48110   5
  421310  162.48120  10
  421311  162.48140   7
  421312  162.48150  16
  421313  162.48170   5
  421314  162.48180   1
  421315  162.48200   2
  421316  162.48210   2
  421980  162.58280   1
  421982  162.58310   1
  422086  162.59890   1
  422469  162.65700   1
  422766  162.70200   1
  423619  162.83130   1
  424918  163.02830   1
  425100  163.05590   1
  425348  163.09350   1
  425350  163.09380   1
  425781  163.15920   1
  425856  163.17060   1
  426785  163.31140   1
  427125  163.36300   1
  427230  163.37890   1
  427419  163.40760   1
  427692  163.44900   1
  427696  163.44960   1
  427896  163.47990   1
  428091  163.50950   1
  428117  163.51340   1
  428321  163.54440   1
  429226  163.68160   1
  429246  163.68460   1
  429427  163.71210   1
  429819  163.77150   1
  430073  163.81000   1
  430958  163.94420   1
  431152  163.97360   2
  431209  163.98230   1
  431498  164.02610   1
  432003  164.10270   1
  432812  164.22540   1
  434161  164.42990   1
  435672  164.65910   1
  435689  164.66160   1
  436545  164.79140   1
  437064  164.87010   1
  437903  164.99740   1
  438757  165.12690   1
  440189  165.34400   1
  440468  165.38630   1
  440641  165.41260   1
  441895  165.60270   1
  441925  165.60730   1
  443163  165.79500   1
  443170  165.79610   1
  443446  165.83790   1
  443495  165.84530   1
  443649  165.86870   1
  444487  165.99580   1
  444518  166.00050   1
  444865  166.05310   1
  446527  166.30510   1
  446660  166.32530   1
  447442  166.44380   1
  447534  166.45780   1
  448640  166.62550   1
  450035  166.83710   1
  450504  166.90820   1
  450768  166.94820   1
  450808  166.95430   1
  450866  166.96310   1
  450878  166.96490   1
  450907  166.96930   1
  450965  166.97810   1
  452483  167.20830   1
  453772  167.40370   1
  453990  167.43680   1
  455277  167.63190   1
  456786  167.86080   1
  457536  167.97450   1
  459537  168.27790   1
  464155  168.97820   1
  465466  169.17700   1
  467450  169.47780   1
  468601  169.65240   1
  469919  169.85220   1
  470275  169.90620   1
  470789  169.98420   1
  472493  170.24260   1
  479826  171.35450   1
  484803  172.10930   1
  488608  172.68620   1
  490803  173.01910   1
  497484  174.03220   1
  498191  174.13940   1
  500251  174.45180   1
  500270  174.45470   1
  507550  175.55860   1
  507924  175.61530   1
  508243  175.66370   1
  508795  175.74740   1
  509787  175.89780   1
  510255  175.96880   1
