SUMLEV,ST,CTY,STNAME,CTYNAME,TIME,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
050,24,015,Maryland,Cecil County,7,95536,47147,48389,5996,3018,2978,12376,6299,6077,6176,3224,2952,8384,4219,4165,74032,36182,37850,70988,34606,36382,41862,20756,21106,23549,11819,11730,10151,4431,5720,1121,336,785,36.0,35.4,36.6
050,24,015,Maryland,Cecil County,8,97796,48245,49551,6098,3072,3026,12377,6289,6088,6339,3306,3033,8579,4385,4194,76123,37225,38898,72982,35578,37404,43045,21353,21692,24301,12172,12129,10414,4549,5865,1178,367,811,36.0,35.4,36.6
050,24,017,Maryland,Charles County,1,120546,58878,61668,8603,4471,4132,18157,9197,8960,7891,4001,3890,9108,4566,4542,89734,43156,46578,85895,41209,44686,55028,26776,28252,27305,13487,13818,9402,3916,5486,902,237,665,34.6,34.0,35.1
050,24,017,Maryland,Charles County,2,120546,58878,61668,8603,4471,4132,18157,9197,8960,7891,4001,3890,9108,4566,4542,89734,43156,46578,85895,41209,44686,55028,26776,28252,27305,13487,13818,9402,3916,5486,902,237,665,34.6,34.0,35.1
050,24,017,Maryland,Charles County,3,121279,59247,62032,8719,4527,4192,18295,9264,9031,7981,4042,3939,9253,4642,4611,90159,43378,46781,86284,41414,44870,55217,26876,28341,27517,13600,13917,9460,3941,5519,921,245,676,34.6,34.0,35.1
050,24,017,Maryland,Charles County,4,124967,61193,63774,8811,4564,4247,18415,9339,9076,8210,4163,4047,10298,5262,5036,93556,45175,48381,89531,43127,46404,57002,27857,29145,28888,14281,14607,9767,4088,5679,1001,254,747,34.7,34.0,35.3
050,24,017,Maryland,Charles County,5,128198,62716,65482,8874,4573,4301,18562,9414,9148,8368,4262,4106,11071,5690,5381,96606,46597,50009,92394,44467,47927,58477,28568,29909,30157,14853,15304,10090,4253,5837,1063,290,773,34.9,34.0,35.5
050,24,017,Maryland,Charles County,6,132299,64737,67562,9140,4688,4452,18666,9487,9179,8697,4403,4294,11894,6099,5795,100114,48338,51776,95796,46159,49637,60333,29575,30758,31430,15393,16037,10442,4446,5996,1133,313,820,34.8,34.0,35.6
050,24,017,Maryland,Charles County,7,135702,66397,69305,9446,4820,4626,18698,9575,9123,9032,4549,4483,12504,6335,6169,102842,49661,53181,98526,47453,51073,61742,30264,31478,32658,15938,16720,10783,4627,6156,1226,356,870,34.8,34.0,35.6
050,24,017,Maryland,Charles County,8,138822,68007,70815,9769,5035,4734,18732,9634,9098,9250,4622,4628,12856,6578,6278,105583,50999,54584,101071,48716,52355,62992,30895,32097,33859,16470,17389,11159,4827,6332,1260,383,877,34.8,33.8,35.7
