"State","MSN","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006"
"AZ","NNRCV","35.58512","39.99103","42.61788","49.63101","48.50285","58.18612","85.24697","100.00313","92.44616","103.50086","119.61531","121.82110","174.49601","194.22595","197.65789","200.45691","159.45808","173.50844","197.15980","187.91143","207.81578","219.12749","205.46133","202.84221","223.70121","210.41249","208.40208","243.17864","306.85220","300.74446","327.59802","380.97409","426.84164","405.01515","464.58187","484.28589","588.42292"
"AZ","NNTCD","0.54105","0.57719","0.58246","0.65317","0.75068","1.01352","1.27447","1.61416","1.81529","2.40434","2.86166","3.17870","4.43439","4.99375","5.09727","4.92347","4.12360","4.09725","4.45087","3.92316","4.52257","4.58089","4.56523","4.85762","4.63727","4.63229","4.87987","4.93134","4.92151","4.94796","5.95279","6.17686","5.44698","6.40918","6.83796","8.87232","8.13615"
"AZ","NNTCV","96.82814","114.38768","124.66431","131.32118","136.13516","148.38474","209.09211","259.45213","308.97084","383.21071","433.99522","502.50930","525.90328","536.45516","573.43729","580.56396","379.26396","426.20091","487.91495","510.33258","464.04493","468.78335","493.04608","487.12628","528.89278","504.22742","525.94057","584.44012","694.56290","736.59385","1114.57492","1371.79828","1285.87085","1642.79992","2305.20918","2750.19786","2796.30831"
"CA","NNACD","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","4.69292","5.61699","6.25871","4.58053","4.98906","5.47499","4.59362","4.42430","4.00432","4.36582","6.19033","6.41470","4.40765","5.63948","6.84801","8.63859","7.84994"
"CA","NNACV","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.02103","0.05278","2.84942","2.64076","3.01218","4.66252","5.29586","6.88353","7.18835","9.31227","13.93856","17.67683","12.17329","19.69547","26.74260","82.82274","81.18060"
"CA","NNCCD","0.69101","0.71888","0.77319","0.80978","0.94109","1.22027","1.51021","1.97371","2.13452","2.60768","3.81554","4.19286","5.07864","6.08375","6.69853","6.38551","5.64907","5.28255","4.54903","4.69333","4.96424","5.35977","5.01281","5.81163","6.98665","6.14169","5.75774","6.30217","5.99228","6.05105","7.88431","9.18777","6.15045","7.97948","8.48382","10.49274","10.33512"
"CA","NNCCV","152.90810","181.60921","188.13888","197.99968","227.15678","309.55562","349.06628","471.65789","497.04585","706.39382","1027.91113","1037.22574","1256.13336","1367.22506","1333.63253","1359.69278","1070.35822","1153.94010","1162.49711","1264.23414","1460.51499","1582.13410","1466.65098","1509.95350","1865.62683","1730.82700","1399.83205","1627.64528","1786.03225","1502.46502","1858.15396","2293.26646","1446.53009","1898.23587","1998.68011","2491.64311","2549.42996"
"CA","NNEID","0.32827","0.34535","0.37665","0.42000","0.58700","1.04577","1.55681","2.09719","2.18102","2.44889","3.52700","3.99200","5.02300","5.07600","5.08700","4.47000","2.81000","2.50100","2.83100","2.92400","3.03100","2.86900","2.71800","2.96300","2.48400","2.22300","2.67900","3.02200","2.68620","2.72530","5.81150","9.28120","3.73931","5.37424","5.87944","7.85053","6.49917"
"CA","NNEIV","220.14735","204.86848","242.31776","203.18292","183.31649","305.21820","487.28847","797.42435","698.57485","1148.66071","1924.98702","2759.97785","2823.55573","2473.98689","3060.59737","3130.13317","1304.44731","1670.12241","1621.72016","1975.11946","1966.93024","1854.80567","2143.48966","2057.01241","2073.80361","1378.19678","1442.91496","1837.16251","1783.74865","2014.49343","5295.69490","9276.82892","2775.71867","3879.38583","4661.63088","5568.48855","5172.31269"
"CA","NNICD","0.38425","0.41556","0.44818","0.50742","0.65459","1.05214","1.39206","1.85580","2.04361","2.60599","3.64245","3.88275","4.65916","5.27510","5.00959","4.54262","3.46007","3.39175","3.65478","3.60730","3.78883","3.85833","3.57501","2.71653","3.18868","3.65989","3.64512","4.10968","3.54993","3.28176","5.53156","6.49939","4.99534","7.03956","7.75636","9.65842","9.21540"
"CA","NNICV","209.33653","225.88363","244.41700","283.64261","361.75381","539.56667","654.38709","872.78256","721.62207","962.88597","1248.73578","1347.87546","1422.45944","1499.23413","1781.31653","1745.80855","1252.11543","1637.51552","1557.20300","1712.76490","1967.67034","2147.03892","1981.91057","1571.98847","1806.12556","2156.56026","2162.84615","2734.88677","2525.35071","2162.27188","3635.93347","3888.14501","3213.64251","4971.35487","5923.11983","6896.89782","6022.58001"
"CA","NNRCD","0.93454","0.98102","1.02671","1.10527","1.30917","1.49061","1.68444","1.79677","1.88765","2.35598","3.36987","3.57733","4.23941","5.20021","5.62326","5.50598","4.95489","5.12661","5.48217","5.37439","5.59604","6.11000","5.81353","6.00526","6.26453","6.35436","6.22764","6.69544","6.55080","6.52410","8.58490","10.27100","7.20423","8.93897","9.69299","11.63133","11.68275"
"CA","NNRCV","544.25869","652.44883","687.63505","714.84835","800.41016","993.81712","1061.94852","1022.24279","1066.76073","1458.51516","1861.55233","1824.19976","2384.74157","2698.69515","2755.44098","3016.13734","2384.67668","2648.27019","2803.85915","2873.25868","2971.27626","3190.03946","2861.87240","3123.03650","3326.32120","3067.43169","3048.59029","3261.33564","3805.52117","3763.44635","4242.35397","5347.40734","3633.17350","4546.32537","5048.77449","5731.82703","5798.04780"
"CA","NNTCD","0.55800","0.61563","0.64826","0.72371","0.91555","1.24525","1.55210","1.90788","2.02801","2.47408","3.54484","3.88080","4.70218","5.30534","5.42478","5.01370","4.01618","3.77062","4.04622","4.00423","4.19696","4.34303","3.97345","4.02495","4.12515","4.22244","4.31968","4.68633","4.39139","4.24743","6.53994","8.78344","5.20759","7.03159","7.62187","9.60212","8.90892"
"CA","NNTCV","1126.65067","1264.81015","1362.50869","1399.67356","1572.63724","2148.15761","2552.69036","3164.10759","2984.00350","4276.45566","6063.18626","6969.27881","7886.89010","8039.14123","8930.98741","9251.77184","6011.59764","7109.84822","7145.27942","7825.37718","8366.41286","8774.07093","8456.77303","8264.63164","9074.88938","8337.67825","8059.47931","9467.91373","9907.84113","9451.98895","15046.07486","20823.32456","11081.23806","15314.99741","17658.94791","20771.67925","19623.55106"
"CO","NNACD","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","3.46663","3.34078","3.38075","2.67983","3.55189","1.49183","2.09029","2.42771","2.07698","2.08825","3.95784","4.24031","3.55711","4.16612","6.09553","7.96161","5.14839"
"CO","NNACV","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.03835","0.05170","0.33943","0.33354","0.46729","0.28305","0.52532","0.85986","0.78737","0.98127","2.04735","2.49788","2.13287","3.04085","4.91720","1.35485","0.96002"
"CO","NNCCD","0.58521","0.60879","0.64416","0.69617","0.84542","1.10481","1.20776","1.58047","2.00265","2.60158","3.03088","3.85551","4.56105","5.01147","4.76269","4.61102","4.41360","4.14809","3.83389","4.00412","3.98209","3.92753","3.92819","4.00091","4.37087","4.17279","3.61220","4.02307","4.31296","4.54836","5.38065","7.66897","4.80798","5.93730","7.60797","9.13963","9.30525"
