 475879.84 2840208.13   -0.06 AB29E10700 20020509Y
 476240.46 2840201.95   -0.19 AB29E10700 20020509Y
 476629.06 2840192.67   -0.35 AB29E10700 20020509Y
 477032.54 2840197.85   -0.44 AB29E10700 20020509Y
 477447.83 2840191.35   -0.10 AB29E10700 20020509Y
 477878.11 2840216.13   -0.10 AB29E10700 20020509Y
 478279.30 2840195.52   -0.16 AB29E10700 20020509Y
 478665.15 2840182.00   -0.12 AB29E10700 20020509Y
 479013.47 2840196.78   -0.34 AB29E10700 20020509Y
 479433.72 2840195.79   -0.31 AB29E10700 20020509Y
 479826.91 2840200.43    0.02 AB29E10700 20020509Y
 480209.30 2840200.60    0.01 AB29E10700 20020509Y
 480615.65 2840207.88   -0.18 AB29E10700 20020509Y
 481001.00 2840197.22    0.09 AB29E10700 20020509Y
 481420.31 2840196.30    0.04 AB29E10700 20020509Y
 481806.47 2840197.81   -0.05 AB29E10700 20020509Y
 482225.25 2840185.33    0.06 AB29E10700 20020509Y
 482590.84 2840201.59   -0.02 AB29E10700 20020509Y
 483017.30 2840195.71   -0.05 AB29E10700 20020509Y
 483408.34 2840199.56   -0.04 AB29E10700 20020509Y
 483830.57 2840194.67    0.11 AB29E10700 20020509Y
 484217.40 2840195.34    0.04 AB29E10700 20020509Y
 484608.01 2840196.04   -0.07 AB29E10700 20020509Y
 485046.19 2840197.72   -0.25 AB29E10700 20020509Y
 485406.66 2840194.88   -0.25 AB29E10700 20020509Y
 485743.63 2840196.64   -0.11 AB29E10700 20020509Y
 486177.20 2840198.94   -0.22 AB29E10700 20020509Y
 486582.17 2840199.37   -0.29 AB29E10700 20020509Y
 486976.95 2840204.59   -0.12 AB29E10700 20020509Y
 487014.22 2840601.91   -0.35 AB31D07100 20020509Y
 486605.79 2840608.70   -0.33 AB31D07100 20020509Y
 486210.97 2840603.09   -0.49 AB31D07100 20020509Y
 485815.58 2840608.82   -0.39 AB31D07100 20020509Y
 485413.43 2840604.11   -0.31 AB31D07100 20020509Y
 484997.78 2840604.36   -0.30 AB31D07100 20020509Y
 484612.73 2840607.10   -0.21 AB31D07100 20020509Y
 484213.25 2840600.34   -0.06 AB31D07100 20020509Y
 483815.57 2840597.49   -0.01 AB31D07100 20020509Y
 483413.19 2840608.53    0.00 AB31D07100 20020509Y
 483011.88 2840598.40   -0.02 AB31D07100 20020509Y
 482599.03 2840598.19   -0.03 AB31D07100 20020509Y
 482213.41 2840602.68   -0.05 AB31D07100 20020509Y
 481824.53 2840608.88    0.04 AB31D07100 20020509Y
 481429.83 2840595.97   -0.17 AB31D07100 20020509Y
 481147.30 2840618.46    0.01 AB31D07100 20020509Y
 480822.15 2840589.02   -0.15 AB31D07100 20020509Y
 480577.54 2840611.54    0.10 AB31D07100 20020509Y
 480207.05 2840598.40    0.12 AB31D07100 20020509Y
 479816.49 2840599.21    0.21 AB31D07100 20020509Y
 479407.17 2840599.59    0.06 AB31D07100 20020509Y
 479005.36 2840601.56    0.10 AB31D07100 20020509Y
 478622.61 2840608.97    0.15 AB31D07100 20020509Y
 478187.09 2840614.99    0.30 AB31D07100 20020509Y
 477799.97 2840608.91    0.09 AB31D07100 20020509Y
 477400.42 2840606.77    0.15 AB31D07100 20020509Y
 477008.86 2840602.02   -0.02 AB31D07100 20020509Y
 476570.72 2840607.61   -0.25 AB31D07100 20020509Y
 476230.22 2840615.56   -0.14 AB31D07100 20020509Y
 475849.38 2840605.33   -0.10 AB31D07100 20020509Y
 475461.07 2840599.91   -0.08 AB31D07100 20020509Y
 475049.66 2840600.16   -0.31 AB31D07100 20020509Y
 475016.11 2841004.52    0.07 AB33C10700 20020509Y
 475439.42 2840995.83    0.12 AB33C10700 20020509Y
 475821.71 2840999.21   -0.12 AB33C10700 20020509Y
 476210.07 2841001.72   -0.31 AB33C10700 20020509Y
 476611.90 2841002.63   -0.02 AB33C10700 20020509Y
 477029.98 2840999.16   -0.12 AB33C10700 20020509Y
 477438.34 2840998.26    0.17 AB33C10700 20020509Y
 477851.30 2840992.03    0.34 AB33C10700 20020509Y
 478219.94 2840992.47    0.27 AB33C10700 20020509Y
 478644.57 2841002.79    0.46 AB33C10700 20020509Y
 479027.59 2840978.97    0.12 AB33C10700 20020509Y
 479410.35 2841000.02    0.00 AB33C10700 20020509Y
 479806.17 2840997.82   -0.10 AB33C10700 20020509Y
 480598.63 2840999.42    0.26 AB33C10700 20020509Y
 481229.06 2840987.75   -0.14 AB33C10700 20020509Y
 481826.68 2840988.05    0.28 AB33C10700 20020509Y
 482249.27 2841005.31   -0.13 AB33C10700 20020509Y
