SUMLEV,STATE,COUNTY,STNAME,CTYNAME,SEX,ORIGIN,RACE,CENSUS2000POP,ESTIMATESBASE2000,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004
050,22,113,Louisiana,Vermilion Parish,0,0,02,7815,7815,7768,7810,7861,7903,7906
050,22,113,Louisiana,Vermilion Parish,0,0,03,275,275,253,223,261,246,237
050,22,113,Louisiana,Vermilion Parish,0,0,04,1075,1075,1059,1082,1153,1208,1284
050,22,113,Louisiana,Vermilion Parish,0,0,05,46,46,11,15,12,13,17
050,22,115,Louisiana,Vernon Parish,0,0,01,41331,41331,41144,41216,40686,40074,39597
050,22,115,Louisiana,Vernon Parish,0,0,02,9662,9662,9865,9572,9072,8948,8490
050,22,115,Louisiana,Vernon Parish,0,0,03,1451,1451,1467,1469,1389,1383,1372
050,22,115,Louisiana,Vernon Parish,0,0,04,1297,1297,1471,1491,1494,1526,1497
050,22,115,Louisiana,Vernon Parish,0,0,05,313,313,485,467,474,477,462
050,22,117,Louisiana,Washington Parish,0,0,01,29832,29832,29814,29853,29821,29878,29987
050,22,117,Louisiana,Washington Parish,0,0,02,13958,13958,13957,13874,13915,13958,14023
050,22,117,Louisiana,Washington Parish,0,0,03,209,209,198,202,214,209,228
050,22,117,Louisiana,Washington Parish,0,0,04,118,118,85,81,103,93,96
050,22,117,Louisiana,Washington Parish,0,0,05,21,21,9,3,6,4,5
050,22,119,Louisiana,Webster Parish,0,0,01,27765,27765,27701,27586,27546,27350,27392
050,22,119,Louisiana,Webster Parish,0,0,02,13855,13855,13804,13693,13745,13702,13615
050,22,119,Louisiana,Webster Parish,0,0,03,354,354,355,353,362,354,355
050,22,119,Louisiana,Webster Parish,0,0,04,143,143,125,125,135,151,159
050,22,119,Louisiana,Webster Parish,0,0,05,47,47,38,32,33,35,30
050,22,121,Louisiana,West Baton Rouge Parish,0,0,01,13794,13794,13762,13783,13853,14000,14016
050,22,121,Louisiana,West Baton Rouge Parish,0,0,02,7751,7751,7728,7799,7774,7623,7798
