NASA Ames Airborne Tracking 6-Channel Sunphotometer, AATS-6
ACE-Asia  4/12/2001
Date processed: 09-Nov-2002 by Jens Redemann, Version 4.0
This file contains aerosol optical depth, extinction, averaged vertically over  20.000  m, smoothed by aero_smooth =    0.990 
intervals; time period:   1.235 to  1.638 UT
NO2 [molec/cm2]: 2e+015
O3 [DU]: 343
Relative Std Dev Filter Aerosol[%]: 0.8
Relative Std Dev Filter H2O [%]: 5.0
Max m_aero: Inf
Max tau_aero: 3.0
Max tau_aero error: Inf
Min Alpha Angstrom: -0.03
H2O smoothing parameter: 0.99
aerosol wavelengths [10^-6 m]  0.380  0.451  0.526  1.021 
UT[h]     Lat[deg] Long[deg] RAF_ref_Altitude[km] p[hPa]  CWV[cm] Err[cm] D[g/m3] Err[g/m3] D_is[g/m3]
01.36139  33.43225 127.09743   5.190  518.57  0.0001  0.1001  0.0059  0.0000   0.0386
01.36056  33.43269 127.10155   5.209  517.24  0.0001  0.1003  0.0063  0.0006   0.0380
01.35972  33.43312 127.10567   5.227  515.98  0.0003  0.1005  0.0061  0.0016   0.0373
01.35889  33.43356 127.10979   5.244  514.78  0.0003  0.1006  0.0053  0.0020   0.0367
01.35806  33.43400 127.11393   5.260  513.64  0.0001  0.1003  0.0042  0.0009   0.0361
01.35681  33.43468 127.12012   5.283  511.99  0.0000  0.1001  0.0022  0.0002   0.0353
01.35556  33.43539 127.12632   5.306  510.34  0.0000  0.1001 -0.0001  0.0002   0.0346
01.35472  33.43588 127.13044   5.321  509.27  0.0001  0.1002 -0.0017  0.0006   0.0342
01.35347  33.43666 127.13661   5.345  507.62  0.0001  0.1002 -0.0041  0.0005   0.0337
01.35222  33.43749 127.14275   5.368  505.99  0.0003  0.1007 -0.0061  0.0024   0.0332
01.35139  33.43807 127.14683   5.385  504.90  0.0007  0.1011 -0.0071  0.0044   0.0329
01.35056  33.43865 127.15089   5.401  503.76  0.0008  0.1012 -0.0077  0.0052   0.0326
01.34931  33.43952 127.15699   5.423  502.29  0.0007  0.1011 -0.0082  0.0049   0.0322
01.34806  33.44040 127.16306   5.443  500.92  0.0007  0.1011 -0.0083  0.0057   0.0318
