NuoscProb: ctrls: 0
prob-load: unknown option -g.
optitr.index=1
using cp phase: 0
prob-load: unknown option --lin.
optitr.index=15
prob-load: unknown option -o.
optitr.index=19
prob-load: unknown option --.
optitr.index=19
prob-load: unknown option -g.
prob-load: unknown option -o.
prob-load: unknown option --.
prob-load: unknown option -o.
prob-load: unknown option --.
prob: ctrls: 0
5.04e+09 0.0185469 0.337191 0.644262
5.05e+09 0.0185654 0.336774 0.64466
5.06e+09 0.0184563 0.340092 0.641451
5.07e+09 0.0182445 0.346315 0.63544
5.08e+09 0.0181398 0.349401 0.632459
5.09e+09 0.0183631 0.343105 0.638532
5.1e+09 0.0183339 0.344108 0.637558
5.11e+09 0.0179865 0.354268 0.627746
5.12e+09 0.0179863 0.35438 0.627634
5.13e+09 0.0180983 0.351302 0.630599
5.14e+09 0.0183521 0.344098 0.63755
5.15e+09 0.0179204 0.356689 0.625391
5.16e+09 0.0180612 0.35269 0.629249
5.17e+09 0.0177101 0.363006 0.619284
5.18e+09 0.0179851 0.355186 0.626829
5.19e+09 0.0175658 0.367545 0.614889
5.2e+09 0.0175365 0.368507 0.613956
5.21e+09 0.0175179 0.36916 0.613322
5.22e+09 0.017655 0.365234 0.617111
5.23e+09 0.0175546 0.368367 0.614079
5.24e+09 0.0174951 0.370144 0.612361
5.25e+09 0.0177049 0.364212 0.618083
5.26e+09 0.0173296 0.37525 0.60742
5.27e+09 0.0176442 0.366089 0.616267
5.28e+09 0.017201 0.379285 0.603514
5.29e+09 0.0173223 0.375859 0.606819
5.3e+09 0.0170808 0.383047 0.599872
5.31e+09 0.0169147 0.388063 0.595022
5.32e+09 0.0171443 0.381431 0.601425
5.33e+09 0.0167236 0.393995 0.589281
5.34e+09 0.0170363 0.384787 0.598177
5.35e+09 0.0167197 0.394318 0.588962
5.36e+09 0.0171771 0.380923 0.601899
5.37e+09 0.0169275 0.388365 0.594707
5.38e+09 0.01681 0.39196 0.59123
5.39e+09 0.0169056 0.389229 0.593865
5.4e+09 0.0168387 0.39133 0.591832
5.41e+09 0.0168149 0.39214 0.591045
5.42e+09 0.0165193 0.401015 0.582466
5.43e+09 0.0167094 0.395461 0.58783
5.44e+09 0.0164124 0.404433 0.579154
5.45e+09 0.0166086 0.398687 0.584704
5.46e+09 0.0163762 0.405735 0.577889
5.47e+09 0.0161878 0.411485 0.572327
5.48e+09 0.0163097 0.407909 0.575781
5.49e+09 0.016315 0.407852 0.575833
5.5e+09 0.0159904 0.417765 0.566245
5.51e+09 0.0157279 0.425786 0.558486
5.52e+09 0.0159064 0.420456 0.563638
5.53e+09 0.0162138 0.411246 0.572541
5.54e+09 0.016033 0.416812 0.567154
5.55e+09 0.0159231 0.420243 0.563833
5.56e+09 0.016021 0.417393 0.566586
