
 Processing inputs for a 50 channel scanner,
 using 2 visual and 2 IR nadir pixel bands
 The first line of the config.asc file is:
 "50 MAS Configuration for 05-922  20 Jun 2005  TCSP"

 Ch Sb Nb Vi Slp/Emis Intcpt   Left   Peak  Right   Fctr    Ssi
 07 07 16  0 0.054580 0.0000  0.843  0.864  0.884  0.1000  980.98
 15 15 16  0 0.003276 0.0000  1.853  1.878  1.902  0.0100  140.08
 30 30 16  1 0.945000 0.0000  3.671  3.740  3.800  0.0010   11.86
 45 45 16  1 0.957000 0.0000 10.774 11.003 11.274  0.0100    0.16

 Record ScanLine -2005171-  INU_Lat    INU_Lon    Roll   Rad_07  Rad_15  Tmp_30  Tmp_45
 000204 00024165 18.311705 +39.59747 -119.45383  +2.200 0.00000 0.00000   error   error
 000205 00024185 18.312599 +39.60005 -119.44714  +1.804 0.00000 0.00000   error   error
 000206 00024205 18.313498 +39.60331 -119.43821  +1.474 0.00000 0.00000   error   error
 000207 00024225 18.314392 +39.60571 -119.43186  +1.232 0.00000 0.00000   error   error
 000208 00024245 18.315283 +39.60812 -119.42516  +1.034 0.00000 0.00000   error   error
 000209 00024265 18.316177 +39.61035 -119.41847  +0.836 0.00000 0.00000   error   error
 000210 00024285 18.317072 +39.61361 -119.40937  +0.594 0.00000 0.00000   error   error
 000211 00024305 18.317966 +39.61601 -119.40250  +0.528 0.00000 0.00000   error   error
 000212 00024325 18.318861 +39.61842 -119.39581  +0.374 0.00000 0.00000   error   error
 000213 00024345 18.319757 +39.62065 -119.38911  +0.264 0.00000 0.00000   error   error
 000214 00024365 18.320650 +39.62305 -119.38242  +0.220 0.00000 0.00000   error   error
 000215 00024385 18.321545 +39.62614 -119.37350  +0.220 0.00000 0.00000   error   error
 000216 00024405 18.322441 +39.62837 -119.36680  +0.044 0.00000 0.00000   error   error
 000217 00024425 18.323334 +39.63060 -119.36028  +0.066 0.00000 0.00000   error   error
 000218 00024445 18.324228 +39.63284 -119.35358  +0.022 0.00000 0.00000   error   error
 000219 00024465 18.325123 +39.63507 -119.34689  +0.000 0.00000 0.00000   error   error
 000220 00024485 18.326019 +39.63816 -119.33762  -0.022 0.00000 0.00000   error   error
 000221 00024505 18.326912 +39.64056 -119.33092  -0.066 0.00000 0.00000   error   error
 000222 00024525 18.327808 +39.64279 -119.32423  -0.176 0.00000 0.00000   error   error
 000223 00024545 18.328703 +39.64502 -119.31736  -0.242 0.00000 0.00000   error   error
 000224 00024565 18.329594 +39.64811 -119.30843  -0.264 0.00000 0.00000   error   error
 000225 00024585 18.330492 +39.65034 -119.30174  -0.154 0.00000 0.00000   error   error
 000226 00024605 18.331383 +39.65258 -119.29488  -0.220 0.00000 0.00000   error   error
 000227 00024625 18.332281 +39.65481 -119.28852  -0.330 0.00000 0.00000   error   error
 000228 00024645 18.333178 +39.65704 -119.28183  -0.220 0.00000 0.00000   error   error
 000229 00024665 18.334072 +39.65996 -119.27273  -0.242 0.00000 0.00000   error   error
 000230 00024685 18.334967 +39.66219 -119.26604  -0.286 0.00000 0.00000   error   error
 000231 00024705 18.335861 +39.66459 -119.25900  -0.220 0.00000 0.00000   error   error
 000232 00024725 18.336756 +39.66682 -119.25230  -0.242 0.00000 0.00000   error   error
 000233 00024745 18.337650 +39.66974 -119.24320  -0.308 0.00000 0.00000   error   error
 000234 00024765 18.338545 +39.67215 -119.23668  -0.308 0.00000 0.00000   error   error
 000235 00024785 18.339439 +39.67438 -119.22981  -0.198 0.00000 0.00000   error   error
 000236 00024805 18.340334 +39.67661 -119.22312  -0.308 0.00000 0.00000   error   error
 000237 00024825 18.341228 +39.67884 -119.21642  -0.286 0.00000 0.00000   error   error
 000238 00024845 18.342123 +39.68176 -119.20767  -0.286 0.00000 0.00000   error   error
 000239 00024865 18.343018 +39.68399 -119.20097  -0.286 0.00000 0.00000   error   error
 000240 00024885 18.343910 +39.68622 -119.19411  -0.374 0.00000 0.00000   error   error
 000241 00024905 18.344805 +39.68845 -119.18724  -0.264 0.00000 0.00000   error   error
