Time	Date	StoreData	FitResults1	FitResults2	Integral
43.16665833333326	2/24/2009 0:54:24	0	26.379006465478376	15.57	12046.126	
43.333324999999924	2/24/2009 1:4:24	0	26.253706015925356	15.432	12061.915	
43.49999166666659	2/24/2009 1:14:24	0	26.129289881046617	15.296	12077.63	
43.66665833333325	2/24/2009 1:24:24	0	26.005749401109306	15.162	12093.271	
43.83332499999992	2/24/2009 1:34:24	0	25.883076027214706	15.028	12108.837	
43.99999166666658	2/24/2009 1:44:24	0	25.76126131952874	14.895	12124.331	
44.166658333333245	2/24/2009 1:54:24	0	25.640296945546783	14.764	12139.751	
44.33332499999991	2/24/2009 2:4:24	0	25.520174678391484	14.634	12155.099	
44.499991666666574	2/24/2009 2:14:24	0	25.400886395143193	14.505	12170.376	
44.66665833333324	2/24/2009 2:24:24	0	25.282424075202112	14.377	12185.581	
44.8333249999999	2/24/2009 2:34:24	0	25.164779798681554	14.25	12200.715	
44.99999166666657	2/24/2009 2:44:24	0	25.047945744831534	14.125	12215.779	
45.16665833333323	2/24/2009 2:54:24	0	24.931914190492016	14.0	12230.773	
45.333324999999896	2/24/2009 3:4:24	0	24.816677508575335	13.877	12245.697	
45.49999166666656	2/24/2009 3:14:24	0	24.70222816657681	13.754	12260.553	
45.666658333333224	2/24/2009 3:24:24	0	24.588558725113373	13.633	12275.34	
45.83332499999989	2/24/2009 3:34:24	0	24.475661836489166	13.513	12290.059	
45.99999166666655	2/24/2009 3:44:24	0	24.36353024328788	13.394	12304.711	
46.16665833333322	2/24/2009 3:54:24	0	24.252156776990955	13.276	12319.296	
46.33332499999988	2/24/2009 4:4:24	0	24.14153435662133	13.159	12333.814	
46.499991666666546	2/24/2009 4:14:24	0	24.031655987412048	13.043	12348.266	
46.66665833333321	2/24/2009 4:24:24	0	23.922514759499116	12.928	12362.652	
46.833324999999874	2/24/2009 4:34:24	0	23.814103846638446	12.814	12376.973	
46.99999166666654	2/24/2009 4:44:24	0	23.70641650494588	12.701	12391.229	
47.1666583333332	2/24/2009 4:54:24	0	23.5994460716601	12.589	12405.421	
47.33332499999987	2/24/2009 5:4:24	0	23.493185963928003	12.478	12419.549	
47.49999166666653	2/24/2009 5:14:24	0	23.387629677611788	12.368	12433.613	
47.666658333333196	2/24/2009 5:24:24	0	23.282770786117553	12.259	12447.614	
47.83332499999986	2/24/2009 5:34:24	0	23.17860293924483	12.151	12461.553	
47.999991666666524	2/24/2009 5:44:24	0	23.0751198620566	12.044	12475.429	
