Dataset:              EMAP Lakes Bird Names
File Name:            brdnam
Date Created:         03/13/97
# Variables:          9
# Header Records:     19
# Data Records:       217
Missing Value Symbol: .

Variables:    AOU              Amer. Ornith. Union code
              DIET             Dietary guild
              FEED             Foraging guild
              NAME_COM         common name
              NEOTROP          Neotrophic Migr. (NE) or Resident (RE)
              ORDER            Taxonomic Order
              SCIENTIF         Genus and species
              SPECIES          EMAP code for bird species
              TOLER            Tolerant (TO) or intolerant (IN)

"AOU","DIET","FEED","NAME_COM","NEOTROP","ORDER","SCIENTIF","SPECIES","TOLER" 
.," "," ","Unspecified flycatcher species"," "," "," ","UNFL"," " 
.," "," ","Unspecified goose species"," "," "," ","UNGO"," " 
.," "," ","Unspecified gull species"," "," "," ","UNGU"," " 
.," "," ","Unspecified hawk species"," "," "," ","UNHA"," " 
.," "," ","Hairy/Downy Woodpecker"," "," "," ","UNHD"," " 
.," "," ","House/Purple Finch"," "," "," ","UNHP"," " 
.," "," ","Unspecified kinglet species"," "," "," ","UNKI"," " 
.," "," ","Unspecified species"," "," "," ","UNKN"," " 
.," "," ","Least/Yellow-bellied Flycatcher"," "," "," ","UNLY"," " 
.," "," ","Unspecified merganser species"," "," "," ","UNME"," " 
.," "," ","Unspecified nuthatch species"," "," "," ","UNNU"," " 
.," "," ","Pine Warbler/Junco"," "," "," ","UNPD"," " 
.," "," ","Pine Warbler/Swamp Sparrow"," "," "," ","UNPS"," " 
.," "," ","Unspecified raptor species"," "," "," ","UNRA"," " 
.," "," ","Red-eyed/Philadelphia Vireo"," "," "," ","UNRP"," " 
.," "," ","Unspecified sparrow species"," "," "," ","UNSP"," " 
.," "," ","Unspecifed swallow species"," "," "," ","UNSW"," " 
.," "," ","Unspecified thrush species"," "," "," ","UNTH"," " 
.," "," ","Unspecified triller species"," "," "," ","UNTR"," " 
.," "," ","Unspecified vireo species"," "," "," ","UNVI"," " 
.," "," ","Unspecified warbler species"," "," "," ","UNWA"," " 
.," "," ","Unspecified woodpecker species"," "," "," ","UNWO"," " 
7560,"IN","GG","Veery","NE","Passeriformes","Catharus fuscescens","VEER","IN" 
5400,"IN","GG","Vesper Sparrow","RE","Passeriformes","Pooecetes gramineus","VESP","IN" 
2120,"IN","PR","Virginia Rail","RE","Gruiformes","Rallus limicola","VIRA","IN" 
6270,"IN","HG","Warbling Vireo","NE","Passeriformes","Vireo gilvus","WAVI","IN" 
7270,"IN","BG","White-breasted Nuthatch","RE","Passeriformes","Sitta carolinensis","WBNU","IN" 
6310,"IN","FG","White-eyed Vireo","NE","Passeriformes","Vireo griseus","WEVI","IN" 
6390,"IN","FG","Worm-eating Warbler","NE","Passeriformes","Helmitheros vermivorus","WEWA","IN" 
4170,"IN","AF","Whip-poor-will","NE","Caprimulgiformes","Caprimulgus vociferus","WHIP","IN" 
4664,"IN","HA","Willow Flycatcher","NE","Passeriformes","Empidonax traillii","WIFL","IN" 
3100,"OM","GG","Wild Turkey","RE","Galliformes","Meleagris gallopavo","WITU","IN" 
6850,"IN","FG","Wilson's Warbler","NE","Passeriformes","Wilsonia pusilla","WIWA","IN" 
7220,"IN","GG","Winter Wren","RE","Passeriformes","Troglodytes troglodytes","WIWR","IN" 
1440,"AI","DA","Wood Duck","RE","Anseriformes","Aix sponsa","WODU","IN" 
7550,"IN","GG","Wood Thrush","NE","Passeriformes","Hylocichla mustelina","WOTH","IN" 
5580,"IN","GG","White-throated Sparrow","RE","Passeriformes","Zonotrichia albicollis","WTSP","IN" 
5220,"SE","FG","White-winged Crossbill","RE","Passeriformes","Loxia leucoptera","WWCR","IN" 
3870,"IN","FG","Yellow-billed Cuckoo","NE","Cuculiformes","Coccyzus americanus","YBCU","IN" 
4630,"IN","HA","Yellow-bellied Flycatcher","NE","Passeriformes","Empidonax flaviventris","YBFL","IN" 
4020,"IN","BG","Yellow-bellied Sapsucker","RE","Piciformes","Sphyrapicus varius","YBSA","IN" 
6520,"IN","FG","Yellow Warbler","NE","Passeriformes","Dendroica petechia","YEWA","IN" 
6550,"IN","FG","Yellow-rumped Warbler","RE","Passeriformes","Dendroica coronata","YRWA","IN" 
6280,"IN","FG","Yellow-throated Vireo","NE","Passeriformes","Vireo flavifrons","YTVI","IN" 
6630,"IN","BG","Yellow-throated Warbler","NE","Passeriformes","Dendroica dominica","YTWA","IN" 
