23  1001
Margitan, J. J., Sen, B.
Jet Propulsion Laboratory (JPL)
Ozone  (Balloon UV in situ Photometer)
BOS
1 1
2003 09 16    2003 10 13
0
Elapsed time in UT seconds from 0 hours on the given flight date
2
1.0 1.0
 9999.99 99.999
Pressure (mb)
Ozone Mixing Ratio (ppm)
  1

  6
****** Preliminary Data ******
Data from the Dual Beam, in situ UV Photometer flown aboard the OMS 
in situ gondola from Ft. Sumner NM  34.5N, 255.8E.
Pressure and Ozone retrieved from on-board data.
Estimated ozone accuracy is 5%.
 UTsec   P(mb)  O3(ppm)
 57422  500.97   0.049
 57423  500.59   0.049
 57424  500.21   0.048
 57425  499.83   0.048
 57426  499.45   0.050
 57427  499.07   0.049
 57428  498.69   0.050
 57429  498.27   0.050
 57430  497.86   0.050
 57431  497.45   0.050
 57432  497.03   0.050
 57433  496.62   0.050
 57434  496.21   0.050
 57435  495.79   0.050
 57436  495.38   0.050
 57437  494.97   0.050
 57438  494.54   0.050
 57439  494.16   0.051
 57440  493.76   0.050
 57441  493.37   0.050
 57442  492.98   0.049
 57443  492.58   0.049
 57444  492.19   0.050
 57445  491.79   0.051
 57446  491.40   0.050
 57447  491.00   0.051
 57448  490.60   0.051
 57449  490.29   0.052
 57450  489.97   0.051
 57451  489.64   0.053
 57452  489.32   0.052
 57453  489.01   0.053
 57454  488.69   0.053
 57455  488.36   0.054
 57456  488.04   0.054
 57457  487.72   0.051
 57458  487.39   0.051
 57459  486.95   0.050
 57460  486.49   0.050
 57461  486.04   0.051
 57462  485.58   0.050
 57463  485.13   0.051
 57464  484.67   0.052
 57465  484.21   0.051
 57466  483.76   0.051
 57467  483.30   0.052
 57468  482.85   0.052
 57469  482.47   0.051
 57470  482.10   0.052
 57471  481.72   0.052
 57472  481.35   0.052
 57473  480.97   0.052
 57474  480.60   0.053
 57475  480.22   0.052
 57476  479.85   0.052
 57477  479.47   0.052
 57478  479.10   0.052
 57479  478.74   0.052
 57480  478.39   0.052
 57481  478.03   0.052
 57482  477.67   0.052
 57483  477.32   0.052
 57484  476.97   0.052
 57485  476.61   0.053
 57486  476.25   0.053
 57487  475.90   0.053
 57488  475.54   0.053
 57489  475.16   0.050
 57490  474.77   0.052
 57491  474.38   0.052
 57492  474.00   0.051
 57493  473.61   0.051
 57494  473.22   0.052
 57495  472.84   0.052
 57496  472.45   0.052
 57497  472.06   0.053
 57498  471.67   0.053
 57499  471.24   0.053
 57500  470.80   0.053
 57501  470.36   0.052
 57502  469.92   0.052
 57503  469.47   0.050
 57504  469.03   0.050
 57505  468.59   0.050
 57506  468.15   0.050
 57507  467.71   0.049
 57508  467.26   0.049
 57509  466.96   0.047
 57510  466.65   0.048
 57511  466.34   0.047
 57512  466.03   0.048
 57513  465.71   0.047
 57514  465.40   0.047
 57515  465.09   0.046
 57516  464.78   0.048
 57517  464.47   0.047
 57518  464.16   0.048
 57519  463.74   0.045
 57520  463.33   0.045
 57521  462.92   0.044
 57522  462.50   0.043
 57523  462.09   0.042
 57524  461.68   0.044
 57525  461.26   0.043
 57526  460.85   0.043
 57527  460.44   0.045
 57528  460.01   0.045
 57529  459.63   0.046
 57530  459.23   0.046
 57531  458.83   0.047
 57532  458.43   0.047
 57533  458.03   0.046
 57534  457.63   0.048
 57535  457.23   0.047
 57536  456.83   0.048
 57537  456.43   0.046
 57538  456.02   0.046
 57539  455.65   0.044
 57540  455.27   0.046
 57541  454.89   0.045
 57542  454.51   0.045
 57543  454.13   0.046
 57544  453.75   0.046
 57545  453.37   0.045
 57546  452.99   0.046
 57547  452.61   0.047
 57548  452.23   0.048
 57549  451.84   0.047
 57550  451.46   0.047
 57551  451.07   0.046
 57552  450.69   0.046
 57553  450.30   0.046
 57554  449.92   0.045
 57555  449.54   0.045
 57556  449.15   0.046
 57557  448.77   0.046
 57558  448.38   0.047
 57559  448.05   0.049
 57560  447.72   0.049
 57561  447.39   0.050
 57562  447.06   0.051
 57563  446.73   0.051
 57564  446.40   0.052
 57565  446.07   0.053
 57566  445.75   0.054
 57567  445.41   0.055
 57568  445.07   0.056
 57569  444.67   0.054
 57570  444.26   0.056
 57571  443.85   0.056
 57572  443.44   0.056
 57573  443.03   0.057
 57574  442.62   0.059
 57575  442.21   0.058
 57576  441.80   0.059
 57577  441.39   0.057
 57578  440.97   0.057
 57579  440.60   0.056
 57580  440.22   0.056
 57581  439.85   0.056
 57582  439.47   0.055
 57583  439.10   0.056
 57584  438.72   0.056
 57585  438.34   0.056
 57586  437.97   0.056
 57587  437.59   0.058
 57588  437.22   0.058
 57589  436.90   0.055
 57590  436.58   0.056
 57591  436.26   0.057
 57592  435.94   0.055
 57593  435.62   0.057
 57594  435.30   0.057
 57595  434.98   0.058
 57596  434.66   0.059
 57597  434.34   0.059
 57598  434.01   0.059
 57599  433.63   0.059
 57600  433.25   0.059
 57601  432.87   0.059
 57602  432.49   0.059
 57603  432.11   0.058
 57604  431.72   0.058
 57605  431.34   0.059
 57606  430.96   0.059
 57607  430.58   0.059
 57608  430.20   0.059
 57609  429.86   0.062
 57610  429.52   0.059
 57611  429.18   0.061
 57612  428.84   0.060
 57613  428.50   0.061
 57614  428.16   0.061
 57615  427.82   0.060
 57616  427.48   0.060
 57617  427.13   0.059
 57618  426.79   0.058
 57619  426.42   0.059
 57620  426.04   0.059
 57621  425.66   0.057
 57622  425.28   0.059
 57623  424.91   0.059
 57624  424.53   0.059
 57625  424.15   0.060
 57626  423.77   0.058
 57627  423.39   0.059
 57628  423.01   0.058
 57629  422.66   0.059
 57630  422.31   0.059
 57631  421.96   0.058
 57632  421.60   0.059
 57633  421.25   0.059
 57634  420.90   0.060
 57635  420.54   0.059
 57636  420.19   0.059
 57637  419.84   0.060
 57638  419.48   0.061
 57639  419.16   0.060
 57640  418.84   0.059
 57641  418.52   0.060
 57642  418.20   0.058
 57643  417.88   0.059
 57644  417.56   0.059
 57645  417.24   0.058
 57646  416.92   0.059
 57647  416.60   0.059
 57648  416.26   0.060
 57649  415.92   0.059
 57650  415.57   0.060
 57651  415.22   0.059
 57652  414.86   0.059
 57653  414.51   0.059
 57654  414.16   0.060
 57655  413.80   0.059
 57656  413.45   0.060
 57657  413.10   0.058
 57658  412.75   0.058
 57659  412.38   0.058
 57660  412.02   0.059
 57661  411.65   0.060
 57662  411.29   0.060
 57663  410.92   0.059
 57664  410.55   0.059
 57665  410.19   0.059
 57666  409.82   0.059
 57667  409.46   0.060
 57668  409.08   0.060
 57669  408.71   0.059
 57670  408.32   0.060
 57671  407.94   0.060
 57672  407.55   0.059
 57673  407.16   0.060
 57674  406.78   0.059
 57675  406.39   0.060
 57676  406.01   0.060
 57677  405.62   0.061
 57678  405.23   0.062
 57679  404.91   0.061
 57680  404.58   0.062
 57681  404.25   0.062
 57682  403.92   0.062
 57683  403.60   0.062
 57684  403.27   0.063
 57685  402.94   0.062
 57686  402.61   0.061
 57687  402.28   0.062
 57688  401.95   0.061
 57689  401.57   0.058
 57690  401.18   0.060
 57691  400.79   0.060
 57692  400.41   0.059
 57693  400.02   0.058
 57694  399.63   0.060
 57695  399.25   0.061
 57696  398.86   0.061
 57697  398.47   0.059
 57698  398.08   0.059
 57699  397.75   0.061
 57700  397.42   0.061
 57701  397.09   0.062
 57702  396.75   0.063
 57703  396.42   0.063
